CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND7,CAND_IND8,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARAN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARAN,1369,3,3,109,321,103,45,33,131,400,2,30,2,6,0,0,17,2,3,4,5,6,0,0,1219,0,38,1257,1893
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARAN,1370,4,4,123,457,182,44,36,97,543,6,31,4,9,0,0,20,1,4,7,10,2,0,3,1579,0,52,1631,2453
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARAN,1371,1,1,7,3,8,5,0,10,55,0,0,0,0,0,0,1,0,1,1,0,0,0,0,91,0,3,94,219
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARAN,1372,1,1,3,23,56,4,10,7,67,0,2,1,2,0,0,1,1,1,0,1,0,0,0,179,0,2,181,340
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARAN,1373,4,4,114,199,397,24,39,75,522,3,14,6,5,0,0,33,4,7,5,8,2,1,1,1459,0,47,1506,2608
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARAN,1374,1,1,56,82,36,10,14,52,89,2,7,2,1,0,0,0,0,0,0,0,0,0,0,351,0,5,356,521
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARAN,1375,1,1,20,110,38,9,13,34,88,3,2,0,2,0,0,0,0,0,0,0,0,0,0,319,0,21,340,647
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARAN,1376,1,1,20,148,47,11,15,40,245,1,9,0,2,0,0,7,0,5,0,0,0,0,0,550,0,17,567,742
5,16,MICHOACAN,1,LA PIEDAD,61,NUMARAN,1377,1,1,10,178,37,6,10,19,217,2,19,2,3,0,0,8,1,0,1,3,0,0,0,516,0,27,543,679
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
5,16,MICHOACAN,1,LA PIEDAD,70,LA PIEDAD,1529,5,5,629,66,11,72,61,120,557,5,31,23,9,0,0,40,1,6,6,50,7,0,0,1694,0,35,1729,3130
