ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,46,JILOTEPEC,47,130,130,1844,24946,488,2818,927,1798,19040,344,0,0,0,0,0,0,0,0,0,52205,40,1210,53455,74888,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN46.pdf
15,MEXICO,47,JILOTZINGO,10,30,30,2861,2702,24,2312,183,1443,873,95,0,0,0,0,0,0,0,0,0,10493,6,352,10851,17459,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN47.pdf
15,MEXICO,48,JIQUIPILCO,30,97,97,590,11158,404,1073,1641,11244,12494,327,0,0,0,0,0,0,0,0,0,38931,15,1371,40317,58213,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN48.pdf
15,MEXICO,49,JOCOTITLAN,29,91,91,2186,10509,589,2415,1440,2609,10606,0,0,0,0,0,0,0,0,0,0,30354,5476,2090,37920,53939,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN49.pdf
15,MEXICO,50,JOQUICINGO,5,18,18,447,852,234,2393,129,2395,1263,596,0,0,0,0,0,0,0,0,0,8309,3,250,8562,11286,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN50.pdf
15,MEXICO,51,JUCHITEPEC,8,32,32,178,4695,111,538,2013,501,5624,62,0,0,0,0,0,0,0,0,0,13722,9,729,14460,19825,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN51.pdf
15,MEXICO,52,LERMA,52,190,191,5306,29985,621,7170,2428,3653,33217,396,0,0,0,0,0,0,0,0,0,82776,77,3269,86122,123905,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN52.pdf
15,MEXICO,53,MALINALCO,16,39,40,104,286,308,3775,174,6668,1118,276,0,0,0,1726,0,0,0,0,0,14435,128,645,15208,21570,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN53.pdf
15,MEXICO,54,MELCHOR OCAMPO,16,69,69,1379,2627,722,4129,500,2193,9408,1839,0,0,0,0,7093,0,0,0,0,29890,43,1035,30968,46168,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN54.pdf
15,MEXICO,55,METEPEC,86,303,304,45740,28853,2098,4417,6220,8382,42990,1007,0,0,0,0,0,0,0,0,0,139707,221,2421,142349,198094,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN55.pdf
15,MEXICO,56,MEXICALTZINGO,4,18,18,276,2364,77,154,170,2013,1998,85,0,0,0,0,0,0,0,0,0,7137,11,219,7367,10978,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN56.pdf
15,MEXICO,57,MORELOS,18,45,45,1128,2150,591,1242,544,3691,6352,1504,0,0,0,0,0,0,0,0,0,17202,33,712,17947,25299,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN57.pdf
15,MEXICO,58,NAUCALPAN DE JUAREZ,460,1191,1193,125453,42804,6894,23008,14136,29513,193649,3037,0,0,0,0,0,0,0,0,0,438494,531,10080,449105,710848,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN58.pdf
15,MEXICO,59,NEXTLALPAN,10,55,56,927,1766,485,642,1670,5353,12334,1236,0,0,0,0,0,0,0,0,0,24413,33,973,25419,37193,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN59.pdf
15,MEXICO,60,NEZAHUALCOYOTL,680,1529,1532,24661,46975,12917,30438,17093,79247,290718,32883,0,0,0,0,0,0,0,0,0,534932,598,27202,562732,878707,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN60.pdf
15,MEXICO,61,NICOLAS ROMERO,110,478,479,40239,23106,7939,9526,5884,19063,69726,4453,0,0,0,0,0,0,0,0,0,179936,188,6273,186397,313688,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN61.pdf
15,MEXICO,62,NOPALTEPEC,5,14,14,1536,350,28,106,127,2130,1726,13,0,0,0,0,0,0,0,0,0,6016,12,293,6321,8616,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN62.pdf
15,MEXICO,63,OCOYOACAC,22,85,85,2394,4561,1254,3835,853,11464,7433,3193,0,0,0,0,0,0,0,0,0,34987,2130,1744,38861,55507,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN63.pdf
15,MEXICO,64,OCUILAN,13,43,43,573,1536,1628,216,1715,5193,3501,736,0,0,0,0,0,0,0,0,0,15098,6,1006,16110,23274,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN64.pdf
15,MEXICO,65,EL ORO,20,54,54,3607,5956,93,626,457,339,7757,478,0,0,0,0,0,0,0,0,0,19313,7,630,19950,29101,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN65.pdf
15,MEXICO,66,OTUMBA,18,50,51,408,5958,145,5579,1191,149,6072,46,0,0,0,0,0,0,0,0,0,19548,3,634,20185,29810,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN66.pdf
15,MEXICO,67,OTZOLOAPAN,4,10,10,309,590,162,21,1134,14,65,412,0,0,0,0,0,0,0,0,0,2707,1,245,2953,4202,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN67.pdf
15,MEXICO,68,OTZOLOTEPEC,27,100,100,4332,14218,336,3209,1683,3652,13130,0,0,0,0,0,0,0,0,0,0,40560,21,1656,42237,65213,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN68.pdf
15,MEXICO,69,OZUMBA,13,37,37,234,448,123,6875,168,1663,5051,314,0,0,0,0,0,0,0,0,0,14876,13,389,15278,22258,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN69.pdf
15,MEXICO,70,PAPALOTLA,2,7,7,72,1210,224,121,86,212,1558,0,0,0,0,0,0,0,0,0,0,3483,7,74,3564,4471,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN70.pdf
15,MEXICO,71,LA PAZ,91,336,336,5110,47055,2649,4179,3730,6444,56176,1080,0,0,0,0,0,0,0,0,0,126423,142,3502,130067,214668,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN71.pdf
15,MEXICO,72,POLOTITLAN,10,25,25,234,2487,43,1190,1099,1199,2270,20,0,0,0,0,0,0,0,0,0,8542,4,323,8869,12722,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN72.pdf
15,MEXICO,73,RAYON,4,15,15,185,2535,96,133,960,1623,1299,29,0,0,0,0,0,0,0,0,0,6860,52,256,7168,10244,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN73.pdf
15,MEXICO,74,SAN ANTONIO LA ISLA,8,31,32,1935,3449,752,2949,710,1673,2893,0,0,0,0,0,0,0,0,0,0,14361,31,412,14804,20680,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN74.pdf
15,MEXICO,75,SAN FELIPE DEL PROGRESO,50,170,170,1595,27679,422,2721,1926,2074,26934,349,0,0,0,0,0,0,0,0,0,63700,104,2346,66150,103343,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN75.pdf
15,MEXICO,76,SAN MARTIN DE LAS PIRAMIDES,14,37,37,1187,3537,31,216,174,3993,4359,2222,0,0,0,0,0,0,0,0,0,15719,17,431,16167,22627,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN76.pdf
15,MEXICO,77,SAN MATEO ATENCO,22,113,113,3631,15502,554,6135,3134,3824,19254,441,0,0,0,0,0,0,0,0,0,52475,32,1930,54437,75745,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN77.pdf
15,MEXICO,78,SAN SIMON DE GUERRERO,4,11,11,32,81,1241,36,86,1275,1369,13,0,0,0,0,0,0,0,0,0,4133,1,180,4314,5548,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN78.pdf
15,MEXICO,79,SANTO TOMAS,10,20,21,96,328,2171,71,112,981,1749,13,0,0,0,0,0,0,0,0,0,5521,0,254,5775,7971,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN79.pdf
15,MEXICO,80,SOYANIQUILPAN DE JUAREZ,7,21,21,4125,336,25,168,119,66,4586,21,0,0,0,0,0,0,0,0,0,9446,3,253,9702,11734,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN80.pdf
15,MEXICO,81,SULTEPEC,23,40,40,1000,1904,523,3471,318,1744,1525,1333,0,0,0,0,0,0,0,0,0,11818,4,770,12592,20093,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN81.pdf
15,MEXICO,82,TECAMAC,197,599,601,24209,63209,3280,9807,5741,14539,117566,2498,0,0,0,0,0,0,0,0,0,240849,250,10212,251311,380698,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN82.pdf
15,MEXICO,83,TEJUPILCO,46,114,115,3308,6302,1733,1534,1077,6538,10662,4412,0,0,0,0,0,0,0,0,0,35566,18,1567,37151,61374,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN83.pdf
15,MEXICO,84,TEMAMATLA,5,18,18,60,276,53,3069,329,1728,1437,44,0,0,0,0,0,932,0,0,0,7928,4,397,8329,12100,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN84.pdf
15,MEXICO,85,TEMASCALAPA,16,51,52,994,1893,520,602,472,386,7805,1325,0,0,0,0,0,0,8002,0,0,21999,15,644,22658,32551,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN85.pdf
15,MEXICO,86,TEMASCALCINGO,35,93,94,447,8966,329,5176,4474,3407,10424,113,0,0,0,0,0,0,0,0,0,33336,44,1833,35213,53687,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN86.pdf
15,MEXICO,87,TEMASCALTEPEC,23,50,50,3772,1709,289,485,329,4650,5108,133,0,0,0,0,0,0,0,0,0,16475,8,664,17147,26714,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN87.pdf
