ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CC_PAN_PRI_PRD_NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,42,IXTAPAN DEL ORO,5,9,9,33,149,884,69,789,26,2082,153,0,0,0,0,0,0,0,0,0,0,0,55,25,9,54,0,0,0,0,0,0,0,0,0,0,4328,12,141,4481,5627,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN42.pdf
15,MEXICO,43,IXTLAHUACA,51,190,190,1737,27570,391,2827,2752,5338,39381,320,123,423,18,8,12,183,9,4,24,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81150,49,3818,85017,121828,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN43.pdf
15,MEXICO,44,XALATLACO,7,33,33,0,0,0,820,3314,916,5097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784,0,0,0,0,0,0,0,0,0,11931,20,495,12446,20718,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN44.pdf
15,MEXICO,45,JALTENCO,14,35,36,0,0,0,432,2962,1946,7148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1682,0,0,0,0,0,0,0,0,0,14170,12,541,14723,21116,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN45.pdf
15,MEXICO,46,JILOTEPEC,47,130,130,1606,24679,308,2354,594,1798,18580,269,165,327,25,4,18,147,3,5,32,22,12,669,116,367,105,0,0,0,0,0,0,0,0,0,0,52205,40,1210,53455,74888,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN46.pdf
15,MEXICO,47,JILOTZINGO,10,30,30,2861,2702,24,2198,96,1443,763,95,0,0,0,0,0,0,0,0,0,0,0,202,23,67,19,0,0,0,0,0,0,0,0,0,0,10493,6,352,10851,17459,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN47.pdf
15,MEXICO,48,JIQUIPILCO,30,97,97,458,11015,302,615,1154,11244,11999,285,137,153,8,0,6,74,8,5,23,5,0,947,135,152,206,0,0,0,0,0,0,0,0,0,0,38931,15,1371,40317,58213,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN48.pdf
15,MEXICO,49,JOCOTITLAN,29,91,91,2186,10509,589,2415,1440,2609,10606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30354,5476,2090,37920,53939,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN49.pdf
15,MEXICO,50,JOQUICINGO,5,18,18,0,0,0,2310,78,2395,1186,0,0,0,0,0,0,0,0,0,0,0,0,101,24,74,12,2129,0,0,0,0,0,0,0,0,0,8309,3,250,8562,11286,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN50.pdf
15,MEXICO,51,JUCHITEPEC,8,32,32,178,4695,111,538,2013,501,5624,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13722,9,729,14460,19825,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN51.pdf
15,MEXICO,52,LERMA,52,190,191,4950,29615,348,7170,2428,3653,33217,347,132,650,19,4,10,180,14,2,25,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82776,77,3269,86122,123905,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN52.pdf
15,MEXICO,53,MALINALCO,16,39,40,104,286,308,3650,99,6668,1004,276,0,0,0,0,0,0,0,0,0,0,0,146,38,113,17,0,0,0,0,1726,0,0,0,0,0,14435,128,645,15208,21570,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN53.pdf
15,MEXICO,54,MELCHOR OCAMPO,16,69,69,0,0,0,4129,500,2193,9408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6567,0,0,0,0,7093,0,0,0,0,29890,43,1035,30968,46168,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN54.pdf
15,MEXICO,55,METEPEC,86,303,304,44450,27595,1194,3332,5061,8382,41725,846,409,2181,45,34,8,786,58,21,29,6,36,2234,235,448,592,0,0,0,0,0,0,0,0,0,0,139707,221,2421,142349,198094,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN55.pdf
15,MEXICO,56,MEXICALTZINGO,4,18,18,252,2334,61,154,170,2013,1998,78,17,35,4,0,1,12,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7137,11,219,7367,10978,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN56.pdf
15,MEXICO,57,MORELOS,18,45,45,0,0,0,1059,388,3691,6177,0,0,0,0,0,0,0,0,0,0,0,0,274,75,108,57,5373,0,0,0,0,0,0,0,0,0,17202,33,712,17947,25299,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN57.pdf
15,MEXICO,58,NAUCALPAN DE JUAREZ,460,1191,1193,122161,39579,4491,16849,8459,29513,186838,2597,1013,5654,91,89,27,1911,227,43,109,76,120,12589,830,3096,2132,0,0,0,0,0,0,0,0,0,0,438494,531,10080,449105,710848,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN58.pdf
15,MEXICO,59,NEXTLALPAN,10,55,56,0,0,0,642,1670,5353,12334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4414,0,0,0,0,0,0,0,0,0,24413,33,973,25419,37193,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN59.pdf
15,MEXICO,60,NEZAHUALCOYOTL,680,1529,1532,0,0,0,30438,17093,79247,290718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117436,0,0,0,0,0,0,0,0,0,534932,598,27202,562732,878707,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN60.pdf
15,MEXICO,61,NICOLAS ROMERO,110,478,479,39124,22062,7156,7327,3902,19063,67337,4283,326,1617,72,58,11,674,182,43,84,32,13,4377,335,1145,713,0,0,0,0,0,0,0,0,0,0,179936,188,6273,186397,313688,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN61.pdf
15,MEXICO,62,NOPALTEPEC,5,14,14,1502,319,12,68,89,2130,1690,12,6,36,0,0,0,32,5,1,1,0,1,63,20,14,15,0,0,0,0,0,0,0,0,0,0,6016,12,293,6321,8616,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN62.pdf
15,MEXICO,63,OCOYOACAC,22,85,85,0,0,0,3420,611,11005,6919,0,0,0,0,0,0,0,0,0,0,0,0,393,127,165,48,11040,0,0,0,0,0,0,0,0,0,33755,2031,1673,37459,55507,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN63.pdf
15,MEXICO,64,OCUILAN,13,43,43,573,1536,1628,216,1715,5193,3501,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15098,6,1006,16110,23274,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN64.pdf
15,MEXICO,65,EL ORO,20,54,54,3607,5956,93,510,351,339,7642,478,0,0,0,0,0,0,0,0,0,0,0,204,40,56,37,0,0,0,0,0,0,0,0,0,0,19313,7,630,19950,29101,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN65.pdf
15,MEXICO,66,OTUMBA,18,50,51,354,5901,100,5579,1191,149,6072,39,20,111,1,1,1,18,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19548,3,634,20185,29810,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN66.pdf
15,MEXICO,67,OTZOLOAPAN,4,10,10,0,0,0,21,1134,14,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1473,0,0,0,0,0,0,0,0,0,2707,1,245,2953,4202,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN67.pdf
15,MEXICO,68,OTZOLOTEPEC,27,100,100,4332,14218,336,3209,1683,3652,13130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40560,21,1656,42237,65213,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN68.pdf
15,MEXICO,69,OZUMBA,13,37,37,0,0,0,6875,168,1663,5051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1119,0,0,0,0,0,0,0,0,0,14876,13,389,15278,22258,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN69.pdf
15,MEXICO,70,PAPALOTLA,2,7,7,72,1210,224,104,72,212,1541,0,0,0,0,0,0,0,0,0,0,0,0,30,5,8,5,0,0,0,0,0,0,0,0,0,0,3483,7,74,3564,4471,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN70.pdf
15,MEXICO,71,LA PAZ,91,336,336,4358,46221,1990,2496,2104,6444,54292,942,299,1408,50,8,31,336,33,6,146,40,26,3571,237,748,637,0,0,0,0,0,0,0,0,0,0,126423,142,3502,130067,214668,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN71.pdf
15,MEXICO,72,POLOTITLAN,10,25,25,213,2462,31,1190,1099,1199,2270,19,7,31,2,0,1,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8542,4,323,8869,12722,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN72.pdf
15,MEXICO,73,RAYON,4,15,15,160,2507,74,98,903,1623,1246,21,20,44,3,0,2,9,0,0,0,2,3,59,22,11,53,0,0,0,0,0,0,0,0,0,0,6860,52,256,7168,10244,https://www.ieem.org.mx/proceso2024/ACTAS_COMPUTO_MUNICIPALES/ACTA_MUN73.pdf
