CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CC_PAN_PRI_PRD_NAEM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1067,4,4,0,0,0,335,36,100,857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0,0,0,1545,0,85,1630,2786
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1068,4,4,0,0,0,425,36,101,635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,1420,0,85,1505,2336
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1069,3,3,0,0,0,289,30,93,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,1209,2,60,1271,2102
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1070,4,4,0,0,0,317,37,95,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,1397,1,86,1484,2523
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1071,7,7,0,0,0,499,67,122,1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,2417,6,157,2580,5008
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1072,10,10,0,0,0,736,96,200,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,3195,0,261,3456,6764
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1073,7,7,0,0,0,553,44,145,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,0,0,0,0,0,2419,18,127,2564,4548
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1074,3,3,0,0,0,218,13,36,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,899,0,59,958,1530
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1075,5,5,0,0,0,417,50,79,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,1839,1,106,1946,3303
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1076,7,7,0,0,0,640,62,145,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,2766,0,180,2946,5246
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1077,4,4,0,0,0,226,28,78,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,1207,0,96,1303,2273
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1078,4,4,0,0,0,229,25,65,846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,1376,2,75,1453,2522
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1079,6,6,0,0,0,396,54,139,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,2306,0,197,2503,4463
5,15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS,26,CHALCO,1080,6,6,0,0,0,579,61,156,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,2296,1,124,2421,4172
