CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
2,1,AGUASCALIENTES,,,6,PABELLON DE ARTEAGA,,,PRES_MUN,PAN_PRI_PRD,1,LUCERO ESPINOZA VAZQUEZ,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,6,PABELLON DE ARTEAGA,,,SIND_MR,PAN_PRI_PRD,1,ARTURO DE LUNA PRIETO,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,6,PABELLON DE ARTEAGA,,,REG_MR,PAN_PRI_PRD,1,CINDY VIANEY MUNOZ HERRADA,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,6,PABELLON DE ARTEAGA,,,REG_MR,PAN_PRI_PRD,2,IRVING FERNANDO SUAREZ CHAVEZ,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,6,PABELLON DE ARTEAGA,,,REG_MR,PAN_PRI_PRD,3,ELENA ESTEFANIA SANTANA GUERRERO,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,6,PABELLON DE ARTEAGA,,,REG_MR,PAN_PRI_PRD,4,CLAUDIA GABRIELA AMBRIZ ORTIZ,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,6,PABELLON DE ARTEAGA,,,REG_RP,MORENA,1,EDITH HORNEDO ROMO,2,,,MORENA
2,1,AGUASCALIENTES,,,6,PABELLON DE ARTEAGA,,,REG_RP,PVEM,2,CUAUHTEMOC ESCOBEDO TEJADA,1,,,PVEM
2,1,AGUASCALIENTES,,,6,PABELLON DE ARTEAGA,,,REG_RP,MC,3,JUAN CARLOS ALBA MUNOZ,1,CANDIDATURAS DE DISCAPACIDAD,,MC
2,1,AGUASCALIENTES,,,6,PABELLON DE ARTEAGA,,,REG_RP,PT,4,GALISMA ELIZABETH MORENO SERRANO,2,,,PT
2,1,AGUASCALIENTES,,,7,RINCON DE ROMOS,,,PRES_MUN,MORENA,1,ERICK MURO SANCHEZ,1,,,MORENA
2,1,AGUASCALIENTES,,,7,RINCON DE ROMOS,,,SIND_MR,MORENA,1,MARIA AZUCENA PALOS URRUTIA,2,,,MORENA
2,1,AGUASCALIENTES,,,7,RINCON DE ROMOS,,,REG_MR,MORENA,1,ROBERTO AXEL ARMENDARIZ SILVA,1,,,MORENA
2,1,AGUASCALIENTES,,,7,RINCON DE ROMOS,,,REG_MR,MORENA,2,ELISA MARCELA FIGUEROA TREVINO,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,MORENA
2,1,AGUASCALIENTES,,,7,RINCON DE ROMOS,,,REG_MR,MORENA,3,SILVIA CECILIA PEREZ PALACIOS,2,,,MORENA
2,1,AGUASCALIENTES,,,7,RINCON DE ROMOS,,,REG_MR,MORENA,4,JOSE ALBERTO PADILLA CASTANEDA,1,,,MORENA
2,1,AGUASCALIENTES,,,7,RINCON DE ROMOS,,,REG_RP,PAN,1,YADIRA CASTORENA PINA,2,,,PAN
2,1,AGUASCALIENTES,,,7,RINCON DE ROMOS,,,REG_RP,CAND_IND2,2,PEDRO MARMOLEJO GARCIA,1,,,CAND_IND2
2,1,AGUASCALIENTES,,,7,RINCON DE ROMOS,,,REG_RP,MC,3,CESAR MAURICIO PALMA ZAPATA,1,,,MC
2,1,AGUASCALIENTES,,,7,RINCON DE ROMOS,,,REG_RP,PRI,4,LAURA PATRICIA ROMO CASTORENA,2,,,PRI
2,1,AGUASCALIENTES,,,8,SAN JOSE DE GRACIA,,,PRES_MUN,PAN_PRI_PRD,1,LAURA ARACELI GONZALEZ REYES,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,8,SAN JOSE DE GRACIA,,,SIND_MR,PAN_PRI_PRD,1,VICENTE VENTURA ANAYA,1,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,8,SAN JOSE DE GRACIA,,,REG_MR,PAN_PRI_PRD,1,SARA ADRIANA LUEVANO AGUAYO,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,8,SAN JOSE DE GRACIA,,,REG_MR,PAN_PRI_PRD,2,EFRAIN HERNANDEZ GARCIA,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,8,SAN JOSE DE GRACIA,,,REG_MR,PAN_PRI_PRD,3,JANETT ZOITSA LOPEZ QUIROZ,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,8,SAN JOSE DE GRACIA,,,REG_RP,MC,1,MARIANA JANETH MEDINA PALOS,2,,,MC
2,1,AGUASCALIENTES,,,8,SAN JOSE DE GRACIA,,,REG_RP,MORENA,2,JUANA IMELDA LLAMAS TAVAREZ,2,,,MORENA
2,1,AGUASCALIENTES,,,8,SAN JOSE DE GRACIA,,,REG_RP,MC,3,MARTIN SANCHEZ SANTOS,1,,,MC
2,1,AGUASCALIENTES,,,9,TEPEZALA,,,PRES_MUN,PAN_PRI_PRD,1,LETICIA OLIVARES JIMENEZ,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,9,TEPEZALA,,,SIND_MR,PAN_PRI_PRD,1,J. JESUS LOMELI POSADA,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,9,TEPEZALA,,,REG_MR,PAN_PRI_PRD,1,ROSA ESTHELA FLORES VAZQUEZ,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,9,TEPEZALA,,,REG_MR,PAN_PRI_PRD,2,ROBERTO LOPEZ TORALES,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,9,TEPEZALA,,,REG_MR,PAN_PRI_PRD,3,IMELDA BERNAL MARMOLEJO,2,CANDIDATURAS DE DISCAPACIDAD,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,9,TEPEZALA,,,REG_RP,MORENA,1,LANIER MACIAS VAZQUEZ,1,,,MORENA
2,1,AGUASCALIENTES,,,9,TEPEZALA,,,REG_RP,MC,2,KARLA ADILENE BELTRAN GUTIERREZ,2,,,MC
2,1,AGUASCALIENTES,,,9,TEPEZALA,,,REG_RP,MORENA,3,CASANDRA GUADALUPE DELGADO DELGADILLO,2,,,MORENA
2,1,AGUASCALIENTES,,,10,SAN FRANCISCO DE LOS ROMO,,,PRES_MUN,PAN_PRI_PRD,1,MARGARITA GALLEGOS SOTO,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,10,SAN FRANCISCO DE LOS ROMO,,,SIND_MR,PAN_PRI_PRD,1,TALCO ROMO MIRELES,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,10,SAN FRANCISCO DE LOS ROMO,,,REG_MR,PAN_PRI_PRD,1,CLAUDIA LETICIA GARCIA GONZALEZ,2,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,10,SAN FRANCISCO DE LOS ROMO,,,REG_MR,PAN_PRI_PRD,2,EDGAR RAUL RAMIREZ RUELAS,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,10,SAN FRANCISCO DE LOS ROMO,,,REG_MR,PAN_PRI_PRD,3,KARINA IVETTE EUDAVE DELGADO,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,10,SAN FRANCISCO DE LOS ROMO,,,REG_MR,PAN_PRI_PRD,4,JAVIER HERNANDEZ PARGA,1,,,PAN_PRI_PRD
2,1,AGUASCALIENTES,,,10,SAN FRANCISCO DE LOS ROMO,,,REG_RP,MORENA,1,JAVIER DE JESUS MARTINEZ NERI,1,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,MORENA
2,1,AGUASCALIENTES,,,10,SAN FRANCISCO DE LOS ROMO,,,REG_RP,MC,2,OCTAVIO RAMIREZ GALLEGOS,1,,,MC
2,1,AGUASCALIENTES,,,10,SAN FRANCISCO DE LOS ROMO,,,REG_RP,MORENA,3,MARIA FERNANDA MARTINEZ DE LA CRUZ,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,MORENA
2,1,AGUASCALIENTES,,,10,SAN FRANCISCO DE LOS ROMO,,,REG_RP,MORENA,4,ANA LILIA GUTIERREZ DELGADO,2,,,MORENA
2,1,AGUASCALIENTES,,,11,EL LLANO,,,PRES_MUN,MORENA,1,JORGE DELGADO IBARRA,1,,,MORENA
2,1,AGUASCALIENTES,,,11,EL LLANO,,,SIND_MR,MORENA,1,MA. DEL RUBI AGUILAR ESPARZA,2,,,MORENA
2,1,AGUASCALIENTES,,,11,EL LLANO,,,REG_MR,MORENA,1,MONICA PATRICIA HIGUERA AGUILAR,2,,,MORENA
2,1,AGUASCALIENTES,,,11,EL LLANO,,,REG_MR,MORENA,2,ANA MARIA MAGALY BARBA NAVARRETE,2,,,MORENA
2,1,AGUASCALIENTES,,,11,EL LLANO,,,REG_MR,MORENA,3,JOSE ANTONIO RODRIGUEZ DAVILA,1,,,MORENA
2,1,AGUASCALIENTES,,,11,EL LLANO,,,REG_RP,PT,1,RICARDO PEDROZA ORTEGA,1,,,PT
2,1,AGUASCALIENTES,,,11,EL LLANO,,,REG_RP,PAN,2,MARISOL HERRERA ORTIZ,2,,,PAN
2,1,AGUASCALIENTES,,,11,EL LLANO,,,REG_RP,PRI,3,CELESTE STYVALY MARTINEZ RAMOS,2,,,PRI
