CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,82,1,1,24,1,1,44,18,57,69,20,0,0,101,2,1,1,1,0,0,2,0,1,0,0,1,1,0,0,0,345,0,16,361,536
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,83,1,1,37,13,3,74,10,84,76,29,0,0,97,4,3,4,0,0,1,1,0,1,0,1,7,0,1,0,0,446,0,32,478,675
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,84,1,1,7,5,2,27,11,44,24,4,0,0,16,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,145,0,15,160,225
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,86,1,1,9,8,1,55,17,70,25,0,0,0,15,2,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,210,0,9,219,290
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,88,1,1,16,1,4,155,26,48,22,0,0,0,32,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,309,0,5,314,426
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,89,1,1,19,7,1,109,15,38,28,22,0,0,11,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,254,0,6,260,381
1,18,NAYARIT,16,BUCERIAS,4,BAHIA DE BANDERAS,91,2,2,76,28,4,20,41,11,202,12,0,0,0,2,6,1,1,0,2,10,2,2,0,2,2,1,6,0,0,431,0,21,452,790
1,18,NAYARIT,16,BUCERIAS,4,BAHIA DE BANDERAS,92,2,2,60,27,7,30,27,18,252,3,0,0,0,4,5,0,0,0,8,8,0,0,0,1,2,0,5,1,0,458,0,17,475,847
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,93,1,1,25,3,1,6,8,0,67,6,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,0,1,0,0,123,0,7,130,218
1,18,NAYARIT,18,SAN JOSE DEL VALLE,4,BAHIA DE BANDERAS,94,1,1,81,12,5,6,11,0,185,30,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332,0,13,345,589
