ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,7,IXTLAN DEL RIO,5,IXTLAN DEL RIO 05,2,6,6,548,49,12,54,165,119,617,128,0,0,0,16,38,9,1,0,31,41,4,4,5,4,10,0,19,0,3,1877,3,48,1928,3203,
18,NAYARIT,7,IXTLAN DEL RIO,6,IXTLAN DEL RIO 06,6,9,9,681,82,33,152,134,145,447,42,0,0,0,10,37,8,4,0,19,46,2,0,3,9,10,0,14,0,0,1878,0,74,1952,3550,
18,NAYARIT,7,IXTLAN DEL RIO,7,IXTLAN DEL RIO 07,2,5,5,492,26,21,45,205,232,434,111,0,0,0,11,30,9,4,0,15,33,3,1,3,16,4,5,18,0,0,1718,1,74,1793,3268,
18,NAYARIT,8,JALA,1,JALA 01,4,6,6,274,139,7,137,31,171,357,813,0,0,7,13,14,9,1,3,13,16,4,3,7,4,4,0,4,0,0,2031,0,78,2109,3234,
18,NAYARIT,8,JALA,2,JALA 02,5,7,7,415,148,15,142,31,127,428,200,0,0,5,10,35,21,5,2,7,9,3,0,6,6,10,0,8,0,0,1633,0,61,1694,2492,
18,NAYARIT,8,JALA,3,JALA 03,4,6,6,308,60,2,155,79,963,324,216,0,0,6,8,13,6,1,0,8,16,1,1,1,3,4,0,8,0,1,2184,0,67,2251,3284,
18,NAYARIT,8,JALA,4,JALA 04,2,5,5,601,37,7,235,20,341,246,163,0,0,42,25,67,18,5,1,13,16,1,5,2,1,9,1,5,0,1,1862,0,98,1960,2770,
18,NAYARIT,8,JALA,5,JALA 05,3,6,6,498,87,10,307,57,269,538,57,0,0,5,25,34,10,6,3,29,10,19,2,4,2,9,1,12,0,2,1996,0,73,2069,2965,
18,NAYARIT,9,DEL NAYAR,1,DEL NAYAR 01,5,10,10,169,235,14,1079,109,104,452,87,0,0,37,0,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0,2315,7,330,2652,4590,
18,NAYARIT,9,DEL NAYAR,2,DEL NAYAR 02,5,12,12,73,557,20,1150,209,428,769,358,0,0,48,0,26,5,0,2,0,0,0,0,0,0,0,0,0,0,0,3645,29,110,3784,5960,
18,NAYARIT,9,DEL NAYAR,3,DEL NAYAR 03,3,7,7,55,386,8,398,58,559,278,35,0,0,78,0,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1886,13,159,2058,3813,
18,NAYARIT,9,DEL NAYAR,4,DEL NAYAR 04,4,7,7,75,403,8,501,77,531,223,9,0,0,66,0,30,11,2,1,0,0,0,0,0,0,0,0,0,0,0,1937,3,136,2076,3499,
18,NAYARIT,9,DEL NAYAR,5,DEL NAYAR 05,3,9,9,254,213,27,912,97,483,411,0,0,0,138,0,17,24,5,1,0,0,0,0,0,0,0,0,0,0,0,2582,2,285,2869,4708,
18,NAYARIT,9,DEL NAYAR,6,DEL NAYAR 06,3,9,9,22,875,29,302,119,993,193,8,0,0,15,0,15,3,1,2,0,0,0,0,0,0,0,0,0,0,0,2577,0,146,2723,4745,
18,NAYARIT,9,DEL NAYAR,7,DEL NAYAR 07,3,8,8,40,424,19,199,88,726,140,43,0,0,354,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0,2049,1,86,2136,3516,
18,NAYARIT,10,ROSAMORADA,1,ROSAMORADA 01,7,11,11,426,938,160,128,290,172,258,137,0,0,41,8,85,21,7,6,12,17,3,5,0,4,3,0,5,1,0,2727,1,69,2797,4171,
18,NAYARIT,10,ROSAMORADA,2,ROSAMORADA 02,5,8,8,188,305,38,70,155,419,320,397,0,0,91,21,18,8,0,1,14,26,1,3,2,9,8,1,6,0,1,2102,0,74,2176,3444,
18,NAYARIT,10,ROSAMORADA,3,ROSAMORADA 03,7,8,8,88,353,182,40,201,1174,411,0,0,0,357,11,49,4,1,3,4,15,1,0,2,1,3,0,9,1,2,2912,0,101,3013,4564,
18,NAYARIT,10,ROSAMORADA,4,ROSAMORADA 04,6,7,7,108,730,52,67,163,445,597,0,0,0,95,7,55,13,1,2,13,30,2,3,0,7,10,1,6,0,1,2408,0,72,2480,3581,
18,NAYARIT,10,ROSAMORADA,5,ROSAMORADA 05,4,7,7,70,111,232,96,301,445,525,145,0,0,341,26,23,6,6,0,24,40,3,4,3,8,4,0,10,2,0,2425,0,72,2497,3833,
18,NAYARIT,10,ROSAMORADA,6,ROSAMORADA 06,7,8,8,203,307,36,69,109,29,445,386,0,0,350,46,30,10,1,0,40,21,0,1,1,2,2,0,7,0,0,2095,0,69,2164,3537,
18,NAYARIT,10,ROSAMORADA,7,ROSAMORADA 07,7,11,11,84,428,30,135,487,58,757,54,0,0,102,35,18,8,0,1,41,27,2,3,3,11,3,2,13,0,0,2302,0,110,2412,3983,
18,NAYARIT,11,RUIZ,1,RUIZ 01,4,6,6,67,38,114,47,33,280,313,375,0,0,266,12,17,2,8,1,20,16,0,0,3,4,6,0,6,0,3,1631,0,66,1697,2672,
18,NAYARIT,11,RUIZ,2,RUIZ 02,6,9,9,182,170,14,145,21,126,191,670,0,0,87,19,16,5,3,1,3,6,0,1,0,1,8,1,2,0,2,1674,0,113,1787,3149,
18,NAYARIT,11,RUIZ,3,RUIZ 03,4,6,6,45,22,3,38,20,245,284,434,0,0,540,20,3,1,0,0,10,7,0,2,1,0,2,0,2,0,1,1680,0,43,1723,2593,
18,NAYARIT,11,RUIZ,4,RUIZ 04,2,5,5,31,15,40,32,31,373,374,387,0,0,71,4,6,0,0,0,14,13,0,0,0,1,9,2,1,0,1,1405,0,46,1451,2426,
18,NAYARIT,11,RUIZ,5,RUIZ 05,6,6,6,32,42,29,87,42,571,415,337,0,0,0,29,9,4,0,0,22,19,2,1,3,3,6,0,9,2,8,1672,0,69,1741,2890,
18,NAYARIT,11,RUIZ,6,RUIZ 06,2,4,4,54,32,11,339,21,527,250,178,0,0,0,16,1,2,0,0,10,15,1,0,1,1,19,2,0,0,0,1480,0,40,1520,2523,
18,NAYARIT,11,RUIZ,7,RUIZ 07,3,6,6,247,124,32,77,22,432,274,164,0,0,125,10,36,5,1,0,9,14,1,0,1,5,5,0,3,0,0,1587,0,63,1650,2682,
18,NAYARIT,12,SAN BLAS,1,SAN BLAS 01,6,10,10,479,116,17,96,44,461,523,0,970,15,30,27,46,16,2,1,17,45,2,3,9,15,15,0,7,0,4,2960,0,109,3069,5095,
18,NAYARIT,12,SAN BLAS,2,SAN BLAS 02,7,9,10,347,31,22,62,271,734,307,0,500,76,0,26,27,5,1,0,32,25,3,1,4,12,5,2,18,4,4,2519,0,121,2640,4364,
18,NAYARIT,12,SAN BLAS,3,SAN BLAS 03,9,10,11,1043,156,54,85,28,216,724,0,197,111,0,17,92,24,17,5,12,45,3,4,3,11,20,2,14,1,1,2885,1,125,3011,4795,
18,NAYARIT,12,SAN BLAS,4,SAN BLAS 04,4,10,10,1223,182,62,79,28,232,351,0,517,45,0,8,120,24,3,0,7,16,1,2,1,3,3,1,5,0,1,2914,1,97,3012,4668,
18,NAYARIT,12,SAN BLAS,5,SAN BLAS 05,7,9,10,1183,152,42,70,23,305,416,0,316,29,0,12,82,12,10,5,14,34,0,1,1,10,3,1,7,0,2,2730,0,89,2819,4161,
18,NAYARIT,12,SAN BLAS,6,SAN BLAS 06,9,12,13,522,119,37,104,80,420,689,0,548,38,0,23,93,30,1,2,13,161,4,3,4,4,10,0,15,2,3,2925,0,127,3052,4893,
18,NAYARIT,12,SAN BLAS,7,SAN BLAS 07,5,8,8,516,68,17,463,50,76,390,0,567,123,1,21,25,8,4,0,19,28,1,2,0,1,10,0,8,3,3,2404,0,115,2519,4034,
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,1,SAN PEDRO LAGUNILLAS 01,3,4,4,136,91,26,76,10,28,159,0,0,0,224,5,40,4,1,0,3,12,2,0,1,0,4,0,1,0,1,824,0,30,854,1339,
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,2,SAN PEDRO LAGUNILLAS 02,1,3,3,72,65,9,65,41,16,277,9,0,0,183,31,35,8,3,0,27,18,1,0,2,0,6,1,2,1,1,873,0,23,896,1436,
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,3,SAN PEDRO LAGUNILLAS 03,2,3,3,155,120,22,58,43,19,207,0,0,0,121,13,56,8,0,0,21,12,0,5,1,3,5,1,3,0,2,875,0,32,907,1416,
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,4,SAN PEDRO LAGUNILLAS 04,2,2,3,115,45,8,21,18,46,233,0,0,0,154,14,18,3,2,0,2,11,1,1,2,5,5,0,6,0,1,711,0,23,734,1290,
18,NAYARIT,13,SAN PEDRO LAGUNILLAS,5,SAN PEDRO LAGUNILLAS 05,5,5,5,86,52,16,32,46,32,271,0,0,0,440,6,8,1,0,0,17,15,2,2,0,3,3,0,2,0,2,1036,0,32,1068,1638,
18,NAYARIT,14,SANTA MARIA DEL ORO,1,SANTA MARIA DEL ORO 01,2,6,6,63,126,30,235,34,423,243,671,0,0,281,15,12,4,0,2,20,29,3,4,1,2,8,0,5,0,1,2212,0,76,2288,3296,
18,NAYARIT,14,SANTA MARIA DEL ORO,2,SANTA MARIA DEL ORO 02,2,4,4,349,168,82,105,37,109,228,261,0,0,11,15,85,16,5,2,8,8,8,2,4,2,6,4,11,2,4,1532,25,72,1629,2474,
18,NAYARIT,14,SANTA MARIA DEL ORO,3,SANTA MARIA DEL ORO 03,6,7,7,34,75,32,128,186,179,441,487,0,0,0,12,13,4,2,2,32,30,1,8,1,5,13,1,11,0,0,1697,0,86,1783,3022,
18,NAYARIT,14,SANTA MARIA DEL ORO,4,SANTA MARIA DEL ORO 04,2,5,5,68,90,39,66,80,323,574,307,0,0,0,34,45,10,0,4,32,34,3,7,6,4,10,2,11,1,8,1758,0,78,1836,2972,
18,NAYARIT,14,SANTA MARIA DEL ORO,5,SANTA MARIA DEL ORO 05,4,6,6,78,69,106,68,47,238,515,186,0,0,54,36,109,3,2,5,35,39,0,8,4,10,9,0,15,1,4,1641,1,81,1723,2645,
18,NAYARIT,14,SANTA MARIA DEL ORO,6,SANTA MARIA DEL ORO 06,4,6,6,39,66,41,79,57,273,629,487,0,0,46,21,25,5,1,1,30,28,5,3,3,6,7,1,1,1,3,1858,0,119,1977,2882,
18,NAYARIT,14,SANTA MARIA DEL ORO,7,SANTA MARIA DEL ORO 07,3,5,5,61,107,35,58,36,168,290,603,0,0,27,28,25,4,1,0,36,12,0,0,3,4,3,3,1,0,2,1507,0,56,1563,2754,
18,NAYARIT,15,SANTIAGO IXCUINTLA,1,SANTIAGO IXCUINTLA 01,13,18,18,272,231,659,200,142,842,1546,188,0,0,133,41,84,8,15,10,46,53,2,6,3,3,16,0,18,0,7,4525,1,142,4668,8611,
18,NAYARIT,15,SANTIAGO IXCUINTLA,2,SANTIAGO IXCUINTLA 02,14,20,20,117,174,328,185,93,1801,1273,0,0,0,0,28,50,6,4,2,36,93,6,5,2,23,33,0,23,0,6,4288,0,170,4458,8552,
18,NAYARIT,15,SANTIAGO IXCUINTLA,3,SANTIAGO IXCUINTLA 03,14,19,20,267,240,480,243,150,1817,1082,148,0,0,153,20,74,3,8,2,37,86,12,4,4,7,21,1,12,1,2,4874,0,148,5022,8726,
18,NAYARIT,15,SANTIAGO IXCUINTLA,4,SANTIAGO IXCUINTLA 04,11,17,18,421,121,72,202,171,1257,1779,0,0,0,18,33,37,6,1,2,51,88,8,14,12,5,25,2,12,1,0,4338,2,164,4504,7739,
18,NAYARIT,15,SANTIAGO IXCUINTLA,5,SANTIAGO IXCUINTLA 05,12,18,18,150,129,258,164,256,1363,1574,0,0,0,0,16,46,6,5,2,26,105,1,7,7,22,34,0,31,0,1,4203,1,194,4398,8335,
18,NAYARIT,15,SANTIAGO IXCUINTLA,6,SANTIAGO IXCUINTLA 06,13,19,19,77,187,40,289,138,2258,2114,382,0,0,0,60,19,0,3,0,26,28,2,5,1,2,16,0,11,0,3,5661,6,167,5834,8615,
18,NAYARIT,15,SANTIAGO IXCUINTLA,7,SANTIAGO IXCUINTLA 07,12,17,18,104,124,90,220,359,1333,1503,182,0,0,0,20,26,4,1,0,23,79,2,2,5,16,19,1,21,1,2,4137,3,194,4334,8323,
18,NAYARIT,15,SANTIAGO IXCUINTLA,8,SANTIAGO IXCUINTLA 08,13,17,18,34,47,41,681,159,1024,1886,231,0,0,0,32,5,0,0,0,21,80,0,4,2,14,30,1,13,1,2,4308,0,161,4469,8267,
18,NAYARIT,15,SANTIAGO IXCUINTLA,9,SANTIAGO IXCUINTLA 09,9,15,15,249,88,97,490,313,1300,1160,66,0,0,0,16,28,2,3,0,23,72,7,7,11,20,23,1,10,0,3,3989,7,140,4136,7577,
18,NAYARIT,16,TECUALA,1,TECUALA 01,8,9,9,48,417,35,284,130,341,950,0,0,0,216,50,28,7,1,0,59,36,2,6,8,10,14,5,10,0,1,2658,0,83,2741,4171,
18,NAYARIT,16,TECUALA,2,TECUALA 02,7,9,9,179,534,88,176,203,517,537,0,0,0,300,18,71,6,0,5,33,26,0,4,3,11,12,0,3,1,0,2727,0,104,2831,4294,
18,NAYARIT,16,TECUALA,3,TECUALA 03,8,9,9,77,310,42,154,79,546,617,36,0,0,565,37,27,5,0,1,49,30,2,6,4,5,15,1,5,0,6,2619,0,94,2713,4100,
18,NAYARIT,16,TECUALA,4,TECUALA 04,6,9,9,83,222,106,134,110,504,441,270,0,0,642,28,32,2,2,0,23,49,4,2,3,4,7,3,11,2,0,2684,2,78,2764,4207,
18,NAYARIT,16,TECUALA,5,TECUALA 05,5,8,8,22,67,18,568,56,942,598,12,0,0,210,33,5,0,0,0,40,34,7,4,2,3,32,3,6,0,3,2665,2,73,2740,4195,
18,NAYARIT,16,TECUALA,6,TECUALA 06,8,10,10,130,196,41,275,63,451,682,115,0,0,550,24,16,9,1,2,43,34,6,6,2,13,15,0,9,1,2,2686,2,86,2774,4301,
18,NAYARIT,16,TECUALA,7,TECUALA 07,8,8,8,107,379,52,135,46,1079,439,69,0,0,121,18,37,9,1,0,15,23,2,2,5,3,14,0,5,0,3,2564,1,66,2631,4074,
18,NAYARIT,17,TEPIC,1,TEPIC 01,23,49,50,872,728,155,877,769,2542,4315,932,0,0,1166,161,135,25,3,4,107,283,28,12,16,37,63,9,51,2,6,13298,12,460,13770,27867,
18,NAYARIT,17,TEPIC,2,TEPIC 02,25,54,55,1630,1261,311,842,581,3589,5092,908,0,0,642,140,189,35,11,4,120,356,7,10,16,30,70,3,71,0,13,15931,24,552,16507,30639,
18,NAYARIT,17,TEPIC,3,TEPIC 03,15,44,45,489,575,161,786,294,2377,4036,401,0,0,571,78,80,16,5,4,63,200,1,6,8,18,74,6,31,3,2,10285,10,434,10729,24829,
18,NAYARIT,17,TEPIC,4,TEPIC 04,30,56,57,1593,1558,331,978,536,2479,5704,973,0,0,943,213,219,38,11,3,55,380,3,12,8,53,103,5,71,0,8,16277,9,602,16888,32502,
