ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN,MLN,RSPN,FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
18,NAYARIT,19,XALISCO,5,XALISCO 05,4,7,7,252,126,68,140,72,564,685,58,58,80,30,2133,1,88,2222,4311,
18,NAYARIT,19,XALISCO,6,XALISCO 06,6,13,13,308,269,90,283,101,607,1065,127,128,82,22,3082,0,162,3244,5992,
18,NAYARIT,19,XALISCO,7,XALISCO 07,4,11,11,290,148,60,395,85,902,891,144,145,160,27,3247,3,135,3385,5683,
18,NAYARIT,19,XALISCO,8,XALISCO 08,2,8,9,496,174,50,204,223,475,902,117,118,88,39,2886,0,96,2982,5311,
18,NAYARIT,19,XALISCO,9,XALISCO 09,1,7,7,339,158,119,221,73,527,751,76,77,55,29,2425,0,65,2490,4622,
18,NAYARIT,20,LA YESCA,1,LA YESCA 01,4,7,7,151,59,21,58,64,645,421,0,0,0,27,1446,0,80,1526,2416,
18,NAYARIT,20,LA YESCA,2,LA YESCA 02,2,4,4,121,45,14,69,33,397,424,0,0,0,18,1121,0,30,1151,1711,
18,NAYARIT,20,LA YESCA,3,LA YESCA 03,1,3,3,24,32,4,63,21,211,176,0,0,1,12,544,0,9,553,868,
18,NAYARIT,20,LA YESCA,4,LA YESCA 04,3,5,5,111,33,12,53,34,787,358,0,0,6,28,1422,0,51,1473,2212,
18,NAYARIT,20,LA YESCA,5,LA YESCA 05,1,2,2,144,26,6,81,166,267,219,0,0,0,12,921,0,26,947,1388,
