CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,5,AMATITAN,43,C,3,0,C03,0,29,12,5,17,5,162,221,5,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,466,0,11,477,722,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,5,AMATITAN,44,B,1,0,B,0,13,5,3,18,5,162,134,6,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,0,12,364,534,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,5,AMATITAN,47,B,1,0,B,0,13,21,2,31,4,193,161,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,433,0,7,440,589,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,48,C,1,0,C01,0,24,30,4,12,5,100,170,15,1,5,1,0,0,2,0,1,7,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,1,384,3,11,398,719,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,48,C,3,0,C03,0,31,33,3,11,5,128,141,8,4,7,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,381,1,9,391,718,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,50,B,1,0,B,0,17,24,4,7,11,151,161,12,7,2,2,0,0,1,0,0,7,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,6,415,731,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,50,C,1,0,C01,0,21,19,3,5,10,157,153,5,2,1,0,0,0,2,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,388,0,7,395,731,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,50,C,2,0,C02,0,21,21,1,10,8,148,156,12,4,3,0,0,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,395,0,12,407,730,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,51,B,1,0,B,0,29,29,5,4,3,129,141,8,3,1,0,0,0,2,0,1,2,0,0,0,1,0,0,0,3,0,1,0,0,0,0,2,0,0,0,1,0,1,0,366,0,11,377,634,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,6,AMECA,51,C,1,0,C01,0,26,32,0,12,6,123,134,6,6,3,0,0,0,2,0,2,5,0,0,1,0,0,0,0,5,0,0,1,0,0,0,2,0,0,0,0,0,2,0,368,0,14,382,634,Grupo de recuento,,,
