CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,31,YUCATAN,1,MERIDA,50,MERIDA,352,1,1,294,31,3,7,3,17,95,3,0,0,0,0,3,0,3,0,459,1,14,474,667
3,31,YUCATAN,4,MERIDA,50,MERIDA,353,1,1,219,30,1,4,1,17,69,0,0,0,0,0,8,1,0,0,350,2,13,365,548
3,31,YUCATAN,4,MERIDA,50,MERIDA,354,1,1,275,41,5,11,7,26,116,0,0,0,0,0,7,0,2,0,490,0,16,506,736
3,31,YUCATAN,4,MERIDA,50,MERIDA,355,2,2,356,89,3,19,3,22,254,16,0,0,0,0,4,10,2,4,782,0,29,811,1127
3,31,YUCATAN,3,MERIDA,50,MERIDA,356,2,2,331,87,2,10,14,47,212,5,0,0,0,0,0,0,0,13,721,0,26,747,1010
3,31,YUCATAN,3,MERIDA,50,MERIDA,357,1,1,330,45,0,7,6,19,101,7,0,0,0,0,0,0,0,0,515,0,14,529,702
3,31,YUCATAN,3,MERIDA,50,MERIDA,358,2,2,283,58,4,32,12,51,290,9,0,0,0,0,0,0,0,7,746,0,44,790,1128
3,31,YUCATAN,3,MERIDA,50,MERIDA,359,2,2,410,91,2,35,14,41,247,7,0,0,0,0,0,0,0,9,856,0,53,909,1271
3,31,YUCATAN,3,MERIDA,50,MERIDA,360,2,2,403,57,2,23,1,35,153,10,0,0,0,0,0,0,0,7,691,3,16,710,908
3,31,YUCATAN,3,MERIDA,50,MERIDA,361,2,2,209,31,5,45,10,45,317,6,0,0,0,0,0,0,0,4,672,0,48,720,1123
3,31,YUCATAN,4,MERIDA,50,MERIDA,362,2,2,246,60,7,20,12,54,291,5,0,0,0,0,22,1,14,1,733,1,34,768,1160
3,31,YUCATAN,4,MERIDA,50,MERIDA,363,2,2,355,65,2,12,12,39,144,2,0,0,0,0,13,1,4,1,650,0,33,683,1166
3,31,YUCATAN,4,MERIDA,50,MERIDA,364,1,1,104,51,1,8,4,21,69,1,0,0,0,0,7,0,1,0,267,0,8,275,379
3,31,YUCATAN,1,MERIDA,50,MERIDA,365,1,1,147,36,1,4,1,14,113,4,0,0,0,0,1,0,3,6,330,1,14,345,540
3,31,YUCATAN,1,MERIDA,50,MERIDA,366,1,1,260,32,7,12,1,28,120,7,0,0,0,0,0,1,6,1,475,1,21,497,668
3,31,YUCATAN,1,MERIDA,50,MERIDA,367,3,3,429,44,15,13,5,47,153,5,0,0,0,0,6,0,3,3,723,0,23,746,902
3,31,YUCATAN,1,MERIDA,50,MERIDA,368,1,1,205,38,4,10,7,33,199,5,0,0,0,0,13,0,4,1,519,0,24,543,742
3,31,YUCATAN,1,MERIDA,50,MERIDA,369,2,2,206,53,2,11,9,37,219,8,0,0,0,0,19,0,0,2,566,2,21,589,861
3,31,YUCATAN,1,MERIDA,50,MERIDA,370,2,2,342,49,3,13,6,23,140,5,0,0,0,0,7,1,2,1,592,1,17,610,818
3,31,YUCATAN,1,MERIDA,50,MERIDA,371,2,2,358,55,5,8,3,28,147,5,0,0,0,0,11,0,2,1,623,1,17,641,824
3,31,YUCATAN,1,MERIDA,50,MERIDA,372,2,2,320,46,4,8,6,44,155,10,0,0,0,0,10,0,2,2,607,3,33,643,819
3,31,YUCATAN,1,MERIDA,50,MERIDA,373,3,3,483,67,4,11,6,57,197,13,0,0,0,0,7,0,1,3,849,0,14,863,1657
3,31,YUCATAN,8,MERIDA,50,MERIDA,374,2,2,56,27,1,11,4,20,150,2,0,0,0,0,6,1,1,1,280,0,13,293,893
3,31,YUCATAN,8,MERIDA,50,MERIDA,375,2,2,196,32,5,7,4,58,205,6,0,0,0,35,203,0,7,3,761,0,25,786,1237
3,31,YUCATAN,1,MERIDA,50,MERIDA,376,2,2,366,75,5,12,6,66,188,14,0,0,0,0,13,0,4,3,752,0,29,781,1080
3,31,YUCATAN,1,MERIDA,50,MERIDA,377,2,2,411,60,5,18,9,68,249,10,0,0,0,0,19,1,4,3,857,3,23,883,1186
3,31,YUCATAN,1,MERIDA,50,MERIDA,378,2,2,232,44,8,18,16,48,336,13,0,0,0,0,18,3,6,12,754,1,41,796,1199
3,31,YUCATAN,1,MERIDA,50,MERIDA,379,2,2,263,43,4,25,13,64,276,10,0,0,0,0,16,0,5,5,724,0,27,751,1044
3,31,YUCATAN,1,MERIDA,50,MERIDA,380,1,1,177,36,2,9,5,34,143,5,0,0,0,0,13,0,1,2,427,0,16,443,654
3,31,YUCATAN,7,MERIDA,50,MERIDA,381,2,2,156,63,1,11,6,40,268,2,0,3,0,0,0,0,0,0,550,0,47,597,839
3,31,YUCATAN,7,MERIDA,50,MERIDA,382,16,16,2344,382,53,213,164,624,2862,68,0,104,0,0,0,0,0,0,6814,4,363,7181,11299
3,31,YUCATAN,7,MERIDA,50,MERIDA,383,2,2,192,31,3,8,4,30,157,5,0,6,0,0,0,0,0,0,436,0,19,455,1240
3,31,YUCATAN,7,MERIDA,50,MERIDA,384,1,1,221,40,6,16,5,35,158,3,0,14,0,0,0,0,0,0,498,0,18,516,700
3,31,YUCATAN,7,MERIDA,50,MERIDA,385,1,1,165,44,9,14,7,36,151,6,0,4,0,0,0,0,0,0,436,0,33,469,629
3,31,YUCATAN,7,MERIDA,50,MERIDA,386,2,2,173,29,3,23,12,50,323,6,0,11,0,0,0,0,0,0,630,0,16,646,967
3,31,YUCATAN,1,MERIDA,50,MERIDA,387,2,2,337,53,10,32,16,62,337,16,0,0,0,0,17,1,8,5,894,1,24,919,1464
3,31,YUCATAN,1,MERIDA,50,MERIDA,388,3,3,660,86,9,18,11,91,302,20,0,0,0,0,18,0,6,0,1221,1,30,1252,1692
3,31,YUCATAN,1,MERIDA,50,MERIDA,389,3,3,277,73,4,18,9,43,204,13,0,0,0,0,12,1,3,3,660,1,21,682,827
3,31,YUCATAN,1,MERIDA,50,MERIDA,390,1,1,127,26,6,8,13,28,204,9,0,0,0,0,7,0,6,1,435,0,15,450,679
3,31,YUCATAN,1,MERIDA,50,MERIDA,391,2,2,343,54,11,15,9,38,206,11,0,0,0,0,15,1,3,3,709,1,27,737,1076
3,31,YUCATAN,1,MERIDA,50,MERIDA,392,1,1,174,49,3,12,8,25,142,6,0,0,0,0,16,0,3,3,441,0,18,459,687
3,31,YUCATAN,1,MERIDA,50,MERIDA,393,2,2,236,51,6,6,7,28,183,4,0,0,0,0,14,0,3,2,540,1,16,557,778
3,31,YUCATAN,1,MERIDA,50,MERIDA,394,1,1,134,29,1,1,2,7,91,2,0,0,0,0,6,0,5,2,280,0,21,301,426
3,31,YUCATAN,4,MERIDA,50,MERIDA,395,1,1,179,29,2,9,3,16,68,0,0,0,0,0,1,0,0,3,310,0,8,318,473
3,31,YUCATAN,4,MERIDA,50,MERIDA,396,1,1,125,23,3,6,3,19,102,3,0,0,0,0,8,1,0,2,295,0,11,306,445
3,31,YUCATAN,4,MERIDA,50,MERIDA,397,1,1,198,39,1,9,6,34,141,4,0,0,0,0,8,1,3,2,446,0,19,465,639
3,31,YUCATAN,4,MERIDA,50,MERIDA,398,1,1,178,26,5,12,7,30,192,4,0,0,0,0,15,0,1,3,473,2,13,488,727
3,31,YUCATAN,4,MERIDA,50,MERIDA,399,2,2,108,11,3,15,6,23,183,6,0,0,0,0,9,1,1,0,366,0,15,381,871
3,31,YUCATAN,4,MERIDA,50,MERIDA,400,2,2,189,46,3,22,8,39,272,1,0,0,0,0,17,0,5,1,603,1,28,632,1036
3,31,YUCATAN,4,MERIDA,50,MERIDA,401,2,2,225,42,3,26,12,48,354,10,0,0,0,0,16,2,7,3,748,0,37,785,1462
3,31,YUCATAN,4,MERIDA,50,MERIDA,402,3,3,311,50,15,56,25,84,470,15,0,0,0,0,39,0,1,0,1066,1,52,1119,1528
3,31,YUCATAN,4,MERIDA,50,MERIDA,403,3,3,262,45,6,45,23,84,594,19,0,0,0,0,35,3,4,3,1123,0,41,1164,2238
