CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_PVEM_RSP_FXM_PANALT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,386,4,4,94,70,11,490,0,75,26,0,0,0,0,8,984,0,1758,67,1825,2270
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,624,3,3,204,36,21,466,0,58,41,0,0,0,0,5,713,4,1544,93,1641,2196
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,625,4,4,168,57,29,549,0,74,67,0,0,0,0,6,684,0,1634,76,1710,2375
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,29,TEPEYANCO,387,4,4,20,12,8,488,0,37,33,0,0,0,0,1,738,0,1337,33,1370,1762
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,29,TEPEYANCO,388,2,2,16,9,3,380,0,26,19,0,0,0,0,0,579,0,1032,36,1068,1433
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,29,TEPEYANCO,389,2,2,21,10,4,157,0,30,10,0,0,0,0,1,198,0,431,15,446,753
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,29,TEPEYANCO,390,2,2,13,10,19,325,0,23,17,0,0,0,0,2,303,0,712,28,740,976
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,29,TEPEYANCO,393,2,2,21,9,13,277,0,36,20,0,0,0,0,1,328,1,705,23,729,973
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,29,TEPEYANCO,394,4,4,48,40,51,895,0,67,30,0,0,0,0,0,670,0,1801,73,1874,2267
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,29,TEPEYANCO,397,3,3,34,33,17,641,0,80,49,0,0,0,0,2,578,0,1434,77,1511,1854
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,32,TETLATLAHUCA,424,3,3,5,8,9,840,0,22,18,0,0,0,0,1,302,0,1205,27,1232,1635
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,32,TETLATLAHUCA,425,3,3,10,17,19,758,0,19,24,0,0,0,0,0,400,0,1247,25,1272,1619
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,32,TETLATLAHUCA,426,3,3,12,10,4,752,0,15,28,0,0,0,0,0,286,0,1107,18,1125,1501
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,32,TETLATLAHUCA,427,3,3,11,17,13,551,0,34,31,0,0,0,0,0,754,0,1411,42,1453,2028
