ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,155,TEHUACAN,105,376,378,27336,5983,2122,12127,4244,12180,1585,61163,1234,867,641,788,87,63,25,378,93,25,22,16,21,588,189,109,41,44,58,1233,117,28,54,43,7,53,25,4,45,343,500,13,30,695,40,22,38,72,14,135405,60,6404,141869,239414,
21,PUEBLA,156,TEHUITZINGO,9,22,22,232,1656,52,134,632,65,42,2945,329,24,21,25,2,0,1,29,4,0,3,3,0,10,7,4,0,1,2,25,1,1,2,0,0,1,1,0,3,10,20,3,3,5,3,0,7,3,0,6311,3,241,6555,9916,
21,PUEBLA,157,TENAMPULCO,8,12,12,794,1098,17,73,85,61,3,1964,14,28,11,22,1,0,1,101,2,1,1,2,2,6,2,2,1,0,0,10,1,0,1,1,0,0,1,0,1,10,8,0,1,12,0,0,0,2,2,4342,0,138,4480,5583,
21,PUEBLA,158,TEOPANTLAN,4,7,7,608,390,19,31,79,24,12,1038,12,12,2,1,0,0,0,0,4,1,1,0,0,2,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,5,1,0,7,0,0,1,0,0,2262,0,112,2374,3216,
21,PUEBLA,159,TEOTLALCO,4,6,6,88,514,25,119,61,42,21,503,151,61,10,8,0,0,4,9,2,1,1,0,0,4,3,0,0,0,0,5,2,1,1,1,0,2,0,1,1,2,4,1,0,6,2,0,4,1,0,1661,0,93,1754,2622,
21,PUEBLA,160,TEPANCO DE LOPEZ,7,26,27,1147,379,249,439,1206,1570,1030,2850,1192,66,69,25,16,8,1,20,8,8,2,8,8,103,25,8,6,10,14,53,15,0,23,2,2,28,2,3,11,50,43,12,2,44,22,2,110,12,16,10919,40,752,11711,17355,
21,PUEBLA,161,TEPANGO DE RODRIGUEZ,2,6,6,473,34,10,26,643,34,29,783,9,382,3,4,0,2,0,4,0,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,0,2,1,0,0,3,5,0,0,1,0,2,0,9,1,2467,0,118,2585,3260,
21,PUEBLA,162,TEPATLAXCO DE HIDALGO,7,21,21,1746,461,121,476,408,1183,400,2725,494,208,145,41,16,4,0,25,9,12,3,11,2,34,0,3,0,4,2,26,2,2,4,0,0,7,1,1,1,10,10,4,3,18,4,24,13,5,4,8672,11,412,9095,13182,
21,PUEBLA,163,TEPEACA,27,98,98,6743,1796,817,2180,1362,1706,389,18249,392,299,0,0,0,0,0,319,0,0,0,0,0,664,113,40,34,31,23,344,48,3,12,15,3,24,11,4,22,102,151,12,6,187,10,12,33,41,7,36204,6,1928,38138,61121,
21,PUEBLA,164,TEPEMAXALCO,1,2,2,3,7,2,28,20,4,194,145,176,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,5,0,0,595,0,31,626,846,
21,PUEBLA,165,TEPEOJUMA,6,15,15,125,1597,28,100,147,89,16,2054,16,20,6,15,1,0,0,8,0,1,1,1,6,14,2,3,1,1,1,55,1,0,2,2,0,0,0,0,1,7,44,0,1,18,0,0,0,0,0,4384,0,203,4587,7120,
21,PUEBLA,166,TEPETZINTLA,7,16,16,128,1618,15,907,243,296,13,1715,40,35,4,9,0,0,0,15,2,0,1,0,0,5,1,0,0,1,1,6,2,1,0,0,0,2,0,0,0,9,4,0,0,14,2,1,0,0,2,5092,0,396,5488,7854,
21,PUEBLA,167,TEPEXCO,3,8,8,54,172,15,414,213,105,556,1120,276,562,0,2,0,0,0,5,0,0,15,1,0,4,1,1,0,1,1,8,3,3,0,1,0,2,2,0,1,3,7,1,0,10,0,2,3,7,3,3574,0,230,3804,5419,
21,PUEBLA,168,TEPEXI DE RODRIGUEZ,11,30,30,687,2435,98,272,234,167,73,4752,86,50,84,55,3,1,1,38,4,0,5,2,1,54,14,4,1,1,6,67,2,0,4,1,0,5,1,1,1,15,20,0,2,28,4,1,2,5,1,9288,0,476,9764,15892,
