ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,42,HOSTOTIPAQUILLO,11,16,16,238,100,27,500,78,2124,1267,65,13,,,10,4,5,1,19,9,3,20,1,2,0,9,6,2,2,30,0,2,1,2,3,1,5,0,1,0,1,7,2,0,4560,0,123,4683,7006,
14,JALISCO,43,HUEJUCAR,5,11,11,469,1241,12,22,11,1075,289,10,1,,,147,61,3,0,1,1,0,17,3,1,0,4,0,0,1,3,0,0,0,0,0,1,2,0,1,0,0,1,0,0,3377,0,107,3484,5914,
14,JALISCO,44,HUEJUQUILLA EL ALTO,7,17,17,133,902,17,102,48,1518,1665,44,11,,,42,31,0,0,6,6,1,31,2,0,0,6,0,3,0,27,0,1,1,2,0,0,8,0,0,0,1,13,4,1,4626,1,170,4797,7615,
14,JALISCO,45,LA HUERTA,19,37,37,315,4203,56,123,93,3935,2061,30,39,,,152,46,5,3,9,3,6,98,3,1,3,20,1,3,2,33,0,0,4,2,1,7,16,1,1,1,2,7,14,5,11304,2,410,11716,19521,
14,JALISCO,46,IXTLAHUACAN DE LOS MEMBRILLOS,19,67,67,769,10867,120,859,414,2230,5357,228,165,,,855,114,13,28,,,,,,,,,,,,,,,,,,,,,,,,,,,22019,7,986,23012,43391,
14,JALISCO,47,IXTLAHUACAN DEL RIO,12,28,28,252,769,27,2369,64,3107,3594,69,,,,44,10,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,10309,4,289,10602,16988,
14,JALISCO,48,JALOSTOTITLAN,22,51,51,2489,3406,70,148,74,6700,1084,95,19,,,249,172,1,8,5,8,4,46,2,2,1,5,1,2,0,20,0,1,0,3,2,1,7,1,0,1,2,9,1,0,14639,9,360,15008,28437,
14,JALISCO,49,JAMAY,12,34,35,4226,923,153,69,77,5153,1135,25,13,,,831,128,19,3,6,6,7,30,2,0,1,3,0,2,2,11,0,0,0,2,1,1,8,0,1,0,2,2,4,0,12846,11,322,13179,20711,
14,JALISCO,50,JESUS MARIA,14,30,30,4175,510,50,2178,63,624,466,117,16,,,247,161,7,2,38,18,3,62,1,2,0,12,4,18,4,52,3,22,1,0,0,0,6,2,1,1,1,0,1,0,8868,10,327,9205,17613,
14,JALISCO,51,JILOTLAN DE LOS DOLORES,7,10,10,1240,,,22,10,1211,91,121,4,,,,,,,1,0,0,1,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,0,2713,0,99,2812,6348,
