CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,588,2,2,68,41,1,11,4,256,100,7,10,,,5,5,0,0,1,0,2,3,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,518,1,11,530,773
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,589,1,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,590,2,2,82,24,1,13,7,410,58,5,8,,,4,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,619,3,4,626,831
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,591,2,2,124,22,3,7,3,479,53,1,9,,,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,713,0,6,719,922
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,592,2,2,128,15,2,3,1,499,43,1,4,,,3,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,705,0,4,709,913
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,593,2,2,151,35,5,5,6,767,89,8,12,,,8,3,0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1097,0,6,1103,1478
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,594,1,1,92,25,1,5,3,356,37,2,6,,,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,2,538,720
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,595,1,1,63,28,0,4,4,322,40,11,0,,,1,6,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,4,488,660
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,596,1,1,81,35,2,3,3,326,42,1,7,,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,1,516,1,7,524,647
1,14,JALISCO,8,GUADALAJARA,41,GUADALAJARA,597,1,1,79,19,1,4,3,334,35,3,5,,,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,493,2,8,503,724
