ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,88,TECALITLAN,16,30,30,,,,,,3957,,,,,,609,3834,8400,4,262,8666,14386,
14,JALISCO,89,TECOLOTLAN,13,28,28,,,,,,1750,,,,,,1532,6123,9405,1,194,9600,15256,
14,JALISCO,90,TECHALUTA DE MONTENEGRO,3,6,6,,,,14,1209,1030,,,2,,,,,2255,0,69,2324,3438,
14,JALISCO,91,TENAMAXTLAN,6,13,13,,,,,,387,,,,,,2099,1672,4158,1,111,4270,7248,
14,JALISCO,92,TEOCALTICHE,23,56,56,,,,,,4425,,,,,,5863,5319,15607,6,729,16342,32747,
14,JALISCO,93,TEOCUITATLAN DE CORONA,10,20,21,,,,2223,,1123,723,1745,,,,626,,6440,1,209,6650,10440,
14,JALISCO,94,TEPATITLAN DE MORELOS,64,212,213,,,,,,21139,,,,,,43436,8420,72995,25,1541,74561,133894,
14,JALISCO,95,TEQUILA,26,60,61,,,,,,2089,,,,3754,,6686,7490,20019,5,426,20450,34921,
14,JALISCO,96,TEUCHITLAN,6,13,13,,,,,,2693,,,,,,1855,835,5383,5,200,5588,8477,
14,JALISCO,97,TIZAPAN EL ALTO,14,35,35,,,,,,3270,,,,,,4458,2396,10124,13,262,10399,18712,
14,JALISCO,98,TLAJOMULCO DE ZUÑIGA,168,694,696,,,,,,94337,,,,,,20777,75267,190381,209,2729,193319,451757,
14,JALISCO,99,SAN PEDRO TLAQUEPAQUE,225,809,811,,,,,,109424,,,,,,39506,121345,270275,263,5431,275969,521991,
14,JALISCO,100,TOLIMAN,7,16,16,,,,,,2797,,,,,,1845,812,5454,2,191,5647,8551,
14,JALISCO,101,TOMATLAN,17,46,46,,,,1481,2157,5370,3450,337,599,,,430,,13824,0,598,14422,26962,
14,JALISCO,102,TONALA,113,584,585,,,,6103,2695,47075,74328,4034,3923,,6738,38964,,183860,411,7972,192243,393283,
14,JALISCO,103,TONAYA,5,10,10,,,,,,736,,,,,,1927,361,3024,4,165,3193,5831,
14,JALISCO,104,TONILA,7,12,13,,,,42,,1979,1879,,,,,780,,4680,1,104,4785,6369,
14,JALISCO,105,TOTATICHE,6,11,11,,,,,,895,,,,,,1412,232,2539,1,92,2632,4279,
14,JALISCO,106,TOTOTLAN,14,33,34,,,,128,,3339,4116,194,,,,2869,,10646,2,370,11018,19663,
14,JALISCO,107,TUXCACUESCO,5,10,10,,,,,,158,,,,,,1760,1124,3042,5,66,3113,4627,
14,JALISCO,108,TUXCUECA,4,11,11,,,,,,2083,,,,,,396,1494,3973,0,96,4069,6369,
14,JALISCO,109,TUXPAN,23,51,51,,,,,,4181,9573,,1116,,,1446,,16316,13,644,16973,29830,
14,JALISCO,110,UNION DE SAN ANTONIO,10,26,26,,,,,,797,,,,,,6390,2786,9973,3,325,10301,15242,
14,JALISCO,111,UNION DE TULA,14,24,24,,,,,,2362,,,,,,1414,2942,6718,0,200,6918,12797,
