CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,1,TEQUILA,7,SAN JUANITO DE ESCOBEDO,101,B,1,0,B,0,34,6,2,3,50,79,78,0,0,,,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,261,0,14,275,451,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,24,C,1,0,C01,0,15,143,2,6,6,178,51,0,0,,,6,2,0,0,1,0,0,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,9,425,595,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,24,C,3,0,C03,0,7,144,0,4,1,205,58,1,1,,,5,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,12,442,595,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,26,B,1,0,B,0,15,78,2,0,4,156,44,1,0,,,5,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,311,0,9,320,428,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,27,B,1,0,B,0,8,127,1,5,4,190,82,4,1,,,7,1,0,1,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,439,0,4,443,634,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,28,B,1,0,B,0,3,131,1,3,1,183,51,4,1,,,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,386,0,8,394,514,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,30,B,1,0,B,0,20,108,1,1,3,164,29,7,2,,,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,345,0,4,349,454,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,31,C,2,0,C02,0,10,154,3,2,8,185,59,3,1,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,0,9,445,607,Acta casilla,,,
1,14,JALISCO,1,TEQUILA,3,AHUALULCO DE MERCADO,34,C,2,0,C02,0,11,188,4,2,6,180,74,1,0,,,9,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,482,0,12,494,729,Grupo de recuento,,,
1,14,JALISCO,1,TEQUILA,9,EL ARENAL,141,C,4,0,C04,0,122,16,6,2,4,161,90,0,3,,,7,2,0,0,7,0,0,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,428,0,5,433,732,Grupo de recuento,,,
