CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,485,C,3,0,C03,0,104,27,4,7,160,12,121,1,0,0,0,436,0,28,464,717,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,486,B,1,0,B,0,119,10,13,7,86,5,123,0,0,0,0,363,0,16,379,647,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,486,C,1,0,C01,0,131,14,12,8,88,11,105,1,2,0,0,372,0,20,392,647,Grupo de recuento,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,486,C,2,0,C02,0,145,11,6,7,96,6,120,0,0,0,0,391,0,11,402,647,Acta casilla,,,
2,1,AGUASCALIENTES,2,ASIENTOS,11,EL LLANO,486,C,3,0,C03,0,116,12,11,9,106,16,110,5,0,0,0,385,0,10,395,646,Acta casilla,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,415,B,1,0,B,0,103,25,61,90,45,,88,6,0,1,0,419,0,14,433,679,Acta casilla,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,415,C,1,0,C01,0,88,37,55,91,28,,90,3,1,0,0,393,1,10,404,679,Grupo de recuento,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,415,C,2,0,C02,0,93,38,81,81,33,,77,3,2,6,0,414,0,21,435,679,Acta casilla,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,415,C,3,0,C03,0,87,28,54,77,39,,85,6,1,1,0,378,0,23,401,679,Grupo de recuento,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,415,C,4,0,C04,0,99,25,64,70,37,,95,7,0,1,1,399,0,23,422,679,Grupo de recuento,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,415,C,5,0,C05,0,113,50,57,62,51,,79,3,1,0,0,416,0,12,428,679,Grupo de recuento,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,415,C,6,0,C06,0,109,34,53,69,39,,88,11,1,1,1,406,1,23,430,678,Grupo de recuento,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,415,C,7,0,C07,0,123,39,52,93,26,,79,3,0,0,0,415,0,16,431,678,Acta casilla,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,415,C,8,0,C08,0,105,30,68,90,44,,92,4,2,3,2,440,0,17,457,678,Acta casilla,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,416,B,1,0,B,0,117,53,53,84,32,,128,3,2,0,0,472,0,27,499,730,Acta casilla,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,416,C,1,0,C01,0,123,43,52,66,39,,135,5,0,0,0,463,0,19,482,730,Acta casilla,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,417,B,1,0,B,0,136,42,52,80,37,,100,6,0,1,0,454,0,15,469,702,Acta casilla,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,417,C,1,0,C01,0,117,47,49,85,35,,105,6,0,1,0,445,0,22,467,702,Grupo de recuento,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,418,B,1,0,B,0,74,49,56,74,17,,85,6,1,1,0,363,0,9,372,589,Grupo de recuento,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,418,C,1,0,C01,0,92,31,53,69,30,,57,10,1,0,0,343,0,10,353,588,Grupo de recuento,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,419,B,1,0,B,0,70,50,59,64,38,,67,6,2,0,0,356,0,9,365,533,Grupo de recuento,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,419,C,1,0,C01,0,78,44,32,62,32,,67,3,2,3,0,323,0,13,336,533,Acta casilla,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,419,C,2,0,C02,0,68,43,57,77,35,,68,3,2,1,0,354,1,12,367,533,Grupo de recuento,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,420,B,1,0,B,0,78,40,43,63,26,,62,6,3,0,0,321,0,10,331,523,Acta casilla,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,420,C,1,0,C01,0,73,37,36,71,26,,99,6,1,2,0,351,0,10,361,522,Grupo de recuento,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,421,B,1,0,B,0,114,32,43,89,30,,88,4,0,0,0,400,0,25,425,687,Acta casilla,,,
2,1,AGUASCALIENTES,3,PABELLON DE ARTEAGA,6,PABELLON DE ARTEAGA,421,C,1,0,C01,0,95,40,34,102,33,,109,4,1,0,0,418,1,20,439,687,Grupo de recuento,,,
