CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,234,2,2,117,22,13,24,8,17,170,6,2,0,0,379,0,27,406,810
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,235,1,1,76,10,11,12,5,19,140,1,0,0,0,274,0,23,297,642
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,236,2,2,176,31,17,19,9,46,256,4,1,0,0,559,0,27,586,1199
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,237,2,2,111,15,5,17,13,23,137,3,1,0,0,325,0,18,343,754
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,238,2,2,123,8,11,9,13,25,194,0,5,0,0,388,1,22,411,760
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,239,2,2,103,18,9,9,9,17,191,1,1,1,0,359,0,34,393,849
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,240,1,1,97,13,3,15,5,28,175,2,1,0,0,339,0,18,357,698
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,241,1,1,164,15,10,10,7,25,154,0,2,0,0,387,0,1,388,636
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,242,1,1,109,10,6,17,7,24,111,5,4,0,0,293,0,7,300,592
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,243,2,2,237,29,14,31,13,53,228,12,6,1,0,624,0,45,669,1227
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,244,2,2,154,22,19,11,8,40,235,6,3,2,0,500,0,33,533,1108
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,245,2,2,128,23,11,19,8,28,217,11,1,1,0,447,0,29,476,867
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,246,2,2,145,24,9,16,11,46,193,5,3,0,0,452,1,36,489,968
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,247,2,2,171,19,11,20,16,41,148,8,3,1,1,439,0,36,475,925
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,248,1,1,116,14,6,12,8,25,133,7,6,0,0,327,0,34,361,742
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,249,2,2,164,31,14,33,19,32,264,4,2,0,0,563,0,34,597,1338
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,250,2,2,122,15,11,14,5,35,148,4,2,0,0,356,0,36,392,849
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,251,2,2,116,13,22,19,6,36,230,4,2,0,0,448,0,23,471,1023
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,252,2,2,111,19,16,24,11,34,206,4,5,0,0,430,0,22,452,1042
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,253,2,2,132,16,12,18,5,16,137,4,0,0,0,340,0,26,366,861
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,254,2,2,124,10,11,16,6,24,157,5,6,0,0,359,0,30,389,857
2,1,AGUASCALIENTES,9,AGUASCALIENTES,1,AGUASCALIENTES,255,2,2,128,29,27,18,7,22,153,3,4,0,0,391,0,20,411,874
