CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,MC,FXMBCS,MLBCS,PESBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,45,B,1,0,B,0,65,80,30,6,3,0,184,1,9,194,404,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,45,C,1,0,C01,0,53,89,35,5,10,0,192,0,4,196,403,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,46,B,1,0,B,0,63,182,49,13,13,0,320,0,15,335,708,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,47,B,1,0,B,0,54,124,46,11,10,0,245,0,8,253,527,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,47,C,1,0,C01,0,68,131,29,5,9,0,242,1,8,251,527,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,48,B,1,0,B,0,50,162,42,9,8,0,271,0,15,286,613,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,48,C,1,0,C01,0,88,140,44,6,3,0,281,0,19,300,612,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,49,B,1,0,B,0,23,15,1,0,2,0,41,0,4,45,144,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,50,B,1,0,B,0,18,75,5,0,3,0,101,0,7,108,181,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,51,B,1,0,B,0,13,109,15,3,7,0,147,0,4,151,340,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,52,B,1,0,B,0,18,126,36,4,30,0,214,0,11,225,459,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,53,B,1,0,B,0,18,97,34,3,6,0,158,0,10,168,277,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,54,B,1,0,B,0,17,98,36,3,19,0,173,0,13,186,420,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,54,C,1,0,C01,0,33,100,18,5,23,0,179,0,13,192,420,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,54,E,1,0,E01,0,9,62,13,0,16,0,100,0,9,109,184,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,55,B,1,0,B,0,41,132,27,5,9,0,214,0,9,223,412,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,56,B,1,0,B,0,58,224,30,4,13,0,329,0,13,342,640,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,57,B,1,0,B,0,87,201,49,14,14,0,365,0,19,384,689,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,58,B,1,0,B,0,83,140,36,11,23,0,293,0,17,310,518,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,59,B,1,0,B,0,39,151,31,3,11,0,235,0,16,251,541,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,59,C,1,0,C01,0,41,140,32,8,3,0,224,0,6,230,541,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,60,B,1,0,B,0,25,126,30,1,2,0,184,0,7,191,385,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,60,C,1,0,C01,0,23,113,22,4,5,0,167,1,3,171,384,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,61,B,1,0,B,0,34,170,36,5,8,0,253,0,14,267,633,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,61,C,1,0,C01,0,49,151,55,6,12,0,273,0,8,281,632,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,61,C,2,0,C02,0,33,162,41,8,7,0,251,0,11,262,632,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,61,C,3,0,C03,0,38,174,35,3,10,0,260,0,8,268,632,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,62,B,1,0,B,0,5,60,4,0,2,0,71,0,1,72,118,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,67,B,1,0,B,0,66,223,18,5,9,0,321,0,19,340,577,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,68,B,1,0,B,0,35,138,22,7,3,0,205,0,9,214,427,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,69,B,1,0,B,0,28,236,42,23,16,0,345,0,14,359,656,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,70,B,1,0,B,0,37,166,68,7,10,0,288,0,13,301,487,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,71,B,1,0,B,0,9,64,9,13,3,0,98,0,12,110,212,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,72,B,1,0,B,0,28,107,30,81,2,0,248,0,14,262,460,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,73,B,1,0,B,0,107,189,65,27,8,0,396,0,22,418,689,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,74,B,1,0,B,0,7,45,3,11,8,0,74,0,1,75,160,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,2,MULEGE,75,B,1,0,B,0,165,125,14,8,0,0,312,0,13,325,531,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,2,MULEGE,75,C,1,0,C01,0,215,123,8,5,0,0,351,1,10,362,530,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,2,MULEGE,76,B,1,0,B,0,179,146,10,4,0,0,339,0,12,351,542,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,14,VILLA ALBERTO ALVARADO ARAMBURO,2,MULEGE,76,C,1,0,C01,0,174,131,5,9,0,0,319,0,12,331,541,Acta casilla,,,
