CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,MC,FXMBCS,MLBCS,PESBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,4,LOS CABOS,293,2,2,236,251,72,21,47,10,637,0,23,660,1156
1,3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,4,LOS CABOS,294,3,3,901,276,111,29,71,8,1396,2,30,1428,2151
1,3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,4,LOS CABOS,295,4,4,687,576,189,53,152,8,1665,3,42,1710,2936
1,3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,4,LOS CABOS,296,3,3,321,464,157,47,140,16,1145,7,35,1187,1969
1,3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,4,LOS CABOS,297,2,2,185,204,65,19,39,4,516,0,13,529,896
1,3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,4,LOS CABOS,299,2,2,104,222,191,25,51,4,597,1,20,618,1181
1,3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,4,LOS CABOS,300,7,7,628,1068,432,104,164,27,2423,1,88,2512,4847
1,3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,4,LOS CABOS,302,1,1,83,151,46,19,36,8,343,1,15,359,647
1,3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,4,LOS CABOS,303,1,1,68,117,14,6,74,1,280,0,7,287,504
1,3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,4,LOS CABOS,304,4,4,110,285,19,13,821,0,1248,1,71,1320,2231
1,3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,4,LOS CABOS,305,3,3,178,184,14,10,321,3,710,0,32,742,1125
1,3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,4,LOS CABOS,306,3,3,444,382,26,7,150,2,1011,1,40,1052,1522
1,3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,4,LOS CABOS,307,2,2,75,83,3,1,10,2,174,0,16,190,282
1,3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,4,LOS CABOS,308,4,4,346,730,20,25,276,7,1404,1,74,1479,1990
1,3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,4,LOS CABOS,309,2,2,85,181,6,5,106,5,388,0,27,415,542
1,3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,4,LOS CABOS,310,5,5,273,1153,98,82,116,17,1739,1,65,1805,3522
1,3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,4,LOS CABOS,311,2,2,53,270,12,5,20,1,361,0,25,386,701
1,3,BAJA CALIFORNIA SUR,12,SAN JOSE DEL CABO,4,LOS CABOS,313,3,3,174,555,59,36,49,26,899,2,46,947,1724
1,3,BAJA CALIFORNIA SUR,1,SAN JOSE DEL CABO,4,LOS CABOS,315,1,1,94,167,35,7,16,33,352,0,15,367,587
1,3,BAJA CALIFORNIA SUR,11,CABO SAN LUCAS,4,LOS CABOS,316,7,7,2114,432,168,64,27,51,2856,8,33,2897,5034
1,3,BAJA CALIFORNIA SUR,11,CABO SAN LUCAS,4,LOS CABOS,317,4,4,397,440,112,36,38,24,1047,1,50,1098,2331
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,318,3,3,299,273,64,40,16,0,692,0,36,728,1319
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,319,1,1,184,104,44,14,12,0,358,1,12,371,678
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,320,4,4,436,451,122,66,56,0,1131,1,57,1189,2384
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,321,3,3,260,459,81,47,55,0,902,0,37,939,1852
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,322,3,3,318,465,74,50,42,0,949,1,48,998,1969
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,323,2,2,283,310,51,40,24,0,708,1,31,740,1354
1,3,BAJA CALIFORNIA SUR,11,CABO SAN LUCAS,4,LOS CABOS,324,3,3,280,468,99,34,42,25,948,0,43,991,2084
1,3,BAJA CALIFORNIA SUR,11,CABO SAN LUCAS,4,LOS CABOS,325,4,4,317,529,108,34,36,36,1060,2,52,1114,2282
1,3,BAJA CALIFORNIA SUR,11,CABO SAN LUCAS,4,LOS CABOS,326,2,2,160,301,69,21,26,23,600,0,24,624,1210
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,327,3,3,302,429,85,50,32,0,898,0,27,925,1838
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,328,4,4,357,624,122,76,61,0,1240,2,56,1298,2510
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,329,2,2,166,318,48,26,32,0,590,0,137,727,1230
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,331,5,5,793,676,163,115,65,0,1812,5,57,1874,3225
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,333,6,6,602,906,159,122,119,0,1908,2,95,2005,3943
1,3,BAJA CALIFORNIA SUR,11,CABO SAN LUCAS,4,LOS CABOS,334,1,1,35,89,5,5,4,3,141,1,15,157,311
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,335,1,1,96,148,28,14,26,0,312,1,14,327,556
1,3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,4,LOS CABOS,336,1,1,51,139,25,15,7,0,237,2,12,251,464
1,3,BAJA CALIFORNIA SUR,13,LORETO,5,LORETO,338,3,3,397,505,62,17,6,0,987,0,39,1026,1522
1,3,BAJA CALIFORNIA SUR,13,LORETO,5,LORETO,339,8,8,1355,1863,170,24,24,0,3436,1,103,3540,5658
1,3,BAJA CALIFORNIA SUR,13,LORETO,5,LORETO,340,2,2,291,359,49,8,3,0,710,0,29,739,1011
1,3,BAJA CALIFORNIA SUR,13,LORETO,5,LORETO,341,2,2,268,289,48,8,5,0,618,0,17,635,830
1,3,BAJA CALIFORNIA SUR,13,LORETO,5,LORETO,342,3,3,279,308,44,5,5,0,641,0,20,661,881
1,3,BAJA CALIFORNIA SUR,13,LORETO,5,LORETO,343,2,2,269,256,40,4,4,0,573,0,10,583,778
1,3,BAJA CALIFORNIA SUR,13,LORETO,5,LORETO,344,3,3,429,621,83,7,2,0,1142,0,62,1204,1602
1,3,BAJA CALIFORNIA SUR,13,LORETO,5,LORETO,345,2,2,140,118,7,6,0,0,271,0,92,363,352
1,3,BAJA CALIFORNIA SUR,13,LORETO,5,LORETO,346,2,2,188,339,18,11,6,0,562,0,36,598,618
1,3,BAJA CALIFORNIA SUR,13,LORETO,5,LORETO,347,1,1,92,90,8,7,1,0,198,0,19,217,278
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,348,1,1,89,158,28,5,10,0,290,0,8,298,528
1,3,BAJA CALIFORNIA SUR,5,LA PAZ,3,LA PAZ,349,1,1,125,149,46,8,8,0,336,1,12,349,589
