CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,10,DURANGO,4,DURANGO,5,DURANGO,318,1,1,55,58,5,10,26,26,88,8,0,1,0,0,277,0,12,289,489
1,10,DURANGO,4,DURANGO,5,DURANGO,326,2,2,54,110,3,23,59,43,164,6,2,0,1,0,465,0,32,497,864
1,10,DURANGO,4,DURANGO,5,DURANGO,327,3,3,111,150,5,32,214,77,285,11,3,3,0,0,891,1,77,969,1791
1,10,DURANGO,4,DURANGO,5,DURANGO,328,2,2,116,156,16,30,64,79,276,14,4,0,0,0,755,0,38,793,1459
1,10,DURANGO,4,DURANGO,5,DURANGO,329,2,2,63,126,5,19,29,54,210,14,5,1,1,0,527,0,37,564,1025
1,10,DURANGO,4,DURANGO,5,DURANGO,330,2,2,147,167,11,48,40,79,232,23,9,0,0,0,756,0,48,804,1270
1,10,DURANGO,4,DURANGO,5,DURANGO,331,3,3,193,240,12,42,56,123,329,34,4,0,0,0,1033,0,54,1087,1772
1,10,DURANGO,4,DURANGO,5,DURANGO,332,2,2,79,195,8,34,51,50,230,12,8,0,1,0,668,0,56,724,1491
1,10,DURANGO,4,DURANGO,5,DURANGO,333,2,2,83,131,16,17,35,42,197,7,4,0,0,0,532,0,25,557,1118
1,10,DURANGO,4,DURANGO,5,DURANGO,334,2,2,55,143,12,26,48,34,216,6,3,0,1,0,544,0,46,590,1121
1,10,DURANGO,4,DURANGO,5,DURANGO,335,2,2,46,145,11,17,53,39,227,8,5,0,0,0,551,1,42,594,1330
1,10,DURANGO,4,DURANGO,5,DURANGO,336,2,2,48,168,3,29,66,52,197,13,2,1,0,0,579,0,55,634,1333
1,10,DURANGO,4,DURANGO,5,DURANGO,337,2,2,56,114,1,19,74,37,172,7,2,0,0,0,482,0,32,514,1085
1,10,DURANGO,4,DURANGO,5,DURANGO,342,2,2,62,143,10,24,44,42,152,11,5,0,0,0,493,0,26,519,1169
1,10,DURANGO,4,DURANGO,5,DURANGO,343,3,3,60,203,13,40,90,45,271,20,11,0,1,0,754,3,68,825,2021
1,10,DURANGO,4,DURANGO,5,DURANGO,344,3,3,103,198,6,44,94,82,300,13,10,0,1,0,851,0,87,938,1864
1,10,DURANGO,4,DURANGO,5,DURANGO,345,2,2,143,204,13,46,49,105,269,17,6,0,1,0,853,1,54,908,1430
1,10,DURANGO,4,DURANGO,5,DURANGO,346,3,3,166,219,12,39,69,124,300,24,8,0,1,0,962,2,41,1005,1562
1,10,DURANGO,4,DURANGO,5,DURANGO,347,4,4,94,175,15,26,76,54,284,25,5,1,1,0,756,0,57,813,1588
1,10,DURANGO,4,DURANGO,5,DURANGO,348,4,4,162,321,17,97,99,114,518,34,13,1,1,0,1377,0,100,1477,2806
