CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,315,2,2,56,82,3,20,22,222,307,4,7,2,2,1,20,1,3,1,753,1,31,785,1418
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,316,3,3,58,82,2,33,24,316,363,3,15,1,7,0,24,8,7,1,944,0,26,970,1731
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,317,4,4,67,103,4,40,25,334,458,11,44,7,4,1,22,7,9,2,1138,3,63,1204,2338
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,318,3,3,56,118,7,28,26,298,374,2,6,4,5,1,17,3,6,0,951,4,38,993,1735
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,319,10,10,219,316,28,145,79,815,1325,14,60,10,10,3,80,14,25,18,3161,10,127,3298,6729
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,335,2,2,28,25,1,18,17,110,228,2,4,11,3,0,13,5,5,6,476,7,23,506,801
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,337,2,2,22,34,2,23,17,106,218,6,7,1,1,0,12,2,5,1,457,2,20,479,891
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,338,1,1,6,5,0,4,5,75,61,2,5,2,0,0,2,1,1,0,169,2,7,178,251
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,341,2,2,69,86,5,29,23,271,320,2,8,1,5,1,16,5,2,1,844,0,31,875,1402
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,344,1,1,9,33,2,24,14,123,242,3,2,2,9,0,12,3,2,1,481,0,16,497,741
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,345,2,2,29,13,4,24,14,177,188,0,7,0,0,0,10,3,4,8,481,0,26,507,944
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,346,2,2,73,7,4,18,13,172,270,0,6,2,3,0,21,3,6,9,607,0,21,628,1119
3,4,CAMPECHE,15,CHAMPOTON,4,CHAMPOTON,349,2,2,16,51,5,50,23,264,342,3,6,3,4,0,34,4,4,5,814,1,44,859,1279
