CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,44,1,1,2,4,2,5,10,2,30,41,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,104,0,0,104,148
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,45,1,1,5,20,4,9,17,7,73,5,0,0,1,2,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,148,0,1,149,223
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,46,2,2,45,34,20,31,13,58,199,90,0,0,3,1,4,1,0,0,6,3,2,0,1,1,4,0,1,0,1,518,0,26,544,830
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,47,1,1,29,111,7,63,8,19,103,47,0,0,5,2,6,1,0,0,2,7,2,0,0,2,2,0,0,0,0,416,0,13,429,672
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,48,1,1,4,10,1,10,12,19,91,17,0,0,0,3,1,1,0,0,2,3,0,0,0,0,0,0,2,1,0,177,0,1,178,294
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,49,2,2,68,31,11,30,27,173,101,0,0,0,0,1,9,2,0,0,13,4,0,0,0,2,5,2,4,0,1,484,0,5,489,792
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,50,2,2,90,29,9,62,24,176,130,0,0,0,0,6,13,3,1,0,15,12,1,0,1,1,1,0,2,0,0,576,0,12,588,951
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,51,1,1,54,43,1,47,18,152,116,0,0,0,0,6,3,4,0,0,12,10,0,0,0,4,1,0,0,0,0,471,0,8,479,726
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,52,2,2,62,48,6,71,32,330,158,0,0,0,0,6,14,3,4,0,8,20,1,0,7,10,3,2,4,1,1,791,0,19,810,1279
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,53,2,2,92,47,8,53,30,210,159,0,0,0,0,10,14,3,1,1,23,3,1,1,2,0,2,0,2,0,2,664,0,11,675,1018
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,54,2,2,72,56,7,52,27,220,214,0,0,0,0,5,13,8,1,1,32,12,1,6,0,0,3,0,2,0,1,733,0,9,742,1221
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,55,1,1,10,4,1,12,11,74,76,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,192,1,2,195,307
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,56,1,1,17,10,6,19,10,139,146,0,0,0,0,1,1,0,0,0,2,3,0,0,1,6,3,0,4,0,0,368,0,11,379,610
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,57,2,2,54,66,9,17,31,93,195,0,0,0,0,5,17,6,1,0,8,8,3,1,1,1,5,0,4,0,2,527,0,4,531,883
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,58,1,1,0,0,0,0,66,0,175,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,9,282,530
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,59,2,2,109,100,10,48,29,181,350,0,0,0,0,16,3,0,0,0,9,8,2,2,0,3,1,1,2,0,0,874,0,22,896,1472
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,60,1,1,87,22,3,13,11,219,68,0,0,0,0,3,7,2,1,0,5,4,0,3,3,4,0,0,0,0,0,455,0,22,477,713
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,61,2,2,99,44,6,53,35,137,137,0,0,0,0,9,21,3,1,1,21,9,0,1,2,3,4,1,3,1,3,594,0,19,613,886
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,62,1,1,21,10,2,12,10,44,44,0,0,0,0,0,3,0,0,0,0,3,0,0,2,0,2,0,2,0,1,156,0,2,158,255
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,63,1,1,7,12,2,23,9,50,88,0,0,0,0,0,0,1,1,0,2,5,0,0,0,0,1,3,0,0,0,204,0,3,207,387
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,64,1,1,12,15,0,27,5,30,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,4,145,213
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,65,2,2,43,23,5,22,6,66,140,0,0,0,0,0,4,5,1,0,2,5,2,0,0,0,3,0,1,0,0,328,0,13,341,636
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,66,1,1,50,14,7,54,3,164,8,0,0,0,30,0,10,2,0,1,4,0,0,0,0,0,0,0,0,0,0,347,0,9,356,514
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,67,2,2,104,24,6,58,3,269,41,0,0,0,62,0,12,0,2,0,3,1,1,0,0,0,4,1,1,0,0,592,0,12,604,886
