CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,44,B,1,0,B,0,2,4,2,5,10,2,30,41,0,0,3,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,104,0,0,104,148,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,45,B,1,0,B,0,5,20,4,9,17,7,73,5,0,0,1,2,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,148,0,1,149,223,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,46,B,1,0,B,0,21,22,9,19,5,28,93,56,0,0,1,0,3,0,0,0,3,2,1,0,0,0,2,0,0,0,1,266,0,13,279,415,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,46,C,1,0,C01,0,24,12,11,12,8,30,106,34,0,0,2,1,1,1,0,0,3,1,1,0,1,1,2,0,1,0,0,252,0,13,265,415,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,47,B,1,0,B,0,29,111,7,63,8,19,103,47,0,0,5,2,6,1,0,0,2,7,2,0,0,2,2,0,0,0,0,416,0,13,429,672,Grupo de recuento,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,48,B,1,0,B,0,4,10,1,10,12,19,91,17,0,0,0,3,1,1,0,0,2,3,0,0,0,0,0,0,2,1,0,177,0,1,178,294,Grupo de recuento,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,49,B,1,0,B,0,38,20,5,13,12,85,47,0,0,0,0,1,4,1,0,0,6,2,0,0,0,2,3,0,2,0,1,242,0,3,245,396,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,49,C,1,0,C01,0,30,11,6,17,15,88,54,0,0,0,0,0,5,1,0,0,7,2,0,0,0,0,2,2,2,0,0,242,0,2,244,396,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,50,B,1,0,B,0,48,13,5,34,16,87,68,0,0,0,0,4,8,1,0,0,7,4,0,0,0,0,0,0,0,0,0,295,0,6,301,476,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,50,C,1,0,C01,0,42,16,4,28,8,89,62,0,0,0,0,2,5,2,1,0,8,8,1,0,1,1,1,0,2,0,0,281,0,6,287,475,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,51,B,1,0,B,0,54,43,1,47,18,152,116,0,0,0,0,6,3,4,0,0,12,10,0,0,0,4,1,0,0,0,0,471,0,8,479,726,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,52,B,1,0,B,0,27,30,3,36,16,170,75,0,0,0,0,5,8,1,3,0,0,10,1,0,3,10,1,1,3,1,0,404,0,11,415,640,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,52,C,1,0,C01,0,35,18,3,35,16,160,83,0,0,0,0,1,6,2,1,0,8,10,0,0,4,0,2,1,1,0,1,387,0,8,395,639,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,53,B,1,0,B,0,50,19,3,24,17,106,73,0,0,0,0,9,8,1,0,1,10,1,1,1,1,0,0,0,1,0,1,327,0,5,332,509,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,53,C,1,0,C01,0,42,28,5,29,13,104,86,0,0,0,0,1,6,2,1,0,13,2,0,0,1,0,2,0,1,0,1,337,0,6,343,509,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,54,B,1,0,B,0,34,27,5,23,10,127,110,0,0,0,0,3,8,5,1,0,18,5,0,4,0,0,0,0,1,0,0,381,0,6,387,611,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,54,C,1,0,C01,0,38,29,2,29,17,93,104,0,0,0,0,2,5,3,0,1,14,7,1,2,0,0,3,0,1,0,1,352,0,3,355,610,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,55,B,1,0,B,0,10,4,1,12,11,74,76,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,192,1,2,195,307,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,56,B,1,0,B,0,17,10,6,19,10,139,146,0,0,0,0,1,1,0,0,0,2,3,0,0,1,6,3,0,4,0,0,368,0,11,379,610,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,57,B,1,0,B,0,30,33,6,8,15,46,91,0,0,0,0,2,12,3,0,0,4,6,2,1,0,0,4,0,3,0,1,267,0,2,269,442,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,57,C,1,0,C01,0,24,33,3,9,16,47,104,0,0,0,0,3,5,3,1,0,4,2,1,0,1,1,1,0,1,0,1,260,0,2,262,441,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,58,B,1,0,B,0,0,0,0,0,66,0,175,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,9,282,530,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,59,B,1,0,B,0,50,45,9,24,14,86,190,0,0,0,0,4,3,0,0,0,9,8,2,2,0,3,1,1,2,0,0,453,0,13,466,736,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,59,C,1,0,C01,0,59,55,1,24,15,95,160,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,9,430,736,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,60,B,1,0,B,0,87,22,3,13,11,219,68,0,0,0,0,3,7,2,1,0,5,4,0,3,3,4,0,0,0,0,0,455,0,22,477,713,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,61,B,1,0,B,0,75,39,2,48,30,109,125,0,0,0,0,8,13,3,1,1,19,9,0,1,1,2,4,1,1,1,1,494,0,13,507,737,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,61,E,1,0,E01,0,24,5,4,5,5,28,12,0,0,0,0,1,8,0,0,0,2,0,0,0,1,1,0,0,2,0,2,100,0,6,106,149,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,62,B,1,0,B,0,21,10,2,12,10,44,44,0,0,0,0,0,3,0,0,0,0,3,0,0,2,0,2,0,2,0,1,156,0,2,158,255,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,63,B,1,0,B,0,7,12,2,23,9,50,88,0,0,0,0,0,0,1,1,0,2,5,0,0,0,0,1,3,0,0,0,204,0,3,207,387,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,64,B,1,0,B,0,12,15,0,27,5,30,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,4,145,213,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,65,B,1,0,B,0,28,15,4,12,4,34,92,0,0,0,0,0,3,4,0,0,2,5,2,0,0,0,1,0,0,0,0,206,0,11,217,430,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,2,AHUACATLAN,65,E,1,0,E01,0,15,8,1,10,2,32,48,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,0,122,0,2,124,206,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,66,B,1,0,B,0,50,14,7,54,3,164,8,0,0,0,30,0,10,2,0,1,4,0,0,0,0,0,0,0,0,0,0,347,0,9,356,514,Acta casilla,,,
1,18,NAYARIT,13,IXTLAN DEL RIO,3,AMATLAN DE CAÑAS,67,B,1,0,B,0,51,13,3,30,1,145,19,0,0,0,28,0,5,0,2,0,1,1,1,0,0,0,3,1,1,0,0,305,0,5,310,443,Acta casilla,,,
