CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,302,B,1,0,B,0,65,17,13,35,7,3,37,54,9,19,11,4,0,0,1,1,1,0,1,278,0,6,284,426,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,303,B,1,0,B,0,61,30,12,30,5,7,50,101,11,16,13,1,0,1,0,4,0,4,0,346,1,16,363,588,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,304,B,1,0,B,0,52,11,11,42,10,5,41,64,5,12,16,5,3,0,1,3,0,2,0,283,5,13,301,465,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,304,C,1,0,C01,0,43,14,5,37,13,4,28,77,14,9,12,5,2,0,0,4,1,1,0,269,1,13,283,464,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,305,B,1,0,B,0,41,20,5,30,5,6,41,70,8,25,6,7,1,0,0,4,0,2,0,271,0,12,283,487,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,306,B,1,0,B,0,39,31,5,21,5,1,28,41,4,20,7,4,0,0,0,1,1,0,0,208,0,9,217,290,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,307,B,1,0,B,0,46,16,5,34,0,1,30,43,10,13,8,5,0,0,1,3,1,0,0,216,0,8,224,358,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,308,B,1,0,B,0,73,21,13,44,4,4,58,73,20,21,5,7,0,0,0,6,1,0,1,351,0,11,362,529,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,308,C,1,0,C01,0,60,22,14,59,8,3,41,73,20,19,17,10,0,1,0,2,0,2,0,351,0,11,362,529,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,309,B,1,0,B,0,28,29,6,81,13,16,56,110,10,25,18,2,0,0,0,10,0,5,2,411,0,13,424,690,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,309,C,1,0,C01,0,33,26,14,65,21,14,65,112,17,27,11,5,2,0,0,6,0,1,1,420,0,12,432,689,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,310,B,1,0,B,0,48,25,17,60,10,15,67,120,18,29,16,4,0,0,0,10,2,5,2,448,0,22,470,717,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,310,C,1,0,C01,0,42,18,14,69,11,9,71,119,24,17,11,10,1,0,0,4,0,1,0,421,1,15,437,717,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,310,C,2,0,C02,0,43,24,18,54,9,20,59,126,26,26,14,5,1,0,0,8,0,1,0,434,0,9,443,717,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,311,B,1,0,B,0,25,14,7,65,14,5,39,96,11,18,10,4,1,0,0,6,3,5,1,324,2,20,346,590,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,311,C,1,0,C01,0,20,15,16,79,10,7,32,92,13,11,9,2,2,0,0,5,5,4,0,322,1,20,343,590,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,311,C,2,0,C02,0,29,12,11,77,9,8,30,104,19,20,12,3,0,0,0,0,4,4,0,342,0,13,355,589,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,312,B,1,0,B,0,125,36,10,42,4,1,102,66,19,21,8,4,3,0,1,4,0,1,1,448,0,10,458,635,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,313,B,1,0,B,0,54,21,10,36,9,3,40,100,12,23,19,6,0,0,0,5,2,0,0,340,0,11,351,529,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,313,C,1,0,C01,0,54,25,15,56,4,2,56,72,20,15,15,11,0,0,1,4,1,1,1,353,0,11,364,529,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,313,C,2,0,C02,0,44,26,6,54,8,7,43,106,21,23,8,4,1,0,0,3,1,2,0,357,2,8,367,528,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,314,B,1,0,B,0,78,23,7,37,7,3,58,71,6,13,11,10,2,0,0,2,0,2,1,331,0,7,338,512,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,315,B,1,0,B,0,19,8,2,19,2,1,23,42,11,8,10,2,1,0,0,0,2,1,1,152,0,4,156,258,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,316,B,1,0,B,0,31,21,12,120,12,7,53,85,8,27,10,6,0,1,0,13,2,3,0,411,0,18,429,703,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,316,C,1,0,C01,0,28,16,13,94,15,3,63,99,11,16,15,6,3,1,0,6,1,4,1,395,0,10,405,702,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,13,CIUDAD VALLES,317,B,1,0,B,0,37,26,7,32,3,5,28,62,11,8,15,3,1,0,0,2,1,1,1,243,0,11,254,444,ACTA CASILLA,,,
