CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1051,3,3,446,143,30,234,19,18,134,233,31,12,11,42,5,2,1,29,2,5,1,1398,8,58,1464,2108
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1052,2,2,198,85,10,171,16,8,76,141,14,10,5,29,2,2,0,9,0,6,1,783,2,30,815,1170
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1053,3,3,263,110,20,289,24,27,123,281,33,6,13,34,5,0,0,27,5,10,2,1272,2,51,1325,2063
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1054,2,2,78,52,12,197,10,10,53,169,13,2,13,14,3,0,0,16,3,6,2,653,5,44,702,1334
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1055,5,5,534,178,33,382,27,33,257,386,36,13,34,49,17,1,1,45,3,18,1,2048,8,94,2150,3376
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1056,3,3,151,79,22,342,12,11,58,200,3,7,12,33,4,0,0,24,2,6,4,970,0,48,1018,1887
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1057,3,3,231,67,18,371,17,6,69,115,32,2,49,25,1,1,18,17,6,11,1,1057,0,38,1095,2147
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1058,3,3,159,56,14,371,19,15,43,211,60,12,46,18,6,0,0,30,5,13,5,1083,4,59,1146,2194
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1059,4,4,246,96,17,368,24,18,81,316,78,16,64,27,5,2,0,41,7,18,5,1429,2,62,1493,2633
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1060,3,3,202,96,25,256,21,20,99,246,14,12,10,25,3,1,0,32,2,13,2,1079,3,60,1142,1884
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1061,4,4,135,72,16,340,19,22,108,260,6,9,11,16,4,0,0,40,8,5,2,1073,1,46,1120,2316
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1062,3,3,130,57,18,350,21,21,79,300,8,9,29,16,1,1,0,22,3,18,3,1086,0,53,1139,2122
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1063,3,3,168,69,17,329,29,9,70,270,12,4,47,11,3,2,0,20,16,23,3,1102,3,43,1148,2082
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1064,2,2,94,42,15,248,12,20,47,134,7,4,33,9,1,0,0,18,4,14,1,703,0,38,741,1394
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1065,2,2,65,34,4,175,9,10,46,124,6,6,11,13,3,0,0,5,0,11,3,525,1,19,545,982
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1066,2,2,50,27,8,182,6,7,28,103,7,2,3,13,4,1,1,23,1,13,2,481,0,31,512,935
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1067,2,2,107,36,22,183,15,12,62,166,13,11,7,18,2,0,1,24,4,12,2,697,2,37,736,1324
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1068,10,10,358,180,39,1055,45,27,151,568,113,43,106,36,11,15,2,61,8,39,4,2861,2,135,2998,7331
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1069,4,4,223,120,28,443,31,10,123,333,16,16,24,32,9,0,0,45,7,26,5,1491,2,71,1564,2913
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1070,4,4,204,113,23,373,31,29,128,336,16,13,12,20,3,7,0,35,3,26,9,1381,2,59,1442,2529
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1071,2,2,75,35,15,211,18,12,59,192,11,6,17,10,5,1,0,25,3,15,4,714,0,40,754,1245
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1072,3,3,136,62,16,317,37,17,91,292,6,7,61,28,7,0,0,26,7,19,4,1133,2,68,1203,2225
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1073,16,16,780,485,104,1792,121,98,599,1465,77,60,140,112,16,2,2,153,25,67,10,6108,12,296,6416,11970
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1075,10,10,524,273,81,948,81,51,343,957,52,48,54,73,13,0,2,91,13,42,10,3656,4,198,3858,6932
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1076,1,1,69,41,6,70,4,1,16,40,6,1,1,7,0,0,0,2,0,1,0,265,0,13,278,551
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1077,1,1,42,50,2,92,0,4,8,100,4,3,0,14,0,2,5,6,0,7,1,340,0,25,365,666
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1078,1,1,10,17,1,28,3,4,2,10,1,0,0,34,0,0,0,42,0,0,0,152,0,11,163,229
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1079,1,1,23,12,0,75,1,1,11,76,2,1,0,0,2,0,0,3,0,1,0,208,0,13,221,458
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1080,1,1,7,10,1,29,1,0,3,47,0,0,1,2,2,0,0,0,0,3,0,106,0,8,114,181
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1081,1,1,18,21,1,62,1,1,6,19,4,1,1,1,2,0,0,3,1,0,0,142,1,12,155,270
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1082,1,1,6,10,0,47,1,2,6,40,2,0,1,1,0,0,0,0,1,4,1,122,1,11,134,302
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1083,1,1,6,7,0,26,1,1,0,18,3,0,0,0,0,0,0,0,0,3,0,65,0,0,65,136
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1084,1,1,5,8,1,26,1,0,5,29,2,0,0,0,1,0,0,3,2,1,0,84,0,5,89,221
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1085,1,1,10,45,5,48,2,0,7,17,2,0,0,7,4,0,0,4,0,0,2,153,0,10,163,298
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1086,2,2,112,44,7,175,7,1,40,73,6,1,0,17,4,0,0,7,0,6,1,501,1,28,530,1026
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1087,1,1,16,14,2,80,6,1,7,6,1,0,1,4,0,0,0,3,0,0,0,141,0,15,156,308
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1088,1,1,36,42,2,115,6,1,52,73,7,2,0,1,1,1,0,4,0,5,0,348,0,40,388,720
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1089,1,1,25,19,0,47,6,0,22,29,8,0,0,3,0,0,0,0,1,5,0,165,0,10,175,349
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1090,1,1,49,25,1,77,3,1,16,67,8,2,1,4,4,2,0,5,0,2,0,267,0,13,280,504
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,28,SAN LUIS POTOSI,1091,1,1,5,12,1,19,1,1,2,20,7,0,1,0,0,0,0,0,0,1,0,70,0,5,75,224
