CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAD_IND1,CAD_IND2,CAD_IND3,CAD_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,501,3,3,417,38,19,137,8,10,13,58,105,0,4,55,7,2,1,21,4,5,0,0,0,0,0,904,0,25,929,1655
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,502,5,5,700,64,27,309,25,20,66,103,332,0,12,69,19,5,1,30,10,6,2,0,0,0,0,1800,1,70,1871,3661
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,503,4,4,399,34,20,256,21,10,33,68,233,0,10,70,8,2,0,42,10,7,3,0,0,0,0,1226,0,42,1268,2524
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,504,3,3,343,30,14,92,7,14,25,66,133,0,5,34,10,2,0,26,5,5,2,0,0,0,0,813,0,25,838,1503
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,505,2,2,347,42,9,96,3,11,18,39,42,0,11,24,6,2,0,16,3,4,1,0,0,0,0,674,0,21,695,1214
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,506,2,2,328,21,5,73,4,6,7,20,53,0,5,35,1,2,0,2,1,2,0,0,0,0,0,565,0,14,579,964
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,507,2,2,318,50,11,78,8,8,10,29,37,0,5,47,7,1,0,11,3,3,0,0,0,0,0,626,2,5,633,1130
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,508,2,2,244,32,4,108,7,12,23,34,114,0,4,19,3,2,0,12,4,6,0,0,0,0,0,628,0,40,668,1386
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,509,3,3,393,47,14,128,20,12,25,47,195,0,7,46,16,1,0,16,10,7,2,0,0,0,0,986,0,52,1038,2160
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,510,3,3,263,31,5,131,10,12,18,34,170,0,8,28,6,2,0,25,7,0,3,0,0,0,0,753,0,35,788,1594
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,511,2,2,348,45,20,69,1,8,15,33,67,0,4,34,11,1,0,3,0,2,0,0,0,0,0,661,0,17,678,1148
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,512,2,2,215,22,4,94,10,5,14,31,60,0,2,37,2,5,0,16,5,6,3,0,0,0,0,531,0,18,549,945
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,513,3,3,471,38,19,200,11,25,19,76,198,0,10,68,12,5,0,24,6,8,0,0,0,0,0,1190,0,41,1231,2108
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,514,3,3,298,35,9,176,7,12,20,37,149,0,4,30,12,2,0,19,7,5,2,0,0,0,0,824,0,33,857,1633
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,515,4,4,667,74,29,178,12,19,46,61,220,0,6,63,14,3,0,23,6,5,0,0,0,0,0,1426,1,45,1472,2545
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,516,2,2,170,41,19,63,5,11,15,29,53,0,1,20,12,2,2,2,9,2,1,0,0,0,0,457,0,11,468,795
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,517,2,2,316,39,16,98,2,5,12,25,78,0,3,17,8,1,0,13,1,3,1,0,0,0,0,638,0,8,646,1130
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,518,5,5,638,75,28,313,16,16,33,74,517,0,10,75,14,6,0,33,8,10,0,0,0,0,0,1866,2,61,1929,3623
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,519,2,2,227,30,5,68,16,7,6,13,37,0,6,23,6,2,0,6,1,5,0,0,0,0,0,458,0,12,470,808
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,520,3,3,264,34,8,56,13,9,6,27,85,0,3,39,6,2,0,7,1,2,1,0,0,0,0,563,1,26,590,903
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,521,4,4,573,56,29,291,14,22,34,56,233,0,10,70,13,3,1,24,13,8,3,0,0,0,0,1453,1,53,1507,2716
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,522,2,2,201,19,8,114,3,8,2,37,40,0,3,26,7,3,1,6,1,3,1,0,0,0,0,483,1,15,499,984
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,523,2,2,207,26,4,87,26,8,9,23,68,0,6,23,2,2,0,9,3,2,0,0,0,0,0,505,1,19,525,966
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,524,2,2,213,34,5,82,7,23,16,41,58,0,10,25,4,4,0,20,2,7,1,0,0,0,0,552,0,13,565,1101
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,525,4,4,425,43,13,132,13,11,12,36,106,0,1,48,12,4,0,15,6,5,2,0,0,0,0,884,0,26,910,1584
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,526,3,3,366,56,21,122,9,16,36,31,105,0,5,28,9,2,0,15,5,11,0,0,0,0,0,837,0,51,888,2002
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,527,5,5,623,79,19,311,17,25,47,92,228,0,16,63,19,5,0,42,8,13,3,0,0,0,0,1610,0,77,1687,3433
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,528,1,1,33,9,3,45,2,1,7,10,16,0,1,1,2,0,0,5,3,7,0,0,0,0,0,145,0,6,151,329
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,529,1,1,67,10,2,68,1,1,5,17,9,0,0,6,2,1,0,4,2,1,1,0,0,0,0,197,0,4,201,427
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,530,1,1,57,10,4,21,1,2,6,13,32,0,0,2,3,0,0,8,0,2,0,0,0,0,0,161,0,7,168,277
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,531,2,2,211,32,13,86,6,3,18,27,156,0,3,17,6,2,1,13,2,9,1,0,0,0,0,606,0,18,624,1351
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,532,2,2,110,34,5,188,4,3,8,34,42,0,5,14,4,1,0,16,11,7,3,0,0,0,0,489,0,19,508,1005
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,533,2,2,339,37,9,115,5,5,24,42,80,0,4,30,6,1,0,16,3,9,0,0,0,0,0,725,0,29,754,1358
2,24,SAN LUIS POTOSI,1,MATEHUALA,20,MATEHUALA,534,1,1,59,14,1,57,4,3,9,7,11,0,1,11,3,1,0,4,0,1,0,0,0,0,0,186,0,9,195,308
