CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CAD_IND1,CAD_IND2,CAD_IND3,CAD_IND4,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,391,B,1,0,B,0,19,8,0,60,1,0,7,15,13,0,93,4,0,2,1,5,2,3,0,0,0,0,0,233,0,10,243,410,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,391,C,1,0,C01,0,16,13,0,56,2,0,8,11,19,0,114,3,1,2,1,12,0,2,1,0,0,0,0,261,0,11,272,409,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,392,B,1,0,B,0,24,12,0,119,4,0,10,13,16,0,173,5,2,0,0,8,2,1,1,0,0,0,0,390,0,20,410,674,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,392,C,1,0,C01,0,18,18,1,120,5,0,16,21,12,0,145,5,0,1,0,9,0,6,0,0,0,0,0,377,0,12,389,674,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,392,C,2,0,C02,0,19,15,1,99,4,0,21,15,18,0,143,7,0,2,0,10,0,2,0,0,0,0,0,356,0,12,368,674,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,392,C,3,0,C03,0,30,18,3,99,5,0,25,18,9,0,140,4,1,1,0,5,1,5,0,0,0,0,0,364,0,17,381,674,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,392,C,4,0,C04,0,17,9,3,109,4,0,21,29,16,0,127,7,0,2,0,11,2,3,0,0,0,0,0,360,0,12,372,674,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,393,B,1,0,B,0,14,10,0,10,2,0,3,3,3,0,10,1,1,0,0,1,1,0,0,0,0,0,0,59,0,5,64,144,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,394,B,1,0,B,0,18,29,1,165,6,0,4,11,14,0,127,1,2,0,0,10,7,5,0,0,0,0,0,400,0,23,423,677,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,395,B,1,0,B,0,24,5,0,68,2,0,2,2,3,0,36,2,0,0,0,7,0,1,0,0,0,0,0,152,0,11,163,214,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,396,B,1,0,B,0,15,24,3,114,8,0,32,4,11,0,43,3,1,0,0,4,7,1,0,0,0,0,0,270,0,23,293,414,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,396,C,1,0,C01,0,24,25,2,102,10,0,13,6,13,0,38,4,2,0,0,8,2,3,0,0,0,0,0,252,0,11,263,414,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,396,E,1,0,E01,0,10,23,0,127,3,0,10,2,3,0,60,1,0,0,0,12,2,3,1,0,0,0,0,257,0,20,277,457,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,397,B,1,0,B,0,17,25,2,80,3,0,22,6,5,0,32,2,4,1,0,6,0,1,1,0,0,0,0,207,0,18,225,343,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,1,MATEHUALA,15,CHARCAS,398,B,1,0,B,0,17,13,2,26,2,0,14,3,4,0,120,2,0,0,0,2,0,0,0,0,0,0,0,205,0,7,212,309,ACTA CASILLA,,,
