CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,2145,B,1,0,B,0,131,14,0,8,7,10,153,0,5,3,1,1,5,338,1,12,351,617,COTEJO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,2145,C,1,0,C01,0,144,16,3,8,8,11,148,0,4,4,0,1,1,348,0,6,354,617,COTEJO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,768,B,1,0,B,0,102,19,0,4,3,7,118,0,5,4,1,0,0,263,0,6,269,614,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,769,B,1,0,B,0,169,18,4,6,7,10,130,0,10,4,0,1,2,361,0,6,367,705,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,770,B,1,0,B,0,75,12,0,5,7,2,78,0,7,3,0,0,2,191,0,4,195,410,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,770,C,1,0,C01,0,78,15,2,2,5,4,71,0,1,2,0,1,3,184,0,4,188,409,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,771,B,1,0,B,0,123,11,0,4,9,5,95,0,6,5,0,1,4,263,0,3,266,516,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,772,B,1,0,B,0,69,6,0,0,2,5,42,0,2,1,0,0,0,127,0,4,131,273,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,773,B,1,0,B,0,111,16,0,2,5,11,110,0,8,2,2,0,0,267,0,4,271,501,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,774,B,1,0,B,0,99,10,2,1,10,7,94,0,6,6,0,0,4,239,0,7,246,481,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,774,C,1,0,C01,0,137,14,0,3,8,7,86,0,9,5,0,0,3,272,0,8,280,480,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,775,B,1,0,B,0,90,16,1,2,4,7,69,0,6,6,0,0,0,201,0,4,205,436,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,775,C,1,0,C01,0,86,11,0,3,5,8,105,0,11,4,0,2,1,236,0,7,243,436,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,776,B,1,0,B,0,97,20,0,3,5,10,79,0,9,5,0,0,3,231,0,6,237,499,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,777,B,1,0,B,0,116,13,0,4,4,9,79,0,8,4,0,0,2,239,0,12,251,503,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,787,B,1,0,B,0,190,25,0,8,13,13,95,0,5,5,0,0,0,354,0,7,361,717,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,788,B,1,0,B,0,85,15,0,5,5,6,76,0,5,6,0,2,2,207,0,12,219,504,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,788,C,1,0,C01,0,104,14,1,3,9,5,80,0,10,8,1,0,1,236,1,9,246,503,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,789,B,1,0,B,0,82,18,0,2,5,6,86,0,3,3,0,1,0,206,0,2,208,454,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,790,B,1,0,B,0,76,11,0,2,6,11,101,0,7,5,0,0,1,220,0,4,224,466,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,791,B,1,0,B,0,107,20,0,6,2,5,84,0,5,4,0,0,0,233,0,6,239,435,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,791,C,1,0,C01,0,106,15,0,1,3,6,74,0,3,1,0,2,3,214,0,3,217,435,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,792,B,1,0,B,0,154,18,0,3,11,17,123,0,15,11,1,1,3,357,0,9,366,700,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,793,B,1,0,B,0,159,23,1,5,8,5,145,0,4,5,1,0,2,358,1,6,365,657,RECUENTO,,,
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,794,B,1,0,B,0,165,20,0,2,5,19,131,0,6,5,1,0,2,356,0,10,366,689,RECUENTO,,,
