CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1988,2,2,187,18,3,14,17,17,442,0,16,10,1,3,4,732,0,19,751,1260
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1989,2,2,212,28,2,15,14,29,322,0,24,16,2,3,4,671,1,19,691,1186
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1990,2,2,229,16,1,15,14,38,426,0,14,22,1,0,6,782,0,16,798,1363
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1991,2,2,103,8,0,7,8,8,193,0,5,3,0,1,0,336,0,8,344,1208
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1992,4,4,455,24,3,17,27,21,673,0,18,10,1,1,5,1255,0,22,1277,2493
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1993,4,4,500,30,1,14,16,30,594,0,18,11,0,3,4,1221,0,31,1252,2357
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1994,2,2,228,17,4,7,11,14,390,0,18,7,1,4,6,707,0,9,716,1327
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1995,3,3,309,23,2,10,20,23,596,0,17,7,2,5,8,1022,0,16,1038,1856
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,1996,2,2,273,21,1,5,12,14,428,0,22,10,2,3,4,795,0,28,823,1461
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,2144,4,4,518,59,1,28,31,192,428,0,30,14,2,5,3,1311,0,36,1347,2383
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,2145,2,2,275,30,3,16,15,21,301,0,9,7,1,2,6,686,1,18,705,1234
2,28,TAMAULIPAS,2,NUEVO LAREDO,27,NUEVO LAREDO,768,1,1,102,19,0,4,3,7,118,0,5,4,1,0,0,263,0,6,269,614
