CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_PVEM_RSP_FXM_PANALT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,URNA_ELECTRONICA,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,595,C,2,0,C02,25,37,8,52,0,25,66,0,0,0,0,1,179,0,393,6,399,0,596,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,595,C,3,0,C03,27,44,14,43,0,35,53,0,0,0,0,5,212,0,433,41,474,0,596,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,596,B,1,0,B,38,56,13,44,0,40,82,0,0,0,0,0,237,0,510,41,551,0,689,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,596,C,1,0,C01,41,53,9,50,0,35,71,0,0,0,0,7,232,0,498,43,541,0,688,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,597,B,1,0,B,22,62,4,57,0,36,75,0,0,0,0,2,207,1,465,26,492,0,625,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,597,C,1,0,C01,30,63,7,47,0,32,56,0,0,0,0,6,218,1,459,32,492,0,625,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,597,C,2,0,C02,26,68,16,67,0,28,53,0,0,0,0,3,196,0,457,24,481,0,625,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,598,B,1,0,B,19,47,13,67,0,34,52,0,0,0,0,4,205,0,441,24,465,0,590,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,598,C,1,0,C01,26,55,7,39,0,42,36,0,0,0,0,3,206,0,414,21,435,0,590,ACTA CASILLA,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,598,C,2,0,C02,21,45,13,35,0,40,46,0,0,0,0,0,216,0,416,23,439,0,589,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,598,C,3,0,C03,22,56,3,33,0,34,42,0,0,0,0,0,205,0,395,21,416,0,589,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,599,B,1,0,B,20,47,9,32,0,49,68,0,0,0,0,3,215,1,443,25,469,0,682,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,599,C,1,0,C01,25,48,9,42,0,52,68,0,0,0,0,0,233,0,477,42,519,0,682,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,599,C,2,0,C02,27,50,7,48,0,36,55,0,0,0,0,2,233,1,458,25,484,0,682,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,599,C,3,0,C03,26,50,4,48,0,45,57,0,0,0,0,0,238,0,468,34,502,0,681,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,599,E,1,0,E01,15,11,1,26,0,23,22,0,0,0,0,0,122,0,220,18,238,0,352,ACTA CASILLA,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,599,SMR,1,0,SMR01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACTA DENTRO DEL PAQUETE,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,600,B,1,0,B,24,58,8,58,0,36,87,0,0,0,0,1,258,0,530,23,553,0,730,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,600,C,1,0,C01,32,45,7,59,0,31,80,0,0,0,0,3,269,0,526,27,553,0,730,ACTA CASILLA,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,600,C,2,0,C02,32,45,7,59,0,31,80,0,0,0,0,3,269,0,526,27,553,0,730,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,13,ZACATELCO,44,ZACATELCO,600,C,3,0,C03,28,51,5,68,0,40,88,0,0,0,0,0,273,0,553,18,571,0,730,GRUPO DE RECUENTO,,,
