ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,45,VENADO,20,26,26,574,337,36,3107,162,72,474,960,706,37,293,29,20,2,15,96,46,63,17,7046,2,714,7762,11463,
24,SAN LUIS POTOSI,46,VILLA DE ARISTA,13,23,23,425,1633,126,1820,239,47,954,1296,127,301,430,86,20,7,2,24,10,31,5,7583,22,584,8189,12424,
24,SAN LUIS POTOSI,47,VILLA DE ARRIAGA,18,29,29,312,352,236,4808,80,34,645,3365,210,5,16,22,9,0,2,45,13,30,19,10203,43,411,10657,14343,
24,SAN LUIS POTOSI,48,VILLA DE GUADALUPE,15,20,20,140,291,931,796,187,296,315,1065,231,22,64,34,12,8,7,84,24,26,24,4557,0,557,5114,7907,
24,SAN LUIS POTOSI,49,VILLA DE LA PAZ,8,9,9,192,208,26,665,115,50,405,614,216,16,52,18,8,1,1,41,28,17,0,2673,9,123,2805,4152,
24,SAN LUIS POTOSI,50,VILLA DE RAMOS,25,55,55,301,1382,79,7092,745,332,2599,1001,65,30,1169,38,23,5,5,468,239,102,38,15713,1,843,16557,28563,
24,SAN LUIS POTOSI,51,VILLA DE REYES,32,70,70,2230,2952,1456,12389,317,265,868,3051,1279,257,233,446,109,50,22,407,129,220,28,26708,35,1460,28203,41997,
24,SAN LUIS POTOSI,52,VILLA HIDALGO,19,28,28,1028,820,45,2797,113,37,200,952,562,799,19,50,15,0,3,148,24,31,15,7658,5,541,8204,12789,
24,SAN LUIS POTOSI,53,VILLA JUAREZ,16,20,20,162,2008,24,1242,87,44,102,653,261,48,14,131,39,4,2,72,15,23,6,4937,0,480,5417,9535,
24,SAN LUIS POTOSI,54,AXTLA DE TERRAZAS,21,44,44,596,2764,146,3369,488,62,303,5527,646,130,420,89,27,11,7,263,71,137,49,15105,7,1339,16451,25428,
24,SAN LUIS POTOSI,55,XILITLA,47,75,76,1369,1026,100,10464,327,60,469,3244,336,181,291,51,39,4,3,94,40,153,17,18268,24,1886,20178,37930,
24,SAN LUIS POTOSI,56,ZARAGOZA,23,37,37,823,2064,520,3788,298,612,1651,1171,197,238,430,171,151,4,15,148,77,49,8,12415,12,815,13242,20721,
24,SAN LUIS POTOSI,57,EL NARANJO,17,30,30,1065,366,113,3430,116,30,1249,2539,434,81,64,27,18,3,1,64,23,91,19,9733,4,625,10362,15822,
24,SAN LUIS POTOSI,58,MATLAPA,17,42,42,3435,232,36,5538,97,24,98,762,475,157,32,140,50,6,1,118,57,89,7,11354,3,486,11843,23378,
