CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MRCH,PUEBLO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_MORENA,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2403,1,1,49,22,6,10,6,42,19,0,1,1,1,0,0,1,0,0,0,0,158,0,3,161,300
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2404,1,1,39,12,5,5,2,60,26,5,1,0,0,0,0,1,0,0,0,0,156,0,6,162,276
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2405,1,1,42,22,2,13,11,80,43,2,1,3,2,0,0,2,0,0,0,0,223,0,9,232,396
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2406,1,1,34,20,7,30,32,46,113,11,1,1,1,1,0,2,0,0,0,0,299,0,27,326,673
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2407,2,2,78,38,10,83,23,115,174,16,11,8,0,0,0,5,0,0,0,0,561,0,45,606,1386
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2408,1,1,43,18,5,44,24,44,67,4,2,3,1,0,0,2,0,0,0,0,257,2,15,274,613
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2409,1,1,54,7,4,13,14,68,69,4,4,5,0,0,1,0,0,0,0,0,243,0,9,252,533
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2410,1,1,46,26,3,15,7,79,48,2,2,5,0,1,0,2,0,0,0,0,236,0,11,247,455
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2411,1,1,35,24,3,5,7,54,32,3,1,3,1,0,1,2,0,0,0,0,171,0,6,177,316
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2412,1,1,42,26,4,8,7,80,46,3,0,3,1,0,0,5,0,0,0,0,225,0,10,235,444
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2413,1,1,58,17,2,13,14,76,43,3,2,4,3,0,0,3,0,0,0,0,238,0,13,251,516
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2414,2,2,116,44,11,45,48,170,139,5,9,9,3,0,1,10,0,0,0,0,610,0,26,636,1214
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2415,2,2,47,13,4,24,75,68,117,3,3,7,1,0,0,11,0,0,0,0,373,0,33,406,972
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2416,2,2,46,18,4,15,41,59,81,4,1,6,1,0,0,5,0,0,0,0,281,0,27,308,1225
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2417,1,1,67,18,4,21,19,83,48,5,3,3,1,0,0,3,0,0,0,0,275,0,16,291,513
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2418,1,1,67,34,7,15,14,80,65,2,0,4,0,0,0,3,0,0,0,0,291,0,16,307,570
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2419,1,1,46,42,8,27,16,100,82,2,5,4,3,0,0,6,0,0,0,0,341,0,17,358,649
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2420,1,1,43,20,3,11,12,90,56,2,1,4,2,0,0,1,0,0,0,0,245,0,11,256,470
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2421,1,1,18,9,3,12,12,53,59,12,4,2,3,0,0,1,0,0,0,0,188,0,16,204,396
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2422,1,1,57,11,3,26,30,67,90,7,6,3,2,0,0,7,0,0,0,0,309,0,33,342,630
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2423,1,1,36,12,0,21,21,48,66,7,1,3,0,0,0,3,0,0,0,0,218,0,25,243,497
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2424,1,1,45,17,4,18,24,56,80,4,0,0,0,2,0,5,0,0,0,0,255,0,6,261,462
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2425,1,1,35,0,0,25,0,49,110,7,2,0,0,0,0,0,0,0,0,0,228,0,29,257,500
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2426,1,1,44,15,5,36,38,60,96,15,4,1,0,0,1,4,0,0,0,0,319,0,28,347,732
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2427,1,1,28,15,2,14,20,37,82,8,2,0,1,0,0,5,0,0,0,0,214,0,1,215,479
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2428,1,1,21,12,2,22,23,44,89,8,5,2,0,0,0,5,0,0,0,0,233,0,13,246,517
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2429,2,2,59,19,5,32,43,69,115,31,9,4,1,0,0,3,0,0,0,0,390,0,28,418,943
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2430,6,6,145,52,18,102,187,242,425,34,19,8,3,1,1,19,0,0,0,0,1256,1,95,1352,3802
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2431,2,2,45,15,3,28,49,70,118,7,4,5,0,0,0,6,0,0,0,0,350,0,35,385,772
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2432,1,1,25,14,1,19,47,48,95,7,2,2,1,0,0,10,0,0,0,0,271,0,29,300,616
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2433,1,1,37,20,2,20,10,51,61,4,0,1,0,0,0,3,0,0,0,0,209,0,8,217,368
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2434,1,1,56,19,8,25,9,69,52,2,2,4,2,0,0,0,0,0,0,0,248,0,11,259,439
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2435,1,1,45,30,2,35,11,79,82,6,3,3,0,0,0,2,0,0,0,0,298,0,14,312,517
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2436,1,1,50,12,3,17,11,58,43,9,1,2,0,0,0,1,0,0,0,0,207,1,6,214,399
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2437,1,1,75,33,12,28,23,109,95,4,4,6,2,0,0,4,0,0,0,0,395,0,14,409,740
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2438,2,2,91,45,11,25,20,138,114,9,2,6,1,0,0,3,0,0,0,0,465,0,23,488,986
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2439,2,2,92,52,8,43,22,169,116,7,9,7,1,1,0,5,0,0,0,0,532,0,28,560,936
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2440,5,5,154,66,25,95,96,355,359,24,18,8,5,1,2,19,0,0,0,0,1227,0,76,1303,3344
1,8,CHIHUAHUA,1,NUEVO CASAS GRANDES,50,NUEVO CASAS GRANDES,2441,1,1,25,9,6,11,34,41,64,5,2,1,0,1,0,2,0,0,0,0,201,0,14,215,416
