CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,260,B,1,0,B,0,46,16,2,13,5,4,46,0,0,2,2,0,0,1,137,0,2,139,239,RECONTADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,261,B,1,0,B,0,6,5,20,10,76,1,298,2,0,0,7,1,1,6,433,0,12,445,706,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,261,C,1,0,C01,0,6,4,18,14,87,3,291,5,0,0,7,2,4,0,441,0,0,441,706,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,261,C,2,0,C02,0,7,2,28,12,57,6,296,7,0,2,4,0,0,2,423,0,15,438,706,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,261,C,3,0,C03,0,3,4,24,7,84,2,224,6,0,2,5,2,2,9,374,1,19,394,705,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,261,C,4,0,C04,0,8,4,30,10,74,7,271,5,0,0,7,3,5,11,435,0,7,442,705,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,261,C,5,0,C05,0,3,3,37,11,70,0,243,11,0,1,7,7,3,8,404,0,14,418,705,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,261,C,6,0,C06,0,5,3,28,12,67,1,266,11,0,1,11,0,10,67,482,0,15,497,705,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,261,C,7,0,C07,0,6,6,34,11,69,1,307,13,0,2,6,2,1,2,460,0,10,470,705,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,261,C,8,0,C08,0,7,3,26,12,64,6,283,14,0,0,12,0,2,10,439,0,18,457,705,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,261,C,9,0,C09,0,7,1,19,12,41,4,322,3,0,0,7,1,3,10,430,0,19,449,705,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,261,C,10,0,C10,0,3,0,41,10,73,2,299,5,0,1,6,2,2,9,453,6,15,474,705,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,261,C,11,0,C11,0,3,7,20,13,52,3,307,13,0,0,8,1,2,5,434,0,16,450,705,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,261,C,12,0,C12,0,4,5,18,15,66,5,267,6,0,0,9,3,4,3,405,0,21,426,705,RECONTADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,261,C,13,0,C13,0,3,4,16,13,53,3,306,7,0,0,5,1,5,0,416,0,15,431,705,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,4,ISLA MUJERES,261,E,1,0,E01,0,2,0,111,10,8,0,143,10,0,0,8,1,1,2,296,0,25,321,410,COTEJADO EN PLENO,,,
