CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES_BC,FXM_BC,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1573,2,2,42,25,3,40,73,59,177,11,8,438,0,19,457,760
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1574,1,1,23,39,4,16,65,50,156,8,7,368,0,16,384,703
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1575,1,1,26,18,3,22,60,28,120,9,4,290,0,17,307,530
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1576,1,1,31,23,11,15,98,44,142,12,4,380,2,22,404,749
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1577,1,1,30,15,1,9,78,26,118,8,1,286,1,15,302,637
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1578,2,2,39,22,3,19,105,44,170,10,5,417,3,12,432,784
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1579,1,1,10,1,1,13,57,31,127,8,2,250,0,9,259,487
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1580,2,2,44,27,7,16,73,43,171,18,3,402,1,22,425,862
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1581,2,2,34,19,11,13,68,47,172,22,4,390,2,21,413,784
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1582,1,1,23,23,4,13,68,33,138,15,5,322,1,18,341,642
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1583,2,2,13,20,5,13,63,28,202,16,3,363,1,25,389,766
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1584,2,2,18,32,7,19,128,40,237,19,3,503,1,23,527,1048
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1585,2,2,33,24,11,23,76,53,183,12,3,418,2,19,439,892
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1586,2,2,31,25,6,29,87,49,253,28,5,513,1,32,546,1138
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1587,2,2,17,16,4,16,117,38,252,10,1,471,1,31,503,1012
1,2,BAJA CALIFORNIA,7,TIJUANA,4,TIJUANA,1588,2,2,11,14,8,15,79,23,190,18,1,359,0,22,381,773
