CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,27,TABASCO,1,CARDENAS,2,CARDENAS,72,SMR,2,0,SMR02,0,1,0,7,1,2,4,62,,1,78,0,7,85,0,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0072_SMR02.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,72,SRP,1,0,SRP01,0,3,3,20,10,9,17,188,,,250,6,0,256,0,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0072_SRP01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,72,SRP,2,0,SRP02,0,4,15,32,26,20,18,248,,,363,0,17,380,0,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0072_SRP02.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,80,B,1,0,B,0,7,6,54,19,13,18,197,,7,321,0,20,341,652,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0080_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,81,B,1,0,B,0,8,16,52,18,7,22,243,,7,373,0,7,380,639,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0081_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,81,C,1,0,C01,0,9,11,42,21,12,15,226,,5,341,0,23,364,639,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0081_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,81,C,2,0,C02,0,7,9,42,12,19,14,231,,2,336,0,11,347,639,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0081_C02.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,86,B,1,0,B,0,6,12,30,23,15,25,249,,0,360,4,17,381,653,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0086_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,86,C,1,0,C01,0,6,20,39,18,7,12,245,,1,348,4,18,370,653,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0086_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,86,C,2,0,C02,0,5,10,38,23,11,16,239,,1,343,1,17,361,652,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0086_C02.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,86,C,3,0,C03,0,5,11,62,13,5,13,249,,6,364,2,13,379,652,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0086_C03.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,86,C,4,0,C04,0,2,7,26,17,11,14,263,,3,343,0,20,363,652,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0086_C04.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,102,B,1,0,B,0,1,6,22,7,2,8,138,,8,192,0,14,206,315,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0102_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,102,E,1,0,E01,0,1,4,16,12,3,0,300,,0,336,0,14,350,623,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0102_E01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,112,B,1,0,B,0,1,4,16,9,7,3,297,,0,337,0,9,346,541,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0112_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,112,C,1,0,C01,0,0,4,16,13,4,3,253,,18,311,0,4,315,541,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0112_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,113,B,1,0,B,0,0,2,28,9,4,2,184,,9,238,0,10,248,428,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0113_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,113,C,1,0,C01,0,1,0,26,8,12,5,177,,0,229,0,20,249,427,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0113_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,114,B,1,0,B,0,0,7,75,9,10,5,158,,4,268,0,15,283,486,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0114_B.jpg
