ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND7,CAND_IND8,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
16,MICHOACAN,52,MARAVATIO,44,115,116,1556,2388,5005,957,1675,2005,11773,412,217,97,688,0,0,1403,198,210,306,625,104,49,134,29802,7,1737,31546,67822,
16,MICHOACAN,53,MARCOS CASTELLANOS,11,21,22,1683,334,69,203,1471,208,1500,56,380,10,16,0,0,124,19,21,50,87,20,2,1,6254,0,231,6485,10608,
16,MICHOACAN,54,MORELIA,389,1107,1110,96889,51770,10170,11320,18923,25876,108555,7714,4271,5100,5821,0,0,8441,1019,1547,2652,,,5037,,365105,277,17739,383121,671572,
16,MICHOACAN,55,MORELOS,9,16,16,229,174,122,375,144,1193,1698,98,164,14,18,0,0,32,12,9,37,19,5,4,1,4348,0,271,4619,8326,
16,MICHOACAN,56,MUGICA,24,59,60,383,575,288,6290,599,295,7118,303,32,61,88,0,0,1126,128,273,64,,,42,,17665,0,769,18434,35326,
16,MICHOACAN,57,NAHUATZEN,10,28,28,1298,1148,1612,545,1371,700,2685,151,1281,242,84,0,0,74,24,41,42,38,17,24,2,11379,16,789,12184,16279,
16,MICHOACAN,58,NOCUPETARO,13,18,18,84,1733,53,235,1549,42,829,14,40,144,22,0,0,39,10,17,18,4,6,0,3,4842,0,193,5035,7340,
16,MICHOACAN,59,NUEVO PARANGARICUTIRO,11,28,29,265,2114,1268,339,418,1041,2464,81,1,43,28,0,1360,88,8,19,50,218,27,12,19,9863,0,395,10258,15656,
16,MICHOACAN,60,NUEVO URECHO,9,14,14,84,119,98,573,202,954,1716,26,19,9,11,0,0,146,26,28,9,,,31,,4051,0,234,4285,6470,
16,MICHOACAN,61,NUMARAN,9,17,18,462,1521,904,158,170,465,2226,19,114,17,30,0,0,87,9,21,18,27,10,1,4,6263,0,212,6475,10103,
16,MICHOACAN,62,OCAMPO,11,28,28,544,1764,319,1909,2123,436,1575,186,44,51,23,0,0,110,63,209,51,246,48,17,28,9746,1,574,10321,17783,
16,MICHOACAN,63,PAJACUARAN,18,35,35,487,216,170,288,1135,1780,4146,40,13,18,61,0,0,453,53,24,117,54,14,7,1,9077,1,303,9381,16653,
16,MICHOACAN,64,PANINDICUARO,19,32,32,198,389,234,479,806,1879,3278,46,86,47,71,0,0,386,88,47,63,39,5,6,2,8149,0,604,8753,15133,
16,MICHOACAN,65,PARACUARO,16,35,35,663,394,1017,266,528,283,5164,41,24,10,48,0,0,251,55,59,80,105,4,11,12,9015,1,384,9400,20136,
