CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,CAND_IND2,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,38,B,1,0,B,0,249,19,5,2,6,25,77,0,0,11,8,0,0,402,1,13,416,668,Grupo de recuento,,,
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,38,C,1,0,C01,0,250,27,4,4,3,26,92,0,0,17,1,1,0,425,1,4,430,668,Grupo de recuento,,,
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,39,B,1,0,B,0,144,10,1,3,2,20,71,0,0,6,1,0,0,258,1,11,270,410,Acta casilla,,,
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,39,C,1,0,C01,0,120,8,1,8,2,24,74,0,0,9,2,0,0,248,0,8,256,410,Grupo de recuento,,,
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,40,B,1,0,B,0,254,14,3,3,3,26,66,0,0,7,5,0,1,382,0,4,386,604,Acta casilla,,,
2,1,AGUASCALIENTES,17,AGUASCALIENTES,1,AGUASCALIENTES,40,C,1,0,C01,0,202,18,3,7,3,31,90,0,0,4,1,0,0,359,0,0,359,603,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,42,B,1,0,B,0,196,18,1,11,2,20,94,0,0,5,3,1,0,351,0,8,359,619,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,42,C,1,0,C01,0,202,16,5,9,6,17,90,0,0,6,0,0,0,351,0,23,374,619,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,43,B,1,0,B,0,306,13,5,5,10,28,67,0,0,14,0,1,0,449,0,11,460,643,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,43,C,1,0,C01,0,302,21,5,3,4,28,59,0,0,7,1,1,0,431,1,13,445,643,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,43,C,2,0,C02,0,304,17,2,5,3,34,84,0,0,0,0,0,0,449,0,5,454,643,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,44,B,1,0,B,0,429,26,1,7,2,32,62,0,0,7,0,0,0,566,0,7,573,733,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,44,C,1,0,C01,0,483,20,6,2,3,21,51,0,0,8,1,0,0,595,0,7,602,733,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,44,C,2,0,C02,0,478,25,2,2,2,25,40,0,0,5,1,0,0,580,1,11,592,733,Grupo de recuento,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,44,C,3,0,C03,0,463,18,2,6,1,19,58,0,0,0,2,0,0,569,0,8,577,732,Acta casilla,,,
2,1,AGUASCALIENTES,6,AGUASCALIENTES,1,AGUASCALIENTES,44,C,4,0,C04,0,447,30,8,6,5,22,54,0,0,7,6,0,0,585,1,5,591,732,Acta casilla,,,
