CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,MORENA_PT_PVEM,MORENA_PT,MORENA_PVEM,PT_PVEM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1068,2,2,269,22,6,28,13,73,330,0,0,0,0,14,0,10,1,766,1,24,791,1303
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1069,2,2,158,13,3,12,9,44,245,0,0,0,0,12,3,2,1,502,0,15,517,1027
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1070,2,2,120,22,2,17,14,48,310,0,0,0,0,16,1,1,0,551,0,20,571,1106
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1071,2,2,235,20,8,18,18,52,299,0,0,0,0,5,3,0,0,658,0,26,684,1171
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1072,2,2,248,33,2,12,7,62,208,0,0,0,0,16,0,0,0,588,7,12,607,1045
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1073,2,2,292,20,10,17,9,44,251,0,0,0,0,10,5,7,0,665,0,18,683,1093
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1074,2,2,327,30,12,22,8,51,355,0,0,0,0,15,0,4,1,825,0,26,851,1468
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1075,2,2,188,23,4,11,18,39,266,0,0,0,0,12,2,3,2,568,0,22,590,1139
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1076,2,2,139,18,2,9,7,53,169,0,0,0,0,9,1,3,0,410,0,16,426,891
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1077,6,6,781,70,22,57,43,233,906,0,0,0,0,54,10,10,0,2186,0,47,2233,3770
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1079,1,1,94,22,5,8,5,35,175,0,0,0,0,5,1,6,1,357,0,9,366,695
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1080,2,2,187,23,3,21,7,62,324,0,0,0,0,16,4,4,0,651,0,22,673,1345
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1081,2,2,192,25,9,22,8,53,224,0,0,0,0,17,2,5,0,557,0,7,564,893
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1082,2,2,315,36,8,23,17,76,364,0,0,0,0,25,3,4,0,871,0,22,893,1409
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1083,1,1,131,10,2,13,3,35,166,0,0,0,0,6,1,0,2,369,0,11,380,675
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1084,2,2,222,20,19,20,8,56,296,0,0,0,0,14,2,0,1,658,0,37,695,1323
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1085,2,2,172,14,4,20,8,34,254,0,0,0,0,12,3,3,5,529,0,25,554,1014
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1086,2,2,151,14,1,8,7,42,246,0,0,0,0,7,3,0,1,480,0,8,488,912
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1087,2,2,208,17,5,23,9,56,299,0,0,0,0,18,4,2,2,643,0,19,662,1303
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1088,2,2,177,12,4,14,8,34,200,0,0,0,0,8,1,3,0,461,0,16,477,996
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1089,2,2,198,28,6,23,25,34,265,0,0,0,0,13,3,8,0,603,0,21,624,1242
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1090,2,2,178,28,4,19,7,29,242,0,0,0,0,11,2,2,0,522,0,15,537,1035
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1091,2,2,277,29,5,25,19,53,308,0,0,0,0,13,3,4,3,739,0,24,763,1445
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1092,2,2,145,14,6,15,15,35,228,0,0,0,0,11,1,2,0,472,0,31,503,991
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1093,2,2,260,42,8,15,10,60,302,0,0,0,0,19,1,2,0,719,0,16,735,1316
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1094,2,2,339,58,3,20,7,91,278,0,0,0,0,19,1,2,0,818,0,23,841,1384
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1095,3,3,261,13,5,22,17,52,348,0,0,0,0,10,4,6,2,740,0,15,755,1564
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1096,2,2,230,50,9,11,17,54,293,0,0,0,0,9,2,2,0,677,0,20,697,1435
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1097,2,2,118,24,2,6,4,41,254,0,0,0,0,19,0,3,1,472,0,17,489,902
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1098,2,2,206,35,6,28,22,61,286,0,0,0,0,23,1,5,2,675,0,18,693,1307
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1100,2,2,183,12,3,31,10,50,324,0,0,0,0,14,3,7,1,638,0,14,652,1190
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1101,2,2,191,19,1,29,13,57,269,0,0,0,0,19,2,3,1,604,0,18,622,1175
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1102,2,2,193,30,3,9,10,42,339,0,0,0,0,14,0,4,3,647,1,26,674,1466
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1103,5,5,391,52,24,57,26,116,697,0,0,0,0,34,6,6,1,1410,0,42,1452,3097
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1104,3,3,300,33,5,40,15,85,441,0,0,0,0,21,2,3,0,945,0,36,981,2026
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1105,3,3,437,60,5,31,12,95,514,0,0,0,0,38,4,4,0,1200,4,30,1234,2077
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1106,6,6,496,51,17,61,30,162,824,0,0,0,0,40,5,5,0,1691,7,23,1721,3947
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1107,5,5,377,39,5,59,48,134,756,0,0,0,0,32,4,10,4,1468,1,49,1518,3427
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1108,2,2,171,15,4,20,40,60,276,0,0,0,0,9,2,4,1,602,0,16,618,1236
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1109,2,2,263,19,3,15,7,54,205,0,0,0,0,15,5,1,0,587,1,20,608,954
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1110,17,17,2545,254,67,171,89,611,2782,0,0,0,0,100,13,28,5,6665,0,114,6779,12230
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1111,2,2,371,45,7,13,9,80,209,0,0,0,0,5,1,0,0,740,0,20,760,1151
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1112,1,1,187,22,3,17,10,31,159,0,0,0,0,10,12,1,0,452,0,13,465,735
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1113,3,3,367,32,6,25,21,109,370,0,0,0,0,22,5,9,0,966,1,23,990,1784
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1156,1,1,86,2,1,13,0,19,75,0,0,0,0,1,0,0,1,198,0,10,208,356
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1157,4,4,417,50,10,43,25,85,357,0,0,0,0,21,12,10,0,1030,0,44,1074,2727
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1158,5,5,680,38,10,29,21,143,576,0,0,0,0,9,2,1,0,1509,1,49,1559,3728
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1159,3,3,199,18,12,71,11,58,447,0,0,0,0,7,1,4,1,829,0,22,851,1564
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1161,3,3,273,37,8,26,17,50,309,0,0,0,0,11,1,4,0,736,0,35,771,1827
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1162,4,4,448,34,13,38,30,102,537,0,0,0,0,22,2,7,3,1236,0,41,1277,2423
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1163,4,4,321,77,10,86,15,94,579,0,0,0,0,15,5,13,6,1221,0,41,1262,2576
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1164,5,5,706,75,8,32,42,129,595,0,0,0,0,19,9,6,1,1622,0,56,1678,3100
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1165,4,4,395,117,9,66,22,81,499,0,0,0,0,12,6,4,3,1214,0,34,1248,2947
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1166,4,4,360,26,22,31,23,92,580,0,0,0,0,11,2,4,2,1153,1,18,1172,2378
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1167,5,5,358,55,17,54,25,109,736,0,0,0,0,17,2,3,2,1378,0,47,1425,3186
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1168,5,5,452,63,6,42,26,176,660,0,0,0,0,24,4,10,1,1464,0,57,1521,3512
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1169,3,3,286,39,10,29,21,46,457,0,0,0,0,7,1,3,1,900,1,33,934,2175
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1170,2,2,178,23,5,18,8,37,228,0,0,0,0,7,4,3,0,511,0,28,539,1129
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1171,2,2,237,55,7,23,18,25,208,0,0,0,0,12,2,4,0,591,18,20,629,1199
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1172,4,4,507,54,5,15,16,44,518,0,0,0,0,13,4,3,1,1180,2,33,1215,2267
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1173,3,3,337,56,14,28,12,58,318,0,0,0,0,17,1,4,1,846,0,17,863,1534
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1174,3,3,366,82,6,26,27,51,472,0,0,0,0,20,3,6,7,1066,0,41,1107,2145
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1175,2,2,169,24,4,27,15,47,313,0,0,0,0,6,0,5,0,610,0,18,628,1274
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1176,8,8,525,66,13,70,41,180,1031,0,0,0,0,60,4,6,4,2000,1,66,2067,5393
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,1177,4,4,468,50,11,42,22,110,593,0,0,0,0,33,5,5,3,1342,0,43,1385,2343
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,3257,3,3,212,31,12,35,18,99,482,0,0,0,0,26,10,8,2,935,6,23,964,2093
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,3258,4,4,531,61,14,58,22,161,640,0,0,0,0,7,2,4,0,1500,2,20,1522,2836
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,3259,4,4,357,33,6,24,20,103,494,0,0,0,0,10,1,0,0,1048,0,27,1075,2290
2,11,GUANAJUATO,12,IRAPUATO,17,IRAPUATO,3260,2,2,169,30,5,18,14,69,292,0,0,0,0,13,1,1,0,612,0,16,628,1113
