CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MA,FXMG,PSG,PES,PAC,MLGRO,PBG,REGENERACION,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1151,2,2,6,254,15,18,10,4,81,1,0,0,0,1,0,0,0,8,2,0,6,1,1,0,2,410,0,18,428,904
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1152,2,2,12,114,6,21,8,5,72,1,0,0,0,13,0,0,0,0,1,2,0,2,2,0,0,259,0,27,286,1040
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1153,1,1,1,96,1,4,3,4,38,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,153,1,3,157,304
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1154,3,3,19,138,22,62,33,40,311,5,0,0,0,44,0,0,0,1,1,0,2,2,2,0,5,687,2,46,735,1921
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1155,2,2,7,285,8,24,6,5,59,5,0,0,0,1,0,0,0,3,0,0,0,1,1,0,0,405,1,21,427,914
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1156,1,1,6,107,7,11,9,1,33,2,0,0,0,8,0,0,0,1,0,1,0,1,0,0,0,187,0,9,196,455
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1157,3,3,22,320,58,39,27,21,257,3,0,0,0,24,0,0,0,6,3,1,6,9,4,0,2,802,2,89,893,1900
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1158,1,1,4,95,11,9,6,4,32,2,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,170,0,29,199,605
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1159,3,3,3,132,10,29,26,29,69,2,0,0,0,11,0,0,0,2,0,0,0,6,2,0,2,323,0,45,368,1133
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1160,2,2,6,264,26,24,3,4,68,3,0,0,0,0,0,0,0,11,1,2,3,1,2,0,0,418,0,41,459,842
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1161,2,2,3,215,19,37,15,6,205,1,0,0,0,7,0,0,0,0,0,0,4,1,0,0,1,514,1,43,558,1154
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1162,2,2,5,264,23,4,11,1,9,0,0,0,0,3,0,0,0,2,1,0,3,1,0,0,0,327,0,22,349,982
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1163,1,1,10,10,218,19,6,10,71,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,354,0,17,371,660
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1164,4,4,6,234,17,40,36,65,86,3,0,0,0,22,0,0,0,0,1,2,1,1,1,1,0,516,0,50,566,2060
4,12,GUERRERO,25,CHILAPA,28,CHILAPA DE ALVAREZ,1165,1,1,3,168,4,7,6,7,9,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,0,211,0,8,219,494
