CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESM,MM,MICH1,TMX,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PRD_PESM,C_PT_PVEM,C_PT_MORENA,C_PT_PESM,C_PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,73,4,4,18,38,66,41,29,253,355,3,0,17,1,0,0,0,0,0,0,42,3,8,6,8,2,0,1,0,0,0,0,0,891,1,42,934,2619
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,74,2,2,28,76,36,21,16,159,239,3,0,10,2,0,0,0,0,0,0,29,0,4,2,10,3,0,1,0,0,0,0,0,639,0,23,662,1262
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,75,2,2,21,23,38,14,18,151,183,2,0,6,1,0,0,0,0,0,0,23,0,6,5,14,0,0,0,0,0,0,0,0,505,0,21,526,1044
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,76,2,2,41,25,18,18,15,178,189,2,0,7,2,0,0,0,0,0,0,11,1,1,3,10,0,1,0,0,0,0,0,0,522,0,10,532,1041
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,77,3,3,37,72,45,22,24,238,290,9,0,4,9,0,0,0,0,0,0,31,1,5,2,11,2,2,0,0,0,0,0,0,804,0,16,820,1594
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,78,2,2,34,40,40,17,12,179,230,4,0,4,3,0,0,0,0,0,0,12,1,6,11,5,1,1,2,0,0,0,0,0,602,0,13,615,1484
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,79,2,2,24,42,60,21,13,100,137,10,0,2,4,0,0,0,0,0,0,14,0,3,3,15,2,1,1,0,0,0,0,0,452,0,19,471,848
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,80,2,2,37,48,28,6,12,198,167,6,0,6,2,0,0,0,0,0,0,15,1,1,2,11,2,0,0,0,0,0,0,0,542,1,17,560,1141
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,81,2,2,41,46,17,14,5,142,146,5,0,0,5,0,0,0,0,0,0,11,0,1,2,4,0,0,2,0,0,0,0,0,441,0,12,453,811
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,82,2,2,20,48,56,21,11,145,197,5,0,2,2,0,0,0,0,0,0,8,3,1,2,7,3,0,0,0,0,0,0,0,531,0,26,557,1340
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,83,2,2,14,22,33,15,12,111,124,2,0,2,1,0,0,0,0,0,0,13,0,0,4,11,0,0,0,0,0,0,0,0,364,0,2,366,983
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,84,3,3,18,65,93,29,39,155,224,2,0,4,0,0,0,0,0,0,0,19,3,12,9,12,4,0,3,0,0,0,0,0,691,0,35,726,2183
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,85,2,2,40,54,41,10,20,181,131,3,0,1,1,0,0,0,0,0,0,15,0,4,1,5,1,0,0,0,0,0,0,0,508,1,10,519,979
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,86,1,1,23,42,23,7,4,130,106,5,0,3,2,0,0,0,0,0,0,6,0,1,1,1,0,0,0,0,0,0,0,0,354,0,8,362,650
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,87,3,3,34,64,31,12,14,156,132,10,0,4,1,0,0,0,0,0,0,15,2,1,3,12,3,0,0,0,0,0,0,0,494,1,13,508,996
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,88,2,2,34,73,45,14,12,156,173,4,0,4,3,0,0,0,0,0,0,10,0,2,5,12,0,1,0,0,0,0,0,0,548,0,16,564,1152
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,89,2,2,26,81,20,16,15,172,170,2,0,6,1,0,0,0,0,0,0,17,1,2,3,9,0,0,1,0,0,0,0,0,542,0,14,556,1098
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,90,2,2,25,37,20,11,5,111,134,10,0,4,4,0,0,0,0,0,0,6,0,3,3,5,1,0,0,0,0,0,0,0,379,0,13,392,790
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,91,1,1,25,41,16,5,3,80,60,3,0,3,0,0,0,0,0,0,0,6,1,2,4,2,0,0,0,0,0,0,0,0,251,0,7,258,395
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,92,2,2,29,42,43,16,8,147,123,11,0,2,1,0,0,0,0,0,0,7,0,3,0,7,1,0,1,0,0,0,0,0,441,6,7,454,815
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,93,1,1,22,35,14,14,9,96,100,1,0,1,1,0,0,0,0,0,0,13,1,3,2,6,2,0,1,0,0,0,0,0,321,0,11,332,682
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,94,2,2,51,36,25,11,17,104,165,4,0,4,0,0,0,0,0,0,0,18,1,4,3,7,2,0,2,0,0,0,0,0,454,0,22,476,987
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,95,2,2,28,34,15,5,3,121,65,0,0,1,1,0,0,0,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,291,0,3,294,555
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,96,2,2,17,45,22,11,16,135,155,4,0,4,2,0,0,0,0,0,0,11,0,2,1,6,1,2,0,0,0,0,0,0,434,0,5,439,996
5,16,MICHOACAN,23,APATZINGAN,6,APATZINGAN,97,1,1,34,24,15,10,17,123,95,3,0,3,1,0,0,0,0,0,0,10,0,0,2,3,0,0,0,0,0,0,0,0,340,0,9,349,641
