CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,9,CALERA,5,CALERA,50,B,1,0,B,0,116,28,3,81,9,11,35,18,17,11,1,0,0,0,0,0,11,2,3,1,1,348,0,16,364,564,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,50,C,1,0,C01,0,125,18,2,78,9,9,34,17,15,16,1,0,0,0,0,0,19,2,2,1,5,353,0,6,359,563,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,50,S,1,0,S01,0,13,1,0,5,0,1,9,4,0,5,0,0,0,0,0,0,0,0,0,0,2,40,0,5,45,0,ACTA DE CASILLA,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,51,B,1,0,B,0,90,13,2,81,1,10,18,14,11,13,2,0,0,0,0,0,17,1,3,1,2,279,1,3,283,435,ACTA DE CASILLA,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,51,C,1,0,C01,0,104,9,4,71,9,9,13,12,11,7,1,0,0,0,0,0,16,1,3,1,2,273,0,7,280,435,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,52,B,1,0,B,0,104,18,10,115,7,9,47,24,19,8,1,0,0,0,0,0,20,2,1,2,8,395,1,12,408,645,ACTA DE CASILLA,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,53,B,1,0,B,0,93,25,10,116,11,9,59,18,24,14,8,0,0,0,0,0,16,2,2,1,3,411,0,15,426,725,ACTA DE CASILLA,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,53,C,1,0,C01,0,93,13,6,126,6,8,44,23,21,23,9,0,0,0,0,0,15,0,1,3,8,399,0,22,421,725,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,53,C,2,0,C02,0,121,24,4,110,8,19,48,22,29,15,4,0,0,0,0,0,22,3,4,4,7,444,0,25,469,724,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,54,B,1,0,B,0,97,18,12,87,10,6,47,15,27,10,11,0,0,0,0,0,17,0,2,0,5,364,0,15,379,713,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,54,C,1,0,C01,0,97,10,5,107,6,8,45,19,16,10,11,0,0,0,0,0,23,4,1,1,9,372,0,20,392,713,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,54,C,2,0,C02,0,103,17,4,102,19,9,49,20,28,19,7,0,0,0,0,0,24,3,0,2,8,414,0,17,431,713,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,54,C,3,0,C03,0,76,29,4,119,10,13,45,19,21,8,3,0,0,0,0,0,18,2,1,0,6,374,2,12,388,713,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,54,C,4,0,C04,0,114,11,4,109,10,7,51,21,27,9,10,0,0,0,0,0,32,3,0,1,8,417,0,11,428,712,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,54,E,1,0,E01,0,71,6,5,90,3,4,41,17,9,12,5,0,0,0,0,0,15,0,2,0,3,283,0,14,297,583,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,55,B,1,0,B,0,97,15,5,81,11,9,29,23,11,9,3,0,0,0,0,0,14,1,2,4,4,318,1,9,328,561,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,55,C,1,0,C01,0,82,14,5,72,11,6,41,18,10,7,2,0,0,0,0,0,18,2,5,0,6,299,2,14,315,560,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,55,C,2,0,C02,0,89,22,5,91,5,5,45,15,12,12,9,0,0,0,0,0,13,2,0,1,7,333,0,9,342,560,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,56,B,1,0,B,0,145,12,2,72,3,10,40,10,8,1,0,0,0,0,0,0,5,0,0,1,0,309,0,21,330,564,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,56,C,1,0,C01,0,90,6,3,52,8,1,46,6,1,1,1,0,0,0,0,0,5,3,1,0,0,224,0,20,244,563,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,56,C,2,0,C02,0,145,6,1,69,5,8,48,8,5,1,0,0,0,0,0,0,14,0,1,2,2,315,0,9,324,563,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,57,B,1,0,B,0,124,11,7,55,0,3,46,7,7,4,1,0,0,0,0,0,4,1,1,2,7,280,0,22,302,525,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,57,C,1,0,C01,0,123,9,3,61,1,2,37,9,6,2,0,0,0,0,0,0,5,1,1,2,1,263,0,18,281,525,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,57,C,2,0,C02,0,120,4,2,59,6,7,42,12,5,3,0,0,0,0,0,0,6,1,1,0,4,272,1,13,286,524,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,58,B,1,0,B,0,116,5,5,85,7,3,59,3,6,3,0,0,0,0,0,0,9,1,0,2,1,305,0,16,321,451,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,58,C,1,0,C01,0,90,8,1,55,8,5,45,6,9,1,0,0,0,0,0,0,7,1,0,2,3,241,0,12,253,451,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,59,B,1,0,B,0,164,3,4,53,5,5,22,8,8,21,1,0,0,0,0,0,2,1,1,0,1,299,0,14,313,581,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,60,B,1,0,B,0,30,9,8,6,3,2,4,3,3,3,0,0,0,0,0,0,1,0,0,0,0,72,1,7,80,135,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,1949,B,1,0,B,0,80,8,3,63,8,9,44,11,17,14,1,0,0,0,0,0,22,6,3,2,7,298,0,16,314,589,ACTA DE CASILLA,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,1950,B,1,0,B,0,92,17,4,72,8,12,45,22,17,4,5,0,0,0,0,0,19,2,0,2,6,327,0,18,345,586,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,1950,C,1,0,C01,0,100,13,4,96,8,8,37,12,13,12,2,0,0,0,0,0,11,2,3,0,5,326,0,5,331,586,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,1950,C,2,0,C02,0,89,10,5,86,8,12,54,17,13,15,1,0,0,0,0,0,11,3,2,0,7,333,0,13,346,586,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,1950,C,3,0,C03,0,97,25,9,86,4,27,41,21,11,5,0,0,0,0,0,0,18,0,3,2,4,353,0,6,359,586,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,1951,B,1,0,B,0,83,11,16,77,6,7,40,19,10,16,6,0,0,0,0,0,11,3,0,1,5,311,0,19,330,607,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,1951,C,1,0,C01,0,66,14,11,84,5,8,51,18,18,9,7,0,0,0,0,0,10,4,0,1,11,317,0,8,325,606,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,9,CALERA,5,CALERA,1951,C,2,0,C02,0,86,18,18,79,11,6,38,17,11,6,1,0,0,0,0,0,14,1,2,2,8,318,0,14,332,606,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,17,RIO GRANDE,6,CAÑITAS DE FELIPE PESCADOR,61,B,1,0,B,0,1,16,133,35,51,1,26,73,32,0,3,0,0,0,0,0,0,0,0,0,3,374,0,16,390,540,ACTA DE CASILLA,,,
2,32,ZACATECAS,17,RIO GRANDE,6,CAÑITAS DE FELIPE PESCADOR,61,C,1,0,C01,0,0,18,93,29,38,2,18,74,15,0,3,0,0,0,0,0,0,0,0,0,5,295,0,7,302,460,ACTA DE CASILLA,,,
2,32,ZACATECAS,17,RIO GRANDE,6,CAÑITAS DE FELIPE PESCADOR,62,B,1,0,B,0,1,22,115,59,53,3,28,115,18,0,4,0,0,0,0,0,0,0,0,0,4,422,0,10,432,598,ACTA DE CASILLA,,,
2,32,ZACATECAS,17,RIO GRANDE,6,CAÑITAS DE FELIPE PESCADOR,63,B,1,0,B,0,0,35,125,60,73,7,21,96,19,0,3,0,0,0,0,0,0,0,0,0,6,445,0,13,458,650,ACTA DE CASILLA,,,
2,32,ZACATECAS,17,RIO GRANDE,6,CAÑITAS DE FELIPE PESCADOR,64,B,1,0,B,0,0,9,125,51,48,1,28,81,16,0,3,0,0,0,0,0,0,0,0,0,5,367,0,10,377,512,ACTA DE CASILLA,,,
2,32,ZACATECAS,17,RIO GRANDE,6,CAÑITAS DE FELIPE PESCADOR,64,C,1,0,C01,0,0,14,112,39,66,1,21,89,12,0,0,0,0,0,0,0,0,0,0,0,8,362,0,8,370,512,ACTA DE CASILLA,,,
2,32,ZACATECAS,17,RIO GRANDE,6,CAÑITAS DE FELIPE PESCADOR,65,B,1,0,B,0,0,15,81,60,59,2,23,67,7,1,1,0,0,0,0,0,0,0,0,0,6,322,0,4,326,424,ACTA DE CASILLA,,,
2,32,ZACATECAS,17,RIO GRANDE,6,CAÑITAS DE FELIPE PESCADOR,66,B,1,0,B,0,0,27,163,85,80,7,30,93,20,0,5,0,0,0,0,0,0,0,0,0,12,522,0,14,536,720,ACTA DE CASILLA,,,
2,32,ZACATECAS,17,RIO GRANDE,6,CAÑITAS DE FELIPE PESCADOR,67,B,1,0,B,0,2,2,97,28,64,0,17,85,11,0,2,0,0,0,0,0,0,0,0,0,8,316,0,5,321,428,ACTA DE CASILLA,,,
2,32,ZACATECAS,17,RIO GRANDE,6,CAÑITAS DE FELIPE PESCADOR,68,B,1,0,B,0,0,9,39,36,13,2,18,43,6,0,0,0,0,0,0,0,0,0,0,0,0,166,0,9,175,219,ACTA DE CASILLA,,,
2,32,ZACATECAS,17,RIO GRANDE,6,CAÑITAS DE FELIPE PESCADOR,69,B,1,0,B,0,0,27,68,16,47,1,28,55,24,0,1,0,0,0,0,0,0,0,0,0,5,272,0,14,286,397,ACTA DE CASILLA,,,
