CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,32,ZACATECAS,14,PINOS,38,PINOS,1149,1,1,0,83,0,3,13,0,95,1,0,2,0,0,0,0,0,0,0,0,0,0,0,197,0,8,205,315
2,32,ZACATECAS,14,PINOS,38,PINOS,1150,1,1,0,159,0,13,7,0,189,5,8,2,0,0,0,0,0,0,0,0,0,0,0,383,0,29,412,652
2,32,ZACATECAS,14,PINOS,38,PINOS,1151,1,1,0,128,0,6,7,0,158,2,5,4,0,0,0,0,0,0,0,0,0,0,0,310,1,1,312,518
2,32,ZACATECAS,14,PINOS,38,PINOS,1152,1,1,0,132,0,13,16,0,194,6,4,3,0,0,0,0,0,0,0,0,0,0,0,368,0,25,393,605
2,32,ZACATECAS,14,PINOS,38,PINOS,1153,1,1,0,121,0,5,5,0,125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,17,275,430
2,32,ZACATECAS,14,PINOS,38,PINOS,1154,1,1,0,74,0,11,9,0,113,3,2,1,0,0,0,0,0,0,0,0,0,0,0,213,0,14,227,353
2,32,ZACATECAS,14,PINOS,38,PINOS,1155,1,1,0,151,0,3,9,0,124,3,3,3,0,0,0,0,0,0,0,0,0,0,0,296,0,21,317,478
2,32,ZACATECAS,14,PINOS,38,PINOS,1156,1,1,0,57,0,1,5,0,82,1,0,1,0,0,0,0,0,0,0,0,0,0,0,147,0,2,149,209
2,32,ZACATECAS,14,PINOS,38,PINOS,1157,1,1,0,106,0,4,3,0,65,2,1,0,0,0,0,0,0,0,0,0,0,0,0,181,0,11,192,266
2,32,ZACATECAS,14,PINOS,38,PINOS,1158,1,1,0,62,0,6,3,0,173,0,1,0,0,0,0,0,0,0,0,0,0,0,0,245,0,23,268,384
2,32,ZACATECAS,14,PINOS,38,PINOS,1159,2,2,0,155,0,11,23,10,222,4,2,5,0,0,0,0,0,0,0,0,0,0,0,432,0,30,462,814
2,32,ZACATECAS,14,PINOS,38,PINOS,1160,1,1,0,81,0,6,8,0,151,0,1,1,0,0,0,0,0,0,0,0,0,0,0,248,0,14,262,341
2,32,ZACATECAS,14,PINOS,38,PINOS,1161,1,1,0,92,0,9,4,0,150,1,2,2,0,0,0,0,0,0,0,0,0,0,0,260,0,12,272,403
2,32,ZACATECAS,14,PINOS,38,PINOS,1162,1,1,0,68,0,1,5,2,111,2,1,1,0,0,0,0,0,0,0,0,0,0,0,191,0,10,201,307
2,32,ZACATECAS,14,PINOS,38,PINOS,1163,1,1,0,47,0,3,2,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,96,0,1,97,136
2,32,ZACATECAS,14,PINOS,38,PINOS,1164,1,1,0,197,0,15,7,0,182,2,2,3,0,0,0,0,0,0,0,0,0,0,0,408,0,30,438,668
2,32,ZACATECAS,14,PINOS,38,PINOS,1165,1,1,0,137,0,12,7,0,128,1,0,4,0,0,0,0,0,0,0,0,0,0,0,289,0,8,297,458
2,32,ZACATECAS,14,PINOS,38,PINOS,1166,1,1,0,65,0,1,4,0,51,3,6,1,0,0,0,0,0,0,0,0,0,0,0,131,0,11,142,203
2,32,ZACATECAS,14,PINOS,38,PINOS,1167,1,1,0,37,0,1,3,0,56,0,2,4,0,0,0,0,0,0,0,0,0,0,0,103,1,2,106,152
2,32,ZACATECAS,14,PINOS,38,PINOS,1169,1,1,0,142,0,9,12,0,234,4,4,6,0,0,0,0,0,0,0,0,0,0,0,411,0,15,426,731
2,32,ZACATECAS,14,PINOS,38,PINOS,1170,1,1,0,72,0,5,4,0,79,3,2,2,0,0,0,0,0,0,0,0,0,0,0,167,0,9,176,278
2,32,ZACATECAS,14,PINOS,38,PINOS,1171,1,1,0,69,0,3,7,0,137,1,2,5,0,2,0,0,0,0,0,0,0,0,0,226,0,10,236,393
2,32,ZACATECAS,14,PINOS,38,PINOS,1172,1,1,0,120,0,4,3,0,60,0,2,1,0,0,0,0,0,0,1,0,0,0,0,191,0,8,199,299
2,32,ZACATECAS,14,PINOS,38,PINOS,1174,1,1,0,83,0,12,8,0,169,4,2,2,0,0,0,0,0,0,1,0,0,0,0,281,0,14,295,518
2,32,ZACATECAS,14,PINOS,38,PINOS,1175,1,1,0,75,0,7,3,0,99,1,2,1,0,0,0,0,0,0,0,0,0,0,0,188,0,10,198,323
2,32,ZACATECAS,14,PINOS,38,PINOS,1176,1,1,0,99,0,3,7,0,68,0,0,1,0,0,0,0,0,0,0,0,0,0,0,178,0,6,184,285
2,32,ZACATECAS,14,PINOS,38,PINOS,1177,1,1,0,55,0,4,2,0,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,10,160,236
2,32,ZACATECAS,14,PINOS,38,PINOS,1178,1,1,0,42,0,6,6,0,86,0,1,1,0,0,0,0,0,0,0,0,0,0,0,142,0,15,157,292
2,32,ZACATECAS,14,PINOS,38,PINOS,1179,1,1,0,109,0,7,6,0,84,1,0,1,0,0,0,0,0,0,0,0,0,0,0,208,0,13,221,326
2,32,ZACATECAS,14,PINOS,38,PINOS,1180,1,1,0,52,0,7,11,0,112,5,1,2,0,0,0,0,0,0,0,1,0,0,0,191,0,6,197,270
2,32,ZACATECAS,14,PINOS,38,PINOS,1181,1,1,0,64,0,6,0,0,43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,9,124,181
2,32,ZACATECAS,14,PINOS,38,PINOS,1182,1,1,0,91,0,3,8,0,115,1,2,0,0,0,0,0,0,0,0,0,0,0,0,220,0,20,240,328
2,32,ZACATECAS,14,PINOS,38,PINOS,1183,1,1,0,83,0,5,7,0,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,163,0,19,182,263
2,32,ZACATECAS,14,PINOS,38,PINOS,1184,1,1,0,90,0,0,1,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,5,151,197
2,32,ZACATECAS,14,PINOS,38,PINOS,1185,1,1,0,36,0,4,4,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,56,0,7,63,119
2,32,ZACATECAS,14,PINOS,38,PINOS,1186,1,1,0,69,0,3,3,0,98,1,2,1,0,0,0,0,0,0,1,0,0,0,0,178,0,11,189,298
2,32,ZACATECAS,14,PINOS,38,PINOS,1187,1,1,0,68,0,3,1,0,95,1,5,7,0,0,0,0,0,0,0,0,0,0,0,180,0,3,183,245
2,32,ZACATECAS,14,PINOS,38,PINOS,1189,1,1,0,22,0,1,1,0,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,2,79,111
2,32,ZACATECAS,14,PINOS,38,PINOS,1190,1,1,0,215,0,5,6,0,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,310,0,21,331,426
2,32,ZACATECAS,14,PINOS,38,PINOS,1191,1,1,0,84,0,5,3,0,62,1,0,2,0,0,0,0,0,0,0,0,0,0,0,157,0,8,165,238
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,3
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1192,2,2,18,156,31,102,8,9,94,8,3,0,6,0,0,0,0,0,0,0,0,0,0,435,0,38,473,1050
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1193,2,2,13,141,63,96,9,11,121,5,2,0,9,0,0,0,0,0,0,0,0,0,0,470,0,25,495,807
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1194,1,1,11,138,50,91,0,8,98,5,1,0,1,1,0,0,0,0,0,0,0,0,0,404,0,20,424,648
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1195,2,2,10,90,28,131,14,12,83,3,0,0,1,0,0,0,0,0,0,0,0,0,0,372,0,34,406,870
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1196,2,2,0,104,84,54,7,5,81,5,0,0,3,0,0,0,0,0,0,0,0,0,0,343,0,15,358,795
2,32,ZACATECAS,17,RIO GRANDE,39,RIO GRANDE,1197,1,1,4,58,54,30,6,1,48,5,0,0,3,0,0,0,0,0,0,0,0,0,0,209,0,19,228,537
