CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAN_MLN,NAN,MLN,RSPN,FXMN,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMN,PVEM_PT_MORENA,PVEM_PT_FXMN,PVEM_MORENA_FXMN,PT_MORENA_FXMN,PVEM_PT,PVEM_MORENA,PVEM_FXMN,PT_MORENA,PT_FXMN,MORENA_FXMN,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,28,B,1,0,B,0,5,22,4,12,28,52,77,14,0,0,9,3,0,0,0,0,3,3,0,0,0,0,1,0,0,0,0,233,0,11,244,351,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,29,B,1,0,B,0,0,8,1,5,5,42,10,8,0,0,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,87,0,3,90,140,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,30,B,1,0,B,0,0,13,1,21,11,21,35,5,0,0,6,1,0,0,0,0,2,3,0,0,0,2,1,0,1,0,0,123,0,10,133,253,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,31,B,1,0,B,0,3,11,1,15,5,52,64,53,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,8,218,301,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,32,B,1,0,B,0,0,48,0,29,10,30,62,50,0,0,0,4,1,0,0,0,0,2,0,0,0,2,0,0,2,0,0,240,0,11,251,346,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,33,B,1,0,B,0,10,11,0,10,3,40,88,51,0,0,5,0,2,0,0,0,3,2,0,0,0,1,2,0,0,0,0,228,0,13,241,415,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,33,C,1,0,C01,0,12,21,4,19,7,41,95,53,0,0,4,1,3,1,0,0,2,5,0,0,0,0,1,0,4,0,0,273,0,4,277,414,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,34,B,1,0,B,0,3,13,1,4,7,35,77,39,0,0,2,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,0,189,0,11,200,332,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,35,B,1,0,B,0,3,2,0,1,8,25,21,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,4,69,101,Recuento_Total,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,36,B,1,0,B,0,7,19,5,39,19,88,153,51,0,0,13,4,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,404,0,39,443,706,Recuento_Total,,,
