CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PNAM,MORENA,PES,MAS,PROGRESA,RSPM,PAN_PRI_PRD_RSPM,PAN_PRI_PRD,PAN_PRI_RSPM,PAN_PRD_RSPM,PRI_PRD_RSPM,PAN_PRI,PAN_PRD,PAN_RSPM,PRI_PRD,PRI_RSPM,PRD_RSPM,MC_PROGRESA,MORENA_PNAM_PES_MAS,MORENA_PNAM_PES,MORENA_PNAM_MAS,MORENA_PES_MAS,PNAM_PES_MAS,MORENA_PNAM,MORENA_PES,MORENA_MAS,PNAM_PES,PNAM_MAS,PES_MAS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,33,3,3,32,12,8,277,463,169,3,193,8,2,19,5,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1196,0,59,1255,1834
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,34,1,1,2,2,2,49,50,15,0,58,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,5,190,278
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,35,2,2,28,10,8,285,79,127,2,271,2,5,33,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,0,37,897,1398
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,36,2,2,8,6,3,278,89,131,3,259,2,2,18,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,803,0,42,845,1290
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,37,2,2,17,3,4,217,52,166,2,274,5,3,25,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,772,0,39,811,1259
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,38,3,3,28,22,3,288,219,182,6,280,4,3,34,3,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1076,0,55,1131,1958
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,39,2,2,32,19,2,205,147,107,0,178,2,3,31,15,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,747,0,28,775,1287
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,40,2,2,28,5,1,111,183,131,3,142,1,3,11,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,626,0,21,647,991
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,41,2,2,12,5,3,138,164,175,5,156,1,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,0,26,698,1008
4,17,MORELOS,4,TETELA DEL VOLCAN,3,AXOCHIAPAN,42,1,1,3,0,1,30,132,21,1,57,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,5,255,367
