CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2648,3,3,340,46,22,44,30,79,9,445,8,8,14,12,0,1,0,7,0,0,1,0,0,7,0,2,6,0,0,15,1,0,4,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,1108,0,41,1149,1768
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2649,4,4,255,106,59,47,40,77,13,621,16,8,28,14,3,1,2,8,3,1,1,0,0,13,2,1,5,2,0,21,0,0,1,1,0,1,1,0,0,1,10,0,1,7,1,0,0,2,0,1373,1,79,1453,2500
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2650,3,3,440,66,17,40,21,73,8,405,11,6,20,25,1,0,1,7,1,0,0,0,0,27,1,1,0,0,0,4,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,1181,0,21,1202,1805
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2651,3,3,269,63,21,46,36,55,16,533,10,7,10,11,2,0,0,9,2,0,0,0,0,16,3,1,0,0,2,14,1,0,0,0,0,1,0,0,1,1,7,1,0,9,0,0,0,0,0,1147,1,47,1195,2136
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2652,3,3,150,46,21,47,29,39,4,412,3,5,6,4,4,1,0,1,2,0,0,0,0,7,4,4,0,0,1,16,0,0,0,0,1,0,1,0,0,3,6,0,0,3,0,1,0,0,0,821,1,51,873,1716
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2653,4,4,224,71,53,63,61,76,13,614,14,3,7,18,1,1,0,16,5,0,2,0,0,8,2,2,0,0,9,31,1,0,0,2,0,0,1,1,1,7,7,0,0,8,0,0,1,1,0,1324,1,58,1383,2863
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2655,4,4,181,49,26,38,38,47,12,526,6,6,7,12,1,0,0,10,0,0,1,0,0,14,4,1,1,2,2,26,0,0,2,0,0,1,0,0,1,4,7,0,0,9,0,0,0,1,0,1035,0,48,1083,2368
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2664,4,4,409,66,85,58,39,87,12,526,17,11,23,17,6,7,1,8,4,0,1,0,0,26,7,3,0,1,0,29,0,0,0,0,0,0,1,1,0,4,6,1,0,8,0,0,2,1,2,1469,1,41,1511,2908
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2665,4,4,296,44,55,58,55,70,10,719,20,6,16,7,2,2,0,6,2,0,0,0,0,13,7,0,0,1,0,29,1,0,1,0,0,6,0,0,0,6,9,0,0,12,0,0,0,1,0,1454,0,67,1521,2607
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2666,5,5,377,84,39,69,53,127,16,914,25,8,17,13,0,0,0,8,3,0,0,0,0,25,4,2,0,0,1,32,0,0,2,1,0,0,2,0,2,2,3,0,0,11,0,0,1,1,0,1842,1,62,1905,3445
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2667,3,3,194,47,26,45,21,60,10,455,13,5,9,11,1,1,0,4,1,0,0,0,4,15,1,0,1,1,1,10,9,0,0,0,0,2,2,0,1,4,7,1,0,15,1,0,0,2,0,980,0,46,1026,1980
4,21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,115,PUEBLA,2668,5,5,345,100,24,57,38,88,7,702,9,4,18,23,3,0,4,16,0,1,12,0,0,17,3,2,0,1,0,37,3,0,0,3,0,3,1,0,2,5,12,0,0,8,1,0,7,7,0,1563,2,66,1631,3400
