CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,PESC,CL,EDC,MLC,PRI_PRD,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,375,C,1,0,C01,0,1,5,0,7,5,205,113,7,0,2,0,0,6,1,0,0,352,0,10,362,533,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0375C1-CIPR.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,375,C,2,0,C02,0,4,6,2,6,3,197,138,8,2,0,0,0,9,0,3,1,379,0,13,392,533,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0375C2-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,376,B,1,0,B,0,3,8,0,10,9,198,116,9,0,1,2,0,4,2,1,1,364,0,8,372,537,Acta levantada en consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0376B-ACL.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,376,C,1,0,C01,0,0,8,0,5,6,195,117,14,0,6,1,0,5,0,1,0,358,0,8,366,537,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0376C1-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,376,C,2,0,C02,0,3,3,1,5,10,164,129,12,0,5,0,0,3,0,2,0,337,0,16,353,537,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0376C2-CIPR.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,377,B,1,0,B,0,2,8,2,3,13,195,171,12,1,1,1,0,6,0,3,0,418,0,12,430,601,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0377B-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,377,C,1,0,C01,0,1,10,3,15,8,230,137,7,1,2,0,0,3,0,2,0,419,0,9,428,600,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0377C1-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,378,B,1,0,B,0,0,3,0,10,9,197,106,8,0,2,0,0,2,0,0,1,338,0,7,345,505,Acta levantada en consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0378B-ACL.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,378,C,1,0,C01,0,0,1,2,11,8,206,118,7,0,2,0,0,6,2,1,0,364,0,9,373,504,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0378C1-AC.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,378,C,2,0,C02,0,3,5,1,15,10,201,113,5,0,1,0,0,6,2,0,1,363,0,15,378,504,Acta levantada en consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0378C2-ACL.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,379,B,1,0,B,0,1,11,0,8,5,323,121,10,1,4,1,0,6,0,0,0,491,0,10,501,704,Acta levantada en consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0379B-ACL.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,379,C,1,0,C01,0,0,3,1,12,11,317,101,9,0,7,0,0,3,0,0,1,465,0,8,473,703,Acta levantada en consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0379C1-ACL.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,380,B,1,0,B,0,0,0,0,4,2,133,73,3,0,2,1,0,2,0,1,1,222,0,1,223,583,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0380B-CIPR.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,380,C,1,0,C01,0,1,1,0,2,0,108,56,4,0,1,0,0,3,0,0,0,176,0,1,177,583,Acta levantada en consejo,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0380C1-ACL.pdf
3,4,CAMPECHE,19,HECELCHAKAN,5,HECELCHAKAN,380,C,2,0,C02,0,0,2,0,2,2,89,94,5,0,0,0,0,2,0,0,0,196,0,0,196,583,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_19_0380C2-AC.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,199,B,1,0,B,0,22,12,3,5,16,63,144,2,6,2,2,1,0,0,0,0,278,0,24,302,532,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0199B-CIPR.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,199,C,1,0,C01,0,14,18,0,4,14,80,182,2,2,3,0,2,0,0,0,0,321,0,17,338,532,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0199C1-CIPR.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,199,C,2,0,C02,0,19,15,0,7,8,63,138,3,3,3,2,0,0,0,0,0,261,0,18,279,531,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0199C2-AEC.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,200,B,1,0,B,0,30,21,3,5,15,77,163,2,2,1,1,0,0,0,0,0,320,0,31,351,579,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0200B-CIPR.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,200,C,1,0,C01,0,22,21,4,8,22,71,182,2,2,1,0,0,0,0,0,0,335,0,21,356,578,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0200C1-CIPR.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,215,B,1,0,B,0,12,13,1,4,17,42,129,0,2,1,0,0,0,0,0,0,221,0,12,233,374,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0215B-AEC.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,216,B,1,0,B,0,21,14,3,3,6,68,148,1,0,6,1,0,0,0,0,0,271,0,19,290,429,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0216B-AEC.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,216,C,1,0,C01,0,18,21,2,3,11,61,149,0,1,0,1,0,0,0,0,0,267,0,19,286,428,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0216C1-CIPR.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,216,SMR,1,0,SMR01,0,2,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,18,0,2,20,0,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0216S1-AEC.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,221,B,1,0,B,0,19,15,3,7,10,121,253,6,3,1,0,0,0,0,0,0,438,0,19,457,714,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0221B-CIPR.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,222,B,1,0,B,0,21,17,1,6,9,54,176,3,8,2,1,1,0,0,0,0,299,0,16,315,533,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0222B-CIPR.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,223,B,1,0,B,0,43,46,2,16,14,87,223,4,3,3,0,1,0,0,0,0,442,1,16,459,737,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0223B-AEC.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,224,B,1,0,B,0,17,17,4,4,12,95,184,1,1,1,2,1,0,0,0,0,339,0,28,367,602,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0224B-CIPR.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,224,C,1,0,C01,0,13,25,1,6,15,85,220,2,5,1,3,1,0,0,0,0,377,0,23,400,602,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0224C1-CIPR.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,225,B,1,0,B,0,12,12,5,7,14,83,200,0,0,3,3,2,0,0,0,0,341,0,23,364,580,Acta del consejo ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0225B-AC.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,225,C,1,0,C01,0,15,15,0,6,14,72,214,2,4,1,1,0,0,0,0,0,344,0,19,363,579,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0225C1-CIPR.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,236,B,1,0,B,0,7,9,2,6,16,102,229,3,3,1,1,0,0,0,0,0,379,0,31,410,732,Acta casilla,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0236B-AEC.pdf
3,4,CAMPECHE,20,PALIZADA,3,CARMEN,236,C,1,0,C01,0,6,10,0,8,16,81,214,1,6,0,0,0,0,0,0,0,342,0,38,380,732,Grupo de recuento ,,,https://www.ieec.org.mx/Documentacion/Elecciones/2024/Casillas/Actas/DMR_20_0236C1-CIPR.pdf
