CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,14,JALISCO,1,TEQUILA,6,AMECA,76,2,2,17,18,1,15,13,187,303,5,2,1,1,0,0,0,0,2,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,14,587,1105
1,14,JALISCO,1,TEQUILA,6,AMECA,77,2,2,8,18,1,13,8,359,221,8,2,0,0,0,1,1,0,1,8,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,655,0,16,671,1034
1,14,JALISCO,1,TEQUILA,6,AMECA,78,2,2,11,8,3,11,5,151,170,5,3,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,382,0,17,399,844
1,14,JALISCO,1,TEQUILA,6,AMECA,79,2,2,21,35,7,26,19,205,286,15,7,0,1,0,0,2,0,0,5,0,0,0,1,0,0,0,4,0,1,0,1,0,1,3,0,1,0,0,0,1,0,642,0,22,664,1163
1,14,JALISCO,1,TEQUILA,6,AMECA,80,3,3,23,23,7,20,23,265,413,14,4,3,1,0,0,1,2,0,3,2,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,4,0,0,814,1,24,839,1655
1,14,JALISCO,1,TEQUILA,6,AMECA,81,2,2,12,12,6,25,16,171,241,23,12,2,2,0,0,2,0,0,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,534,0,16,550,1119
1,14,JALISCO,1,TEQUILA,6,AMECA,82,1,1,8,5,1,6,9,64,79,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,181,0,5,186,258
1,14,JALISCO,1,TEQUILA,6,AMECA,84,2,2,8,12,4,15,10,107,211,18,4,0,0,0,0,2,1,0,7,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,2,1,1,0,409,0,14,423,853
1,14,JALISCO,1,TEQUILA,6,AMECA,85,2,2,17,18,4,15,13,109,154,7,4,1,0,0,0,4,0,0,8,0,0,0,1,0,0,1,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,362,0,11,373,908
1,14,JALISCO,1,TEQUILA,6,AMECA,86,1,1,4,4,0,5,3,92,67,2,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,3,184,290
