CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,HAGAMOS,FUTURO,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_HAGAMOS_FUTURO,PVEM_PT_MORENA_HAGAMOS,PVEM_PT_MORENA_FUTURO,PVEM_PT_MORENA,PVEM_PT_HAGAMOS_FUTURO,PVEM_PT_HAGAMOS,PVEM_PT_FUTURO,PVEM_PT,PVEM_MORENA_HAGAMOS_FUTURO,PVEM_MORENA_HAGAMOS,PVEM_MORENA_FUTURO,PVEM_MORENA,PVEM_HAGAMOS_FUTURO,PVEM_HAGAMOS,PVEM_FUTURO,PT_MORENA_HAGAMOS_FUTURO,PT_MORENA_HAGAMOS,PT_MORENA_FUTURO,PT_MORENA,PT_HAGAMOS_FUTURO,PT_HAGAMOS,PT_FUTURO,MORENA_HAGAMOS_FUTURO,MORENA_HAGAMOS,MORENA_FUTURO,HAGAMOS_FUTURO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,14,JALISCO,3,TEPATITLAN DE MORELOS,53,JUANACATLAN,1695,C,2,0,C02,0,53,10,1,7,14,167,128,3,1,1,1,0,0,5,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,398,1,11,410,562,Acta casilla,,,
1,14,JALISCO,18,AUTLAN DE NAVARRO,54,JUCHITLAN,1696,C,1,0,C01,0,45,58,5,9,4,135,110,45,5,3,1,0,0,1,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,8,0,0,435,0,14,449,729,Acta casilla,,,
1,14,JALISCO,18,AUTLAN DE NAVARRO,54,JUCHITLAN,1698,B,1,0,B,0,21,87,3,8,5,101,65,29,1,1,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,0,0,332,0,11,343,583,Acta casilla,,,
1,14,JALISCO,18,AUTLAN DE NAVARRO,54,JUCHITLAN,1699,B,1,0,B,0,23,70,2,10,6,99,111,52,1,3,2,0,0,1,0,0,1,0,0,1,2,1,0,0,0,1,0,0,3,0,0,0,0,0,0,2,8,0,0,399,1,2,402,668,Acta casilla,,,
1,14,JALISCO,18,AUTLAN DE NAVARRO,54,JUCHITLAN,1700,B,1,0,B,0,31,47,1,4,3,103,25,21,1,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,246,0,8,254,401,Acta casilla,,,
1,14,JALISCO,18,AUTLAN DE NAVARRO,54,JUCHITLAN,1700,C,1,0,C01,0,34,39,2,3,2,122,23,22,2,0,5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,259,0,4,263,400,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1702,C,1,0,C01,0,59,14,2,8,4,182,118,5,1,1,1,0,0,0,1,0,5,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,406,0,10,416,684,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1702,C,6,0,C06,0,47,13,0,5,3,221,84,2,0,3,2,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,386,0,10,396,683,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1703,C,1,0,C01,0,63,16,1,7,3,288,77,13,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,474,2,4,480,715,Acta casilla,,,
1,14,JALISCO,2,LAGOS DE MORENO,55,LAGOS DE MORENO,1706,C,2,0,C02,0,35,8,2,4,1,169,107,11,2,3,1,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,350,2,14,366,601,Acta casilla,,,
