ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,34,COHUECAN,3,6,6,1254,620,3,263,66,0,13,536,0,10,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2785,1,92,2878,3770,
21,PUEBLA,35,CORONANGO,22,74,74,4397,3279,888,2498,902,6926,49,5799,361,1016,0,0,0,0,0,0,1123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27573,9,1613,29195,47873,
21,PUEBLA,36,COXCATLAN,12,31,32,1639,3052,122,965,691,563,44,2098,188,41,0,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9648,21,492,10161,15850,
21,PUEBLA,37,COYOMEAPAN,8,19,19,56,73,23,3484,2297,18,15,0,63,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6033,0,330,6363,10033,
21,PUEBLA,38,COYOTEPEC,3,4,4,110,294,21,573,16,5,2,216,5,269,0,28,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557,0,58,1615,2104,
21,PUEBLA,39,CUAPIAXTLA DE MADERO,3,11,11,862,535,18,41,46,1274,10,1399,0,23,0,0,0,0,0,0,45,0,0,14,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,27,0,1,0,0,0,0,9,0,0,0,0,0,0,0,4329,1,191,4521,6876,
21,PUEBLA,40,CUAUTEMPAN,4,15,15,172,1793,111,48,445,71,18,2742,21,0,32,63,2,3,0,49,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5669,3,358,6030,7643,
21,PUEBLA,41,CUAUTINCHAN,7,14,14,100,42,13,0,1806,0,15,1070,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2858,0,0,0,0,6161,0,309,6470,8476,
21,PUEBLA,42,CUAUTLANCINGO,18,129,130,19257,1900,349,1189,1214,3568,196,24487,624,368,507,490,56,20,11,322,47,24,2,1,9,0,0,0,0,0,0,1237,0,0,0,0,0,0,0,0,0,108,307,0,0,248,0,0,0,0,0,0,0,0,0,0,0,56541,22,1523,58086,87619,
21,PUEBLA,43,CUAYUCA DE ANDRADE,4,9,9,6,9,0,19,158,0,140,797,849,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2028,0,72,2100,2897,
