ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PCHU,MORENA,PMCH,PPCH,PES,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
7,CHIAPAS,25,CHAPULTENANGO,3,12,12,,18,14,1404,341,,595,399,32,147,,975,,,,,3925,2,156,4083,5389,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_25_ACTA_COMPUTO.pdf
7,CHIAPAS,26,CHENALHO,18,68,68,,7746,,6290,7473,,113,3574,,,,376,,,,,25572,0,897,26469,38109,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_26_ACTA_COMPUTO.pdf
7,CHIAPAS,27,CHIAPA DE CORZO,35,129,130,714,681,337,20504,15843,900,120,9897,119,,219,,130,,,,49464,14,2328,51806,79889,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_27_ACTA_COMPUTO.pdf
7,CHIAPAS,28,CHIAPILLA,3,9,9,3,10,0,1304,27,5,1,835,,3,,1693,,,,,3881,0,102,3983,5199,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_28_ACTA_COMPUTO.pdf
7,CHIAPAS,29,CHICOASEN,3,8,9,1017,27,14,5,798,,10,255,1188,,,119,,,,,3433,0,197,3630,4661,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_29_ACTA_COMPUTO.pdf
7,CHIAPAS,30,CHICOMUSELO,10,27,27,0,0,3,,8946,,,,1,457,1,,,,,,9408,0,43,9451,15016,https://computos2024extra.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_30_ACTA_COMPUTO.pdf
7,CHIAPAS,31,CHILON,46,162,163,213,496,,207,33368,178,61,30475,338,34,,397,476,,,,66243,13,1720,67976,89330,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_31_ACTA_COMPUTO.pdf
7,CHIAPAS,32,ESCUINTLA,15,45,45,91,214,34,3910,417,263,328,6221,367,295,826,43,,,,,13009,2,634,13645,23883,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_32_ACTA_COMPUTO.pdf
7,CHIAPAS,33,FRANCISCO LEON,6,11,11,,,,1571,1772,,,655,,,,,,,,,3998,3,45,4046,5324,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_33_ACTA_COMPUTO.pdf
7,CHIAPAS,34,FRONTERA COMALAPA,31,87,87,288,1087,716,28776,8550,296,183,1433,93,30,27,25,26,,,,41530,52,2620,44202,52223,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_34_ACTA_COMPUTO.pdf
7,CHIAPAS,35,FRONTERA HIDALGO,7,19,19,61,107,26,69,44,501,20,1219,,,,4413,,,,,6460,1,385,6846,10534,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_35_ACTA_COMPUTO.pdf
7,CHIAPAS,36,LA GRANDEZA,3,9,9,,28,,7,13,5,6,25,1425,,26,1560,1,,,,3096,0,155,3251,5755,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_36_ACTA_COMPUTO.pdf
7,CHIAPAS,37,HUEHUETAN,18,56,56,52,95,30,5872,4418,,69,1347,67,,125,6032,26,,,,18133,16,922,19071,28988,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_37_ACTA_COMPUTO.pdf
7,CHIAPAS,38,HUITIUPAN,10,38,38,69,154,43,94,120,,12,8354,135,,133,5435,,,,,14549,38,657,15244,18748,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_38_ACTA_COMPUTO.pdf
7,CHIAPAS,39,HUIXTAN,11,38,38,61,81,148,73,7229,95,49,4549,,,,,,,,,12285,0,687,12972,17760,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_39_ACTA_COMPUTO.pdf
7,CHIAPAS,40,HUIXTLA,25,75,75,241,392,77,7052,4611,150,329,6022,222,,77,2816,,,,422,22410,10,1147,23568,40992,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_40_ACTA_COMPUTO.pdf
7,CHIAPAS,41,LA INDEPENDENCIA,18,58,58,120,153,84,8513,177,,74,14269,303,69,,111,,,,,23873,11,1242,25126,34340,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_41_ACTA_COMPUTO.pdf
7,CHIAPAS,42,IXHUATAN,4,14,14,4,13,2582,36,30,,10,2729,28,6,19,14,11,,,,5482,15,131,5628,7556,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_42_ACTA_COMPUTO.pdf
7,CHIAPAS,43,IXTACOMITAN,6,14,15,15,11,7,20,2013,,7,2029,25,,,1580,,,,,5707,0,163,5870,7970,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_43_ACTA_COMPUTO.pdf
7,CHIAPAS,44,IXTAPA,9,36,36,,46,,3695,5028,63,36,4165,1130,8,,28,,,,,14199,0,498,14697,21157,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_44_ACTA_COMPUTO.pdf
7,CHIAPAS,45,IXTAPANGAJOYA,2,9,9,,,,7,1580,3,1,25,,,,2082,,,,,3698,0,123,3821,4898,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_45_ACTA_COMPUTO.pdf
7,CHIAPAS,46,JIQUIPILAS,24,60,60,,167,,10272,262,,71,10997,231,,88,59,138,,,,22285,19,932,23236,33061,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_46_ACTA_COMPUTO.pdf
7,CHIAPAS,47,JITOTOL,8,28,28,48,112,27,3410,1249,,26,2747,,29,64,3766,,,,,11478,0,596,12074,15531,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_47_ACTA_COMPUTO.pdf
7,CHIAPAS,48,JUAREZ,13,29,30,,47,26,3713,2530,55,2252,1807,312,9,26,17,18,,,,10812,0,467,11279,16450,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_48_ACTA_COMPUTO.pdf
7,CHIAPAS,49,LARRAINZAR,9,37,37,,5868,53,,,,,1711,85,,,4226,,,,,11943,2,350,12295,19194,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_49_ACTA_COMPUTO.pdf
7,CHIAPAS,50,LA LIBERTAD,5,10,10,8,4,5,,1639,,5,77,8,,4,8,,2305,,,4063,0,105,4168,4625,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_50_ACTA_COMPUTO.pdf
7,CHIAPAS,51,MAPASTEPEC,22,60,61,264,207,45,6184,3836,489,86,4649,304,,275,38,55,,,,16432,4,809,17245,34778,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_51_ACTA_COMPUTO.pdf
7,CHIAPAS,52,LAS MARGARITAS,52,183,183,221,466,245,27497,881,558,230,31244,758,,,,,,,,62100,10,2219,64329,97143,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_52_ACTA_COMPUTO.pdf
7,CHIAPAS,53,MAZAPA DE MADERO,5,12,12,5,29,10,14,1698,,2180,29,,60,2,,,,,,4027,2,228,4257,6435,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_53_ACTA_COMPUTO.pdf
7,CHIAPAS,54,MAZATAN,15,40,40,72,84,25,1975,3275,294,89,3971,134,,242,2821,,,,,12982,1,427,13410,20854,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_54_ACTA_COMPUTO.pdf
7,CHIAPAS,55,METAPA,3,10,10,15,9,4,20,,166,2,68,7,,,1616,,,1565,,3472,0,176,3648,5217,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_55_ACTA_COMPUTO.pdf
7,CHIAPAS,56,MITONTIC,5,16,16,,1801,512,2248,203,32,206,497,,15,30,,,,,,5544,1,355,5900,8812,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_56_ACTA_COMPUTO.pdf
7,CHIAPAS,57,MOTOZINTLA,29,96,96,192,1510,140,7807,8134,247,117,5219,88,34,413,3889,69,,,,27859,6,1946,29811,54481,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_57_ACTA_COMPUTO.pdf
7,CHIAPAS,58,NICOLAS RUIZ,1,5,5,,1,,,,,,2747,,,,0,,,,,2748,0,4,2752,3333,https://computos2024.iepc-chiapas.org/docs/actas_computo/AYUN/AYUN_58_ACTA_COMPUTO.pdf
