ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,21,ATLAHUILCO,5,15,15,704,690,86,226,205,264,2100,169,28,21,9,3,61,14,28,20,4628,0,356,4984,8119,
30,VERACRUZ,43,COETZALA,2,4,4,151,156,24,56,71,67,615,10,10,10,1,0,30,13,6,5,1225,0,76,1301,1904,
30,VERACRUZ,99,MAGDALENA,3,5,5,290,207,12,88,67,69,656,46,24,13,6,0,16,2,12,7,1515,0,72,1587,2408,
30,VERACRUZ,111,MIXTLA DE ALTAMIRANO,5,14,14,1323,819,39,95,95,95,722,32,103,99,8,2,16,7,12,2,3469,2,213,3684,8393,
30,VERACRUZ,114,NARANJAL,3,6,6,219,554,27,117,53,165,927,29,37,9,0,2,61,16,10,7,2233,0,93,2326,3579,
30,VERACRUZ,135,RAFAEL DELGADO,9,28,28,1120,893,112,477,357,790,4534,482,133,41,7,4,208,27,62,34,9281,4,350,9635,16047,
30,VERACRUZ,138,LOS REYES,3,8,8,338,705,31,150,152,212,691,49,38,22,1,2,40,21,8,7,2467,1,151,2619,4335,
30,VERACRUZ,141,SAN ANDRES TENEJAPAN,2,4,4,98,162,12,31,25,148,270,24,18,5,1,1,16,1,2,3,817,0,42,859,2210,
30,VERACRUZ,148,SOLEDAD ATZOMPA,9,29,29,640,2625,1035,315,274,486,2944,350,70,25,9,18,41,14,18,11,8875,6,518,9399,15855,
30,VERACRUZ,159,TEHUIPANGO,8,31,31,3941,1725,140,461,443,280,1868,180,65,81,11,4,50,18,9,8,9284,1,602,9887,18752,
