CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,PVEM_MORENA_FXMO,PVEM_MORENA,PVEM_FXMO,MORENA_FXMO,C_PVEM_FXMO,PT_PUP,PT_NAO,PUP_NAO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,131,SAN FELIPE JALAPA DE DIAZ,857,5,5,33,56,8,228,15,795,832,3,8,15,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007,0,86,2093,2499
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,131,SAN FELIPE JALAPA DE DIAZ,858,5,5,14,55,3,219,10,673,624,2,4,148,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1763,0,98,1861,2166
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,131,SAN FELIPE JALAPA DE DIAZ,859,2,2,1,13,2,24,1,357,539,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,948,2,22,972,1135
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,131,SAN FELIPE JALAPA DE DIAZ,860,1,1,6,16,4,104,4,224,195,0,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,0,43,607,691
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,131,SAN FELIPE JALAPA DE DIAZ,861,5,5,10,153,5,130,11,975,820,0,12,35,16,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2170,0,68,2238,2688
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,167,SAN JOSE INDEPENDENCIA,952,4,4,5,95,13,87,555,15,723,1,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,0,35,1546,2085
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,167,SAN JOSE INDEPENDENCIA,953,1,1,6,8,0,22,187,3,292,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,2,522,619
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,167,SAN JOSE INDEPENDENCIA,954,2,2,4,31,1,69,249,2,289,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,654,0,10,664,777
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,962,4,4,15,42,24,176,667,38,733,4,5,83,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805,0,126,1931,2390
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,963,1,1,5,3,1,0,107,0,204,0,0,78,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,403,0,15,418,512
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,964,1,1,1,13,0,0,139,9,121,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,14,302,361
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,965,1,1,4,11,2,0,164,2,200,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,396,0,15,411,572
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,966,2,2,3,7,4,6,262,7,379,2,1,60,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,735,0,9,744,934
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,170,SAN JOSE TENANGO,967,1,1,3,15,2,8,182,2,252,0,0,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488,0,15,503,635
