CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,CAND_IND2,CAND_IND3,PVEM_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,905,3,3,19,22,54,108,52,19,492,,,,,0,766,3,46,815,1823
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,906,2,2,26,8,29,56,20,12,279,,,,,0,430,0,26,456,858
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,907,3,3,40,30,59,104,39,39,489,,,,,2,802,0,66,868,1764
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,910,3,3,32,26,40,134,70,47,678,,,,,0,1027,25,62,1114,2095
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,911,4,4,56,28,40,159,68,36,626,,,,,0,1013,0,79,1092,2334
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,912,2,2,26,17,34,112,49,55,432,,,,,0,725,0,85,810,1475
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,913,2,2,36,26,17,69,59,20,464,,,,,0,691,0,37,728,1170
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,915,3,3,44,28,73,102,42,35,583,,,,,1,908,0,90,998,1968
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,919,3,3,9,12,36,87,33,13,485,,,,,0,675,0,86,761,1748
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,920,1,1,3,0,0,27,2,5,172,,,,,0,209,0,16,225,394
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,921,1,1,6,0,2,16,1,2,67,,,,,0,94,0,7,101,161
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,922,3,3,35,59,24,78,11,30,648,,,,,0,885,32,74,991,2129
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,924,2,2,13,24,5,110,14,15,568,,,,,0,749,0,60,809,1366
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,925,3,3,16,18,34,58,13,27,506,,,,,2,674,0,53,727,1652
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,926,1,1,0,3,3,14,3,3,202,,,,,3,231,3,12,246,378
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,929,3,3,33,34,28,86,19,33,575,,,,,1,809,1,81,891,1587
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,931,3,3,23,31,50,97,22,34,619,,,,,0,876,0,84,960,1801
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,932,2,2,12,1,32,37,11,21,308,,,,,0,422,29,32,483,900
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,936,1,1,8,14,6,32,2,9,179,,,,,0,250,0,3,253,526
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,937,2,2,7,3,14,39,10,12,298,,,,,0,383,0,38,421,978
3,27,TABASCO,14,EMILIANO ZAPATA,12,MACUSPANA,943,3,3,11,19,21,97,19,42,719,,,,,0,928,0,62,990,1843
3,27,TABASCO,15,HUIMANGUILLO,8,HUIMANGUILLO,0,0,1,0,0,1,0,0,0,3,,,,,,4,0,0,4,4
3,27,TABASCO,15,HUIMANGUILLO,8,HUIMANGUILLO,684,3,3,0,0,110,24,10,338,549,,,,,,1031,0,47,1078,1691
3,27,TABASCO,15,HUIMANGUILLO,8,HUIMANGUILLO,685,2,2,0,0,71,7,5,178,347,,,,,,608,0,31,639,948
3,27,TABASCO,15,HUIMANGUILLO,8,HUIMANGUILLO,686,3,3,0,0,144,9,8,216,585,,,,,,962,2,50,1014,1681
3,27,TABASCO,15,HUIMANGUILLO,8,HUIMANGUILLO,687,4,4,0,0,136,16,15,309,690,,,,,,1166,3,56,1225,1577
3,27,TABASCO,15,HUIMANGUILLO,8,HUIMANGUILLO,688,2,2,0,0,99,7,3,161,256,,,,,,526,0,23,549,770
3,27,TABASCO,15,HUIMANGUILLO,8,HUIMANGUILLO,689,2,2,0,0,92,7,4,183,420,,,,,,706,1,27,734,1155
