CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1785,1,1,45,36,5,41,30,42,162,11,8,13,15,24,8,0,0,0,2,1,1,0,12,0,456,1,20,477,731
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1786,1,1,50,26,6,21,18,24,54,5,0,7,9,6,6,0,0,1,1,1,0,0,4,0,239,1,12,252,365
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1787,1,1,66,38,2,15,6,19,27,2,1,3,9,3,6,1,0,0,1,0,1,0,1,0,201,0,7,208,305
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1788,1,1,67,46,9,41,23,49,71,12,5,16,7,11,9,2,0,0,0,0,0,0,8,0,376,1,21,398,606
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1789,2,2,67,69,17,109,81,67,229,17,10,15,6,16,6,2,0,0,2,1,0,1,18,0,733,0,36,769,1355
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1790,2,2,31,45,2,62,45,53,122,14,9,5,18,13,12,1,0,0,0,1,0,4,9,0,446,2,32,480,818
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1791,4,4,144,111,21,177,137,159,373,34,22,31,21,46,20,6,1,0,11,0,0,3,36,0,1353,1,82,1436,2390
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1792,2,2,63,43,4,69,50,79,144,19,15,10,12,13,13,2,1,0,2,0,0,1,12,0,552,0,43,595,1030
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1793,2,2,95,44,9,48,29,49,112,18,9,14,6,14,19,5,0,0,1,0,2,0,14,0,488,0,27,515,795
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1794,1,1,103,36,3,5,10,40,44,5,4,15,9,9,11,1,0,0,0,0,0,0,3,0,298,0,18,316,431
2,32,ZACATECAS,2,ZACATECAS,56,ZACATECAS,1795,1,1,32,25,4,32,24,27,66,4,2,12,8,3,8,0,0,0,2,0,2,0,15,0,266,0,13,279,394
