CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,964,B,1,0,B,0,74,31,6,77,8,12,95,0,0,7,1,3,0,314,0,21,335,603,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,964,C,1,0,C01,0,76,39,10,66,11,13,83,6,6,7,1,3,1,322,0,13,335,603,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,964,SRP,1,0,SRP01,0,21,12,0,8,1,6,26,0,0,0,0,0,0,74,0,2,76,0,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,964,SMR,1,0,SMR01,0,21,12,0,8,1,6,25,0,4,2,1,1,1,82,0,2,84,0,RECONTADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1093,B,1,0,B,0,214,23,2,29,2,25,63,3,7,3,0,1,1,373,0,10,383,584,RECONTADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1093,C,1,0,C01,0,158,26,2,37,2,14,82,1,3,0,0,2,2,329,0,9,338,584,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1093,C,2,0,C02,0,153,18,8,30,6,17,63,1,10,2,0,0,0,308,0,13,321,584,RECONTADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1094,B,1,0,B,0,27,10,4,63,5,31,163,2,1,5,0,2,1,314,0,15,329,700,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1094,C,1,0,C01,0,24,11,11,70,5,16,148,1,2,11,2,3,1,305,0,12,317,700,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1094,C,2,0,C02,0,25,12,6,63,9,32,158,1,0,8,0,2,0,316,0,12,328,700,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1094,C,3,0,C03,0,19,10,7,67,2,21,161,0,2,4,0,8,8,309,2,15,326,699,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1116,B,1,0,B,0,246,45,3,6,3,18,78,2,2,3,0,2,1,409,0,14,423,674,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1116,C,1,0,C01,0,249,44,9,9,7,14,69,7,10,0,0,0,0,418,0,3,421,674,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1117,B,1,0,B,0,154,27,0,9,8,17,87,5,0,11,1,2,0,321,0,11,332,525,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1118,B,1,0,B,0,140,41,10,13,4,51,137,10,5,7,0,0,2,420,4,13,437,689,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1118,C,1,0,C01,0,149,32,13,25,3,50,135,7,10,5,0,1,1,431,2,15,448,689,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1119,B,1,0,B,0,141,23,7,28,2,14,93,2,6,5,1,4,1,327,0,10,337,657,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1119,C,1,0,C01,0,146,20,2,41,1,15,93,3,0,4,0,1,0,326,0,10,336,640,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1119,C,2,0,C02,0,100,22,1,47,2,30,97,6,2,5,0,1,1,314,1,6,321,640,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1119,C,3,0,C03,0,100,14,7,38,4,22,102,0,1,3,0,3,0,294,0,11,305,639,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1119,C,4,0,C04,0,123,14,8,54,2,20,91,3,3,6,0,3,3,330,0,8,338,639,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1120,B,1,0,B,0,188,36,5,12,7,45,116,5,7,7,0,0,0,428,1,15,444,715,RECONTADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1120,C,1,0,C01,0,181,37,6,18,3,44,105,6,4,6,0,1,1,412,1,11,424,715,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1120,C,2,0,C02,0,188,35,12,14,8,37,96,3,8,5,0,1,0,407,1,9,417,715,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,1120,C,3,0,C03,0,189,30,8,12,6,40,103,14,7,5,0,0,1,415,0,15,430,714,COTEJADO EN PLENO,,,
