CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,2,COLIMA,1,COLIMA,28,S,1,0,S01,0,16,5,0,1,4,25,21,1,1,0,0,5,2,1,0,0,82,0,0,82,0,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,29,B,1,0,B,0,129,86,5,8,1,87,72,15,9,0,0,9,3,1,0,0,425,1,11,437,650,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,30,B,1,0,B,0,69,48,4,5,3,52,42,10,1,0,0,4,5,2,0,0,245,0,11,256,428,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,31,B,1,0,B,0,63,38,5,9,4,73,57,7,6,0,0,5,8,2,1,0,278,0,11,289,451,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,31,C,1,0,C01,0,63,43,6,0,6,72,81,10,2,0,0,4,4,0,0,1,292,0,5,297,450,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,32,B,1,0,B,0,69,42,6,9,8,68,81,6,7,0,0,7,11,2,0,0,316,0,11,327,535,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,32,C,1,0,C01,0,80,36,9,10,7,62,70,3,7,0,0,7,7,0,1,2,301,0,12,313,534,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,33,B,1,0,B,0,100,73,5,11,3,102,88,12,6,0,0,7,8,2,0,1,418,0,19,437,632,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,33,C,1,0,C01,0,98,75,5,16,14,97,99,17,10,0,0,4,5,3,0,0,443,0,9,452,631,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,34,B,1,0,B,0,84,65,2,8,5,87,86,6,8,0,0,8,6,2,0,0,367,1,9,377,527,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,34,C,1,0,C01,0,72,62,4,12,0,81,93,8,3,0,0,17,7,1,0,1,361,1,11,373,527,ACTA CASILLA,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,35,B,1,0,B,0,92,40,4,12,9,84,95,6,9,0,0,2,7,5,0,1,366,1,9,376,619,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,35,C,1,0,C01,0,48,40,2,20,8,90,103,9,7,0,0,2,6,7,1,1,344,0,11,355,619,ACTA CASILLA,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,36,B,1,0,B,0,69,38,1,10,9,56,131,4,18,0,0,6,2,1,0,2,347,1,9,357,703,ACTA CASILLA,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,36,C,1,0,C01,0,59,38,3,10,7,60,125,10,12,0,0,7,11,3,1,3,349,0,22,371,702,ACTA DEL CONSEJO,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,37,B,1,0,B,0,59,31,7,11,14,65,98,6,6,0,0,4,13,2,0,5,321,0,6,327,592,ACTA CASILLA,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,37,C,1,0,C01,0,55,31,1,5,2,52,122,7,6,0,0,11,14,7,2,0,315,0,14,329,591,ACTA CASILLA,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,37,C,2,0,C02,0,61,28,2,14,9,51,115,10,2,0,0,3,6,0,2,0,303,0,11,314,591,ACTA DEL CONSEJO,,,
5,6,COLIMA,3,COLIMA,1,COLIMA,37,C,3,0,C03,0,51,30,3,15,13,68,87,3,4,0,0,9,6,4,0,1,294,0,11,305,591,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,38,B,1,0,B,0,46,47,2,5,5,68,65,5,3,0,0,7,2,1,1,0,257,0,9,266,417,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,38,C,1,0,C01,0,46,23,2,3,3,39,83,6,7,0,0,7,8,3,0,1,231,0,7,238,416,ACTA CASILLA,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,39,B,1,0,B,0,73,39,1,4,6,83,69,12,3,0,0,2,3,1,0,1,297,0,13,310,504,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,40,B,1,0,B,0,76,35,1,2,12,67,76,7,3,0,0,5,7,1,1,0,293,0,6,299,507,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,40,S,1,0,S01,0,8,6,0,4,3,18,17,0,0,0,0,1,1,0,0,1,59,0,2,61,0,ACTA DEL CONSEJO,,,
5,6,COLIMA,2,COLIMA,1,COLIMA,41,B,1,0,B,0,73,36,2,7,2,71,42,5,2,0,0,5,1,1,0,0,247,1,7,255,387,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,42,B,1,0,B,0,76,43,4,6,7,78,79,6,4,0,0,7,4,1,0,1,316,0,6,322,544,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,43,B,1,0,B,0,41,39,5,5,5,69,64,6,3,0,0,6,8,0,1,0,252,1,11,264,474,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,43,C,1,0,C01,0,40,47,3,9,8,73,66,5,5,0,0,2,7,3,2,1,271,0,11,282,474,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,44,B,1,0,B,0,55,28,2,3,2,60,55,4,3,0,0,4,9,2,0,1,228,0,2,230,402,ACTA CASILLA,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,45,B,1,0,B,0,98,58,3,13,8,84,141,8,4,0,0,6,9,7,3,2,444,1,16,461,736,ACTA DEL CONSEJO,,,
5,6,COLIMA,1,COLIMA,1,COLIMA,45,C,1,0,C01,0,85,54,6,15,12,112,120,12,3,0,0,12,15,3,4,1,454,0,20,474,736,ACTA DEL CONSEJO,,,
