CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PNA,PES,FPM,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,3,COLIMA,1,COLIMA,23,5,5,293,142,18,52,37,337,483,30,30,0,0,20,23,10,4,1,1480,0,66,1546,2929
5,6,COLIMA,3,COLIMA,1,COLIMA,24,7,7,457,270,25,67,75,511,886,25,61,0,0,47,78,19,10,17,2548,0,88,2636,5130
5,6,COLIMA,2,COLIMA,1,COLIMA,25,2,2,111,81,7,16,15,134,174,16,17,0,0,8,16,4,2,3,604,1,16,621,1093
5,6,COLIMA,2,COLIMA,1,COLIMA,26,2,2,118,77,5,16,9,108,117,10,9,0,0,8,11,3,2,1,494,2,16,512,800
5,6,COLIMA,2,COLIMA,1,COLIMA,27,1,1,112,57,6,7,13,129,108,8,6,0,0,9,4,3,0,3,465,0,10,475,706
5,6,COLIMA,2,COLIMA,1,COLIMA,28,2,2,63,52,2,3,6,117,83,6,5,0,0,12,7,1,0,1,358,0,6,364,436
5,6,COLIMA,2,COLIMA,1,COLIMA,29,1,1,129,86,5,8,1,87,72,15,9,0,0,9,3,1,0,0,425,1,11,437,650
5,6,COLIMA,2,COLIMA,1,COLIMA,30,1,1,69,48,4,5,3,52,42,10,1,0,0,4,5,2,0,0,245,0,11,256,428
5,6,COLIMA,2,COLIMA,1,COLIMA,31,2,2,126,81,11,9,10,145,138,17,8,0,0,9,12,2,1,1,570,0,16,586,901
5,6,COLIMA,1,COLIMA,1,COLIMA,32,2,2,149,78,15,19,15,130,151,9,14,0,0,14,18,2,1,2,617,0,23,640,1069
5,6,COLIMA,1,COLIMA,1,COLIMA,33,2,2,198,148,10,27,17,199,187,29,16,0,0,11,13,5,0,1,861,0,28,889,1263
5,6,COLIMA,1,COLIMA,1,COLIMA,34,2,2,156,127,6,20,5,168,179,14,11,0,0,25,13,3,0,1,728,2,20,750,1054
5,6,COLIMA,1,COLIMA,1,COLIMA,35,2,2,140,80,6,32,17,174,198,15,16,0,0,4,13,12,1,2,710,1,20,731,1238
5,6,COLIMA,1,COLIMA,1,COLIMA,36,2,2,128,76,4,20,16,116,256,14,30,0,0,13,13,4,1,5,696,1,31,728,1405
5,6,COLIMA,3,COLIMA,1,COLIMA,37,4,4,226,120,13,45,38,236,422,26,18,0,0,27,39,13,4,6,1233,0,42,1275,2365
5,6,COLIMA,2,COLIMA,1,COLIMA,38,2,2,92,70,4,8,8,107,148,11,10,0,0,14,10,4,1,1,488,0,16,504,833
5,6,COLIMA,2,COLIMA,1,COLIMA,39,1,1,73,39,1,4,6,83,69,12,3,0,0,2,3,1,0,1,297,0,13,310,504
5,6,COLIMA,2,COLIMA,1,COLIMA,40,2,2,84,41,1,6,15,85,93,7,3,0,0,6,8,1,1,1,352,0,8,360,507
5,6,COLIMA,2,COLIMA,1,COLIMA,41,1,1,73,36,2,7,2,71,42,5,2,0,0,5,1,1,0,0,247,1,7,255,387
