ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAEM,PAN_PRI_PRD_NAEM,PAN_PRI_PRD,PAN_PRI_NAEM,PAN_PRD_NAEM,PRI_PRD_NAEM,PAN_PRI,PAN_PRD,PAN_NAEM,PRI_PRD,PRI_NAEM,PRD_NAEM,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CC_PAN_PRI_PRD_NAEM,CC_PVEM_PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,47,JILOTZINGO,10,30,30,2721,2413,73,1743,330,1418,3562,192,11,44,0,1,1,16,5,1,3,0,0,231,29,76,24,0,0,12894,24,450,13368,17459,
15,MEXICO,48,JIQUIPILCO,30,97,97,786,10460,445,0,0,7427,0,598,140,129,17,4,5,57,6,1,20,12,17,0,0,0,0,0,18853,38977,42,1544,40563,58213,
15,MEXICO,49,JOCOTITLAN,29,91,91,1607,12034,316,0,0,2676,0,328,32,130,4,2,4,59,5,1,16,5,1,0,0,0,0,0,19463,36683,198,1563,38444,53939,
15,MEXICO,50,JOQUICINGO,5,18,19,190,1614,93,0,0,1311,0,92,3,11,0,0,0,8,1,0,3,1,1,0,0,0,0,0,4904,8232,5,318,8555,11306,
15,MEXICO,51,JUCHITEPEC,8,32,32,331,2612,154,755,785,798,8015,127,0,12,0,0,1,6,0,0,3,0,2,82,16,31,25,0,0,13755,21,440,14216,19825,
15,MEXICO,52,LERMA,52,190,190,5358,26189,482,6080,1920,5585,36072,455,133,623,20,7,8,185,26,3,27,14,3,1153,87,379,247,0,0,85056,79,1903,87038,123903,
15,MEXICO,53,MALINALCO,16,39,39,479,2299,345,0,0,3890,0,513,18,18,1,4,2,12,2,2,5,10,0,0,0,0,0,0,6782,14382,16,804,15202,21558,
15,MEXICO,54,MELCHOR OCAMPO,16,69,69,0,0,0,3129,896,2785,15879,0,0,0,0,0,0,0,0,0,0,0,0,300,27,105,82,6708,0,29911,55,937,30903,46168,
15,MEXICO,55,METEPEC,86,303,303,36308,30132,1748,0,0,13196,0,1439,320,2010,50,24,8,717,61,18,40,12,15,0,0,0,0,0,53977,140075,134,2948,143157,198088,
15,MEXICO,56,MEXICALTZINGO,4,18,18,409,1924,87,0,0,1100,0,98,12,24,0,2,1,12,3,0,4,2,1,0,0,0,0,0,3491,7170,19,176,7365,10978,
15,MEXICO,57,MORELOS,18,45,45,906,3627,115,0,0,2129,0,189,35,79,4,4,3,51,9,0,5,7,1,0,0,0,0,0,9591,16755,35,864,17654,25299,
15,MEXICO,58,NAUCALPAN DE JUAREZ,460,1191,1194,120199,46044,5075,18390,8710,33581,179833,4252,747,5947,124,87,32,1980,301,44,93,37,138,12421,821,3057,2074,0,0,443987,504,11118,455609,710847,
15,MEXICO,59,NEXTLALPAN,10,55,55,1304,3353,299,596,1016,4634,12158,362,29,135,16,2,1,29,3,3,1,6,30,313,24,64,80,0,0,24458,14,773,25245,37192,
15,MEXICO,60,NEZAHUALCOYOTL,680,1529,1533,11741,17763,4639,29933,16774,85200,268499,1764,182,1429,29,2,1,204,43,4,55,4,23,7699,544,1792,1364,90524,0,540212,581,20508,561301,878708,
15,MEXICO,61,NICOLAS ROMERO,110,478,479,34443,28758,13058,6642,3585,21936,57090,7022,0,0,0,0,0,0,0,0,0,0,0,4229,295,1101,658,0,0,178817,290,8392,187499,313688,
15,MEXICO,62,NOPALTEPEC,5,14,14,1017,790,20,168,150,977,2829,35,1,29,0,0,0,19,5,0,2,0,0,73,14,12,13,0,0,6154,4,265,6423,8616,
15,MEXICO,63,OCOYOACAC,22,85,85,2653,7686,414,2828,889,5966,11742,516,340,211,4,1,1,50,6,3,17,1,17,2626,44,365,71,0,0,36451,76,1310,37837,55507,
15,MEXICO,64,OCUILAN,13,43,43,534,1971,888,0,0,3335,0,611,6,22,0,0,1,10,8,3,6,3,3,0,0,0,0,0,8043,15444,20,1088,16479,23274,
15,MEXICO,65,EL ORO,20,54,54,1626,5423,288,0,0,918,0,439,11,44,6,0,3,45,6,8,6,7,2,0,0,0,0,0,10499,19331,12,676,20019,29101,
15,MEXICO,66,OTUMBA,18,50,50,861,4664,145,3345,636,747,8490,201,11,106,0,1,0,27,2,1,3,8,2,140,21,96,49,0,0,19556,5,580,20141,29809,
15,MEXICO,67,OTZOLOAPAN,4,10,10,104,773,481,59,671,84,599,9,0,0,0,0,0,0,0,0,0,0,0,9,2,3,13,0,0,2807,0,126,2933,4202,
15,MEXICO,68,OTZOLOTEPEC,27,100,100,2658,9905,285,2881,1945,4770,17004,438,10,149,1,1,0,47,2,0,14,1,1,470,51,162,101,0,0,40896,51,1313,42260,65213,
15,MEXICO,69,OZUMBA,13,37,37,479,2461,186,2203,286,2224,6112,459,12,23,0,3,1,7,0,0,1,2,0,76,12,55,34,0,0,14636,26,560,15222,22258,
15,MEXICO,70,PAPALOTLA,2,7,7,0,0,0,209,96,359,1566,0,0,0,0,0,0,0,0,0,0,0,0,31,2,4,3,1170,0,3440,11,110,3561,4471,
15,MEXICO,71,LA PAZ,91,336,336,4734,36805,1812,3462,2802,8246,59966,1154,255,1194,26,12,29,275,37,3,107,22,47,3714,273,867,726,0,0,126568,143,3898,130609,214668,
15,MEXICO,72,POLOTITLAN,10,25,25,424,2624,67,0,0,769,0,77,2,44,3,0,2,15,2,0,1,1,0,0,0,0,0,0,4500,8531,8,333,8872,12722,
15,MEXICO,73,RAYON,4,15,15,268,2003,73,0,0,957,0,89,8,27,1,0,0,9,0,1,2,3,1,0,0,0,0,0,3847,7300,7,309,7602,10244,
15,MEXICO,74,SAN ANTONIO LA ISLA,8,31,31,1070,3578,182,0,0,1793,0,144,15,39,2,2,0,14,3,3,1,3,0,0,0,0,0,0,7495,14344,16,430,14793,20679,
15,MEXICO,75,SAN FELIPE DEL PROGRESO,50,170,170,1615,23045,831,0,0,3911,0,650,90,293,16,22,21,207,13,6,36,24,22,0,0,0,0,0,33051,63853,102,3100,67055,103343,
15,MEXICO,76,SAN MARTIN DE LAS PIRAMIDES,14,37,37,1280,3084,74,427,228,1869,7456,988,18,37,1,0,0,17,5,2,0,4,4,149,14,41,45,0,0,15743,6,471,16220,22627,
15,MEXICO,77,SAN MATEO ATENCO,22,113,113,4304,12855,791,0,0,5326,0,809,101,340,8,5,1,83,6,2,11,6,3,0,0,0,0,0,28392,53043,56,1388,54487,75745,
15,MEXICO,78,SAN SIMON DE GUERRERO,4,11,11,66,309,975,99,68,863,1644,30,7,5,0,0,1,0,7,0,6,0,0,32,1,8,9,0,0,4130,25,174,4329,5548,
