CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,27,TABASCO,7,CENTRO,4,CENTRO,251,4,4,106,62,93,58,66,105,1015,18,0,16,1,2,1542,0,28,1570,2683
3,27,TABASCO,7,CENTRO,4,CENTRO,252,2,2,41,41,28,28,19,59,369,14,0,4,2,1,606,1,28,635,902
3,27,TABASCO,7,CENTRO,4,CENTRO,253,5,5,80,93,78,67,82,201,1220,64,7,8,17,12,1929,0,39,1968,3208
3,27,TABASCO,7,CENTRO,4,CENTRO,254,6,6,38,51,62,208,108,95,1522,61,5,11,18,5,2184,2,28,2214,3409
3,27,TABASCO,7,CENTRO,4,CENTRO,255,2,2,95,54,48,37,33,87,429,45,0,1,6,6,841,0,18,859,1274
3,27,TABASCO,7,CENTRO,4,CENTRO,256,2,2,74,63,58,47,29,75,380,26,0,11,7,7,777,2,22,801,1142
3,27,TABASCO,7,CENTRO,4,CENTRO,257,2,2,151,99,129,39,31,70,329,23,3,0,5,10,889,1,20,910,1309
3,27,TABASCO,7,CENTRO,4,CENTRO,258,1,1,22,16,8,21,15,34,252,18,1,2,2,1,392,0,10,402,581
3,27,TABASCO,7,CENTRO,4,CENTRO,259,2,2,84,76,69,23,12,79,292,14,0,1,4,4,658,2,15,675,959
3,27,TABASCO,7,CENTRO,4,CENTRO,260,3,3,11,20,25,54,37,30,613,49,17,14,9,4,883,1,26,910,1726
3,27,TABASCO,7,CENTRO,4,CENTRO,261,2,2,86,77,88,33,25,67,380,26,1,2,5,2,792,0,15,807,1172
3,27,TABASCO,7,CENTRO,4,CENTRO,262,2,2,34,45,24,38,32,64,447,46,1,6,2,4,743,3,14,760,1061
3,27,TABASCO,7,CENTRO,4,CENTRO,263,1,1,25,18,23,21,12,30,180,16,0,0,0,2,327,0,6,333,483
3,27,TABASCO,7,CENTRO,4,CENTRO,264,2,2,15,31,35,32,29,37,458,37,3,10,5,2,694,0,19,713,1181
3,27,TABASCO,7,CENTRO,4,CENTRO,265,2,2,73,51,52,23,18,43,239,18,3,4,5,3,532,0,15,547,790
3,27,TABASCO,7,CENTRO,4,CENTRO,266,1,1,21,17,10,15,10,33,161,6,1,1,1,4,280,0,2,282,461
3,27,TABASCO,7,CENTRO,4,CENTRO,267,3,3,139,104,115,54,38,126,654,35,5,12,6,12,1300,1,31,1332,1929
3,27,TABASCO,7,CENTRO,4,CENTRO,269,2,2,17,23,20,73,27,41,537,34,4,10,8,1,795,0,26,821,1350
3,27,TABASCO,7,CENTRO,4,CENTRO,270,2,2,10,28,22,53,26,44,551,28,2,9,6,2,781,0,26,807,1396
3,27,TABASCO,7,CENTRO,4,CENTRO,271,1,1,3,5,8,34,12,13,175,11,1,3,5,1,271,0,9,280,447
3,27,TABASCO,7,CENTRO,4,CENTRO,272,2,2,11,8,12,24,17,12,281,24,4,2,6,1,402,0,12,414,751
3,27,TABASCO,7,CENTRO,4,CENTRO,277,2,2,77,44,50,39,26,73,388,20,5,7,8,4,741,1,19,761,1113
3,27,TABASCO,7,CENTRO,4,CENTRO,278,2,2,69,51,52,28,18,64,246,15,0,2,5,3,553,0,8,561,796
3,27,TABASCO,7,CENTRO,4,CENTRO,279,1,1,51,41,36,14,6,31,165,14,1,2,3,3,367,0,9,376,559
3,27,TABASCO,7,CENTRO,4,CENTRO,280,2,2,5,31,28,42,43,38,595,20,27,17,11,2,859,0,14,873,1471
3,27,TABASCO,7,CENTRO,4,CENTRO,281,2,2,11,17,14,33,32,31,484,36,5,8,4,1,676,0,18,694,1259
3,27,TABASCO,7,CENTRO,4,CENTRO,285,1,1,17,21,14,16,6,21,189,7,0,3,3,4,301,0,2,303,547
3,27,TABASCO,7,CENTRO,4,CENTRO,286,2,2,28,26,39,15,19,37,287,14,1,10,2,4,482,0,10,492,828
3,27,TABASCO,7,CENTRO,4,CENTRO,287,1,1,21,34,18,19,12,32,201,14,2,4,6,6,369,0,9,378,608
3,27,TABASCO,7,CENTRO,4,CENTRO,288,4,4,38,47,43,67,32,70,653,55,3,9,8,6,1031,2,19,1052,774
