CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN_PRI_PRD_PRS_PHBCS,MORENA_PT_PVEM_NABCS,MC,FXMBCS,MLBCS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,36,E,1,0,E01,0,6,73,7,3,3,92,0,9,101,190,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,37,B,1,0,B,0,26,94,27,4,12,163,0,11,174,265,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,38,B,1,0,B,0,14,142,31,5,3,195,0,4,199,321,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,39,B,1,0,B,0,1,53,39,3,3,99,0,4,103,193,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,40,B,1,0,B,0,71,193,51,13,9,337,0,15,352,706,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,41,B,1,0,B,0,36,137,31,0,5,209,0,16,225,534,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,41,C,1,0,C01,0,40,149,30,3,7,229,0,16,245,533,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,42,B,1,0,B,0,30,140,32,3,3,208,0,18,226,640,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,42,C,1,0,C01,0,33,174,39,0,9,255,0,15,270,640,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,43,B,1,0,B,0,35,132,22,3,3,195,0,3,198,381,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,43,C,1,0,C01,0,32,124,19,2,7,184,0,9,193,380,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,44,B,1,0,B,0,42,112,51,5,3,213,0,9,222,396,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,44,C,1,0,C01,0,42,133,40,1,0,216,0,9,225,395,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,45,B,1,0,B,0,42,105,27,7,3,184,1,7,192,404,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,45,C,1,0,C01,0,41,109,37,3,4,194,0,3,197,403,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,46,B,1,0,B,0,61,205,44,7,6,323,0,13,336,708,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,47,B,1,0,B,0,33,145,48,5,9,240,0,13,253,527,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,47,C,1,0,C01,0,42,154,28,6,10,240,1,10,251,527,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,48,B,1,0,B,0,49,157,59,5,1,271,0,15,286,613,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,48,C,1,0,C01,0,72,145,60,6,3,286,0,14,300,612,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,49,B,1,0,B,0,22,14,1,0,1,38,0,5,43,144,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,50,B,1,0,B,0,11,79,8,3,1,102,0,6,108,181,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,51,B,1,0,B,0,9,116,16,2,7,150,0,1,151,340,Grupo de recuento,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,52,B,1,0,B,0,15,130,28,8,31,212,0,13,225,459,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,1,COMONDU,53,B,1,0,B,0,9,108,37,3,4,161,0,7,168,277,Acta casilla,,,
1,3,BAJA CALIFORNIA SUR,13,LORETO,1,COMONDU,54,B,1,0,B,0,14,117,33,1,10,175,0,11,186,420,Acta casilla,,,
