ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,44,KINCHIL,4,10,10,1071,65,10,1050,531,96,1610,80,1,5,3,1,28,12,15,10,4588,0,125,4713,5527,
31,YUCATAN,45,KOPOMA,2,4,4,370,303,4,22,41,27,990,14,2,4,0,0,16,1,1,2,1797,0,31,1828,2163,
31,YUCATAN,46,MAMA,2,5,5,941,250,8,55,66,19,922,1,1,2,1,0,2,2,1,1,2272,0,61,2333,2627,
31,YUCATAN,47,MANI,3,8,8,1735,74,17,74,121,51,1571,13,1,9,0,0,13,1,8,6,3694,0,69,3763,4534,
31,YUCATAN,48,MAXCANU,12,32,32,2544,297,31,3055,198,182,5618,164,180,169,154,27,466,229,462,238,14014,1,205,14220,18241,
31,YUCATAN,49,MAYAPAN,2,5,5,1183,347,4,29,53,23,1024,6,1,5,0,0,3,1,1,1,2681,0,30,2711,2992,
31,YUCATAN,50,MERIDA,501,1316,1316,207765,19743,2229,9893,8831,22759,190925,1567,4026,5120,221,60,14070,806,2648,2207,492870,207,10144,503221,782863,
31,YUCATAN,51,MOCOCHA,4,5,5,667,754,5,51,54,65,950,21,3,15,6,0,16,3,6,6,2622,0,56,2678,2960,
31,YUCATAN,52,MOTUL,19,49,49,6087,1211,66,790,354,906,6932,80,53,240,8,3,470,34,93,45,17372,3,518,17893,28192,
31,YUCATAN,53,MUNA,7,18,18,1882,294,31,191,221,211,4166,844,15,17,14,26,60,8,21,24,8025,1,276,8302,10528,
31,YUCATAN,54,MUXUPIP,3,5,5,873,13,3,60,28,33,1190,5,0,3,0,1,15,1,6,2,2233,0,27,2260,2519,
31,YUCATAN,55,OPICHEN,3,8,8,2212,17,12,38,42,38,2154,2,5,5,0,0,25,4,13,4,4571,0,50,4621,5416,
