CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,31,YUCATAN,8,MERIDA,50,MERIDA,1116,C,1,0,C01,0,116,10,0,6,4,17,181,1,4,1,0,0,12,0,2,3,357,0,13,370,621,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1117,B,1,0,B,0,93,5,2,9,9,26,161,2,3,2,0,0,10,0,4,1,327,0,9,336,575,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1117,C,1,0,C01,0,74,5,1,2,5,20,162,2,4,5,0,1,16,1,6,2,306,0,13,319,574,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1117,C,2,0,C02,0,99,5,1,3,3,17,163,0,4,5,0,0,18,0,2,4,324,0,6,330,574,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1118,B,1,0,B,0,118,13,1,9,5,19,163,2,3,2,1,0,8,1,1,2,348,0,8,356,564,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1118,C,1,0,C01,0,106,10,5,8,7,15,156,4,3,6,0,0,15,0,2,3,340,0,254,594,564,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1118,C,2,0,C02,0,107,5,4,12,6,15,149,0,3,2,0,0,13,0,2,0,318,1,7,326,563,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1119,B,1,0,B,0,162,16,0,5,11,41,177,1,3,3,0,0,13,0,3,3,438,0,11,449,713,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1119,C,1,0,C01,0,129,18,2,10,9,23,185,1,3,3,0,0,11,1,2,6,403,0,12,415,713,ACTA DE CASILLA,,,
3,31,YUCATAN,8,MERIDA,50,MERIDA,1120,B,1,0,B,0,181,17,1,5,10,23,173,3,5,4,0,0,8,0,0,0,430,0,2,432,661,ACTA DE CASILLA,,,
