CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,31,YUCATAN,11,TECOH,2,ACANCEH,11,1,1,203,0,1,11,13,96,278,29,0,11,0,0,0,0,7,0,649,0,12,661,725
3,31,YUCATAN,11,TECOH,2,ACANCEH,12,2,2,275,15,4,28,30,58,657,49,1,4,5,1,13,2,7,3,1152,0,41,1193,1359
3,31,YUCATAN,11,TECOH,2,ACANCEH,13,1,1,132,17,1,13,16,30,288,43,2,0,0,0,5,0,2,2,551,0,21,572,622
3,31,YUCATAN,20,TEKAX,3,AKIL,14,3,3,214,248,6,21,571,11,228,6,7,23,0,0,33,6,0,14,1388,0,23,1411,1758
3,31,YUCATAN,20,TEKAX,3,AKIL,15,4,4,260,300,4,19,797,18,262,3,4,15,0,0,42,12,0,18,1754,0,41,1795,2280
3,31,YUCATAN,20,TEKAX,3,AKIL,16,3,3,173,235,3,20,465,4,212,3,7,13,0,0,20,7,1,14,1177,0,21,1198,1504
3,31,YUCATAN,20,TEKAX,3,AKIL,17,3,3,202,265,3,28,632,9,219,6,7,14,0,0,21,6,1,10,1423,0,38,1461,1915
3,31,YUCATAN,20,TEKAX,3,AKIL,18,2,2,126,212,0,5,379,10,140,2,5,14,0,0,10,2,0,12,917,0,15,932,1247
3,31,YUCATAN,15,MOTUL,4,BACA,20,3,3,291,84,4,162,21,227,466,4,2,5,1,1,22,4,0,5,1299,0,40,1339,1527
3,31,YUCATAN,15,MOTUL,4,BACA,21,2,2,230,60,3,133,9,162,321,0,5,7,0,0,12,3,7,1,953,2,15,970,1123
3,31,YUCATAN,15,MOTUL,4,BACA,22,2,2,185,41,0,92,6,118,195,10,2,6,0,0,7,0,5,1,668,0,15,683,778
3,31,YUCATAN,15,MOTUL,4,BACA,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731
3,31,YUCATAN,15,MOTUL,4,BACA,24,1,1,106,40,1,112,14,50,246,0,0,1,1,0,8,5,13,2,599,0,13,612,695
3,31,YUCATAN,16,IZAMAL,5,BOKOBA,25,2,2,127,311,2,4,10,12,442,1,0,1,0,0,10,1,0,1,922,0,9,931,984
3,31,YUCATAN,16,IZAMAL,5,BOKOBA,26,2,2,99,285,0,6,7,5,554,0,0,5,0,0,0,0,2,0,963,0,11,974,1058
3,31,YUCATAN,16,IZAMAL,6,BUCTZOTZ,27,3,3,605,56,4,14,19,15,781,0,4,12,0,0,8,1,1,4,1524,0,19,1543,1867
3,31,YUCATAN,16,IZAMAL,6,BUCTZOTZ,28,3,3,585,37,2,6,26,11,927,1,0,5,0,0,9,5,3,4,1621,0,23,1644,2043
3,31,YUCATAN,16,IZAMAL,6,BUCTZOTZ,29,3,3,442,69,2,10,14,10,699,1,2,5,0,0,11,0,1,2,1268,0,11,1279,1523
3,31,YUCATAN,16,IZAMAL,6,BUCTZOTZ,30,2,2,365,42,3,7,14,11,462,2,0,1,0,0,5,3,1,2,918,0,11,929,1099
3,31,YUCATAN,16,IZAMAL,6,BUCTZOTZ,31,1,1,169,10,0,1,2,3,186,0,0,0,0,0,3,0,1,3,378,0,7,385,425
3,31,YUCATAN,16,IZAMAL,6,BUCTZOTZ,32,1,1,166,2,0,5,3,5,192,0,3,0,1,0,0,3,0,0,380,0,2,382,474
3,31,YUCATAN,15,MOTUL,7,CACALCHEN,33,2,2,152,173,2,12,18,11,430,1,0,1,0,0,3,0,1,6,810,0,26,836,964
3,31,YUCATAN,15,MOTUL,7,CACALCHEN,34,3,3,436,286,2,32,40,17,789,5,0,2,0,0,10,0,2,4,1625,0,38,1663,1998
3,31,YUCATAN,15,MOTUL,7,CACALCHEN,35,2,2,237,276,2,21,11,19,579,3,1,2,0,0,4,3,1,1,1160,0,27,1187,1480
3,31,YUCATAN,15,MOTUL,7,CACALCHEN,36,3,3,265,275,4,30,20,12,655,9,1,1,0,0,14,1,1,0,1288,0,37,1325,1586
3,31,YUCATAN,18,TEMOZON,8,CALOTMUL,37,2,2,155,201,10,16,12,16,177,1,0,3,0,0,1,0,1,1,594,0,14,608,1386
3,31,YUCATAN,18,TEMOZON,8,CALOTMUL,38,2,2,199,373,2,17,15,4,316,2,1,1,0,0,11,0,1,1,943,0,21,964,1073
3,31,YUCATAN,18,TEMOZON,8,CALOTMUL,39,1,1,44,93,1,22,10,1,170,1,0,2,0,0,2,3,0,0,349,0,10,359,394
3,31,YUCATAN,18,TEMOZON,8,CALOTMUL,40,2,2,60,257,1,14,14,7,301,0,0,1,0,0,2,1,0,2,660,0,18,678,760
3,31,YUCATAN,16,IZAMAL,9,CANSAHCAB,41,1,1,168,72,1,6,125,3,194,2,1,1,0,0,3,0,2,1,579,0,18,597,690
3,31,YUCATAN,16,IZAMAL,9,CANSAHCAB,42,2,2,204,117,2,13,152,9,308,4,0,3,0,0,4,4,1,3,824,0,22,846,1034
3,31,YUCATAN,16,IZAMAL,9,CANSAHCAB,43,2,2,156,82,2,7,155,10,279,12,1,0,1,0,5,1,3,5,719,0,14,733,865
3,31,YUCATAN,16,IZAMAL,9,CANSAHCAB,44,2,2,215,63,2,22,144,4,304,2,0,1,0,0,5,2,0,3,767,2,17,786,948
3,31,YUCATAN,16,IZAMAL,9,CANSAHCAB,45,1,1,35,10,1,3,37,4,58,1,1,1,0,0,1,2,0,2,156,0,8,164,184
3,31,YUCATAN,16,IZAMAL,9,CANSAHCAB,46,1,1,39,18,0,1,33,2,29,3,0,0,0,0,1,0,0,1,127,0,3,130,145
3,31,YUCATAN,18,TEMOZON,10,CANTAMAYEC,47,2,2,200,6,0,9,5,10,319,62,0,0,0,0,1,0,0,1,613,0,8,621,1407
